id,category,type,difficulty,quiz_mode,question,option_a,option_b,option_c,option_d,correct_answer,explanation,learn_more_path,personas
diga-016,digital-assets,multiple-choice,intermediate,both,Why does Ethereum include a recovery parameter (v) in its ECDSA signatures per EIP-155?,To add quantum resistance to signatures,To allow the signer's public key (and address) to be recovered from the signature itself,To compress the signature for lower gas costs,To prevent double-spending,b,"Ethereum's ECDSA signatures include a recovery parameter (v) as defined in EIP-155. This allows anyone to recover the signer's public key — and therefore their address — from just the signature and the signed message. This is why Ethereum transactions don't need to explicitly include the sender's public key, but it also means every transaction permanently exposes it.",/learn/digital-assets,researcher
diga-017,digital-assets,true-false,advanced,full,True or False: Solana accounts are always quantum-vulnerable because the Ed25519 public key IS the address meaning the public key is permanently exposed.,True,False,,,true,"True. Unlike Bitcoin (where P2PKH hides the public key until spending) or Ethereum (where the address is a hash of the public key), Solana addresses are the Base58-encoded 32-byte Ed25519 public key itself. This means every Solana account permanently exposes its public key from creation, making all Solana accounts immediately targetable once a CRQC exists.",/learn/digital-assets,researcher
diga-018,digital-assets,multiple-choice,beginner,both,What is the purpose of BIP-32 in the HD wallet standard?,Converting entropy to a mnemonic word list,Defining the hierarchical deterministic key derivation tree structure,Assigning coin type numbers to different blockchains,Specifying the Ed25519 derivation for Solana,b,"BIP-32 (Hierarchical Deterministic Wallets) defines how a single master seed can deterministically derive an unlimited tree of child keys. Parent keys can generate child keys using HMAC-SHA512, enabling a single backup (the seed/mnemonic) to recover all addresses across all chains. BIP-39 handles mnemonic generation, and BIP-44 standardizes the path structure.",/learn/digital-assets,researcher
diga-019,digital-assets,multi-select,beginner,both,Which of the following correctly describe properties of blockchain addresses? (Select all that apply),Bitcoin P2PKH addresses use SHA-256 + RIPEMD-160 hashing,Ethereum addresses are the last 20 bytes of a Keccak-256 hash,Solana addresses are the public key encoded in Base58,All three chains use the same address derivation pipeline,a|b|c,"Each chain has a different address derivation pipeline. Bitcoin P2PKH: compressed pubkey is SHA-256 then RIPEMD-160 hashed, then Base58Check encoded. Ethereum: uncompressed pubkey (64 bytes) is Keccak-256 hashed, last 20 bytes taken, EIP-55 checksum applied. Solana: 32-byte Ed25519 public key is directly Base58-encoded as the address.",/learn/digital-assets,researcher
diga-020,digital-assets,multi-select,intermediate,both,Which of the following are true about HD wallet mnemonic phrases (BIP-39)? (Select all that apply),A 24-word mnemonic encodes 256 bits of entropy,The seed is derived using PBKDF2 with HMAC-SHA512,The mnemonic words come from a standardized 2048-word list,The mnemonic can only generate keys for one blockchain,a|b|c,"BIP-39 mnemonics encode 256 bits of entropy (for 24 words) from a standardized 2048-word English wordlist. The mnemonic is converted to a 512-bit seed using PBKDF2 with 2048 iterations of HMAC-SHA512. This single seed can derive keys for any blockchain via BIP-32/BIP-44 derivation paths — Bitcoin (coin 0), Ethereum (coin 60), Solana (coin 501), and more.",/learn/digital-assets,researcher
tls-001,tls-basics,multiple-choice,beginner,both,Which RFC defines TLS 1.3?,RFC 5246,RFC 8446,RFC 9370,RFC 7748,b,"RFC 8446 defines TLS 1.3, the latest version of the Transport Layer Security protocol. It was published in August 2018 and brought major security and performance improvements over TLS 1.2 (RFC 5246).",/learn/tls-basics,researcher|developer|architect
tls-002,tls-basics,true-false,beginner,both,True or False: TLS 1.3 removed support for RSA key exchange to enforce forward secrecy.,True,False,,,true,"True. TLS 1.3 eliminated static RSA key exchange because it does not provide forward secrecy — if the server's private key is compromised, all past sessions encrypted with it can be decrypted. TLS 1.3 mandates ephemeral (EC)DHE key exchange, ensuring each session uses unique keys.",/learn/tls-basics,researcher|developer|architect
tls-003,tls-basics,multiple-choice,beginner,both,How many cipher suites does TLS 1.3 support compared to TLS 1.2?,5 (vs hundreds in TLS 1.2),37 (vs hundreds in TLS 1.2),5 (vs 37 in TLS 1.2),Hundreds (same as TLS 1.2),a,TLS 1.3 dramatically simplified the cipher suite landscape from hundreds of options (many insecure) in TLS 1.2 down to just 5 well-vetted AEAD cipher suites. This simplification eliminates entire categories of attacks that exploited weak cipher suite negotiation.,/learn/tls-basics,researcher|developer|architect
tls-004,tls-basics,multiple-choice,beginner,both,What is the first message sent in a TLS 1.3 handshake?,ServerHello,ClientHello,Certificate,EncryptedExtensions,b,"The TLS 1.3 handshake begins with the ClientHello message, where the client sends its supported cipher suites, key exchange groups, signature algorithms, and key_share (ephemeral public key). The server responds with ServerHello containing its choices and key_share.",/learn/tls-basics,researcher|developer|architect
tls-005,tls-basics,true-false,beginner,both,"True or False: In TLS 1.3, all handshake messages after ServerHello are encrypted.",True,False,,,true,"True. Unlike TLS 1.2 where the entire handshake was plaintext, TLS 1.3 encrypts all messages after ServerHello using handshake traffic keys derived from the ECDHE/KEM shared secret via HKDF. This protects certificate information and other handshake data from passive observers.",/learn/tls-basics,researcher|developer|architect
tls-006,tls-basics,multiple-choice,intermediate,both,Which TLS 1.3 cipher suite is specifically optimized for mobile and ARM devices?,TLS_AES_256_GCM_SHA384,TLS_AES_128_GCM_SHA256,TLS_CHACHA20_POLY1305_SHA256,TLS_AES_128_CCM_SHA256,c,"TLS_CHACHA20_POLY1305_SHA256 uses the ChaCha20 stream cipher with Poly1305 MAC. ChaCha20 is designed to perform well in software without hardware AES acceleration, making it ideal for mobile and ARM devices that may lack AES-NI instructions.",/learn/tls-basics,researcher|developer|architect
tls-007,tls-basics,multiple-choice,intermediate,both,What does AEAD stand for in the context of TLS 1.3 cipher suites?,Advanced Encryption Algorithm Design,Authenticated Encryption with Associated Data,Asymmetric Encryption and Decryption,Automated Endpoint Authentication Digest,b,"AEAD stands for Authenticated Encryption with Associated Data. TLS 1.3 requires all cipher suites to use AEAD algorithms (such as AES-GCM or ChaCha20-Poly1305), which provide both confidentiality and integrity in a single operation, eliminating vulnerabilities associated with separate MAC-then-encrypt schemes in TLS 1.2.",/learn/tls-basics,researcher|developer|architect
tls-008,tls-basics,multiple-choice,intermediate,both,How many round trips does a full TLS 1.3 handshake require compared to TLS 1.2?,1-RTT (vs 2-RTT in TLS 1.2),2-RTT (vs 3-RTT in TLS 1.2),0-RTT (vs 1-RTT in TLS 1.2),3-RTT (vs 4-RTT in TLS 1.2),a,"TLS 1.3 completes a full handshake in just 1 round trip (1-RTT), compared to 2 round trips in TLS 1.2. This is achieved by the client sending its key_share in the ClientHello, allowing the server to compute the shared secret immediately. TLS 1.3 also supports 0-RTT for resumption.",/learn/tls-basics,researcher|developer|architect
tls-009,tls-basics,true-false,beginner,both,True or False: TLS 1.3 mandates forward secrecy for all connections.,True,False,,,true,"True. TLS 1.3 requires ephemeral (EC)DHE or KEM-based key exchange for every connection, ensuring forward secrecy. If a server's long-term private key is later compromised, past session keys cannot be recovered because each session used unique ephemeral keys that were discarded after the handshake.",/learn/tls-basics,researcher|developer|architect
tls-010,tls-basics,multiple-choice,intermediate,both,What key derivation function does TLS 1.3 use to derive handshake and application traffic keys?,PBKDF2,HKDF (HMAC-based Key Derivation Function),scrypt,Argon2,b,"TLS 1.3 uses HKDF (HMAC-based Key Derivation Function) for its entire key schedule. HKDF operates in two stages: Extract (to derive a pseudorandom key from input keying material) and Expand (to derive output keys). The key schedule chains through Early Secret, Handshake Secret, and Master Secret.",/learn/tls-basics,researcher|developer|architect
tls-011,tls-basics,multiple-choice,intermediate,both,What is the purpose of 0-RTT early data in TLS 1.3?,To establish a connection without any encryption,To send application data in the first flight during session resumption,To bypass certificate verification for faster connections,To downgrade to TLS 1.2 for compatibility,b,"0-RTT (zero round trip time) allows clients to send encrypted application data in the very first message when resuming a previously established TLS 1.3 session, using a pre-shared key (PSK). This eliminates the round-trip latency for the initial data. However, 0-RTT data is vulnerable to replay attacks and lacks forward secrecy.",/learn/tls-basics,researcher|developer|architect
tls-012,tls-basics,multiple-choice,advanced,both,Approximately how large is an ML-KEM-768 public key compared to an X25519 public key?,"~1,184 bytes vs 32 bytes",~256 bytes vs 32 bytes,~64 bytes vs 32 bytes,"~4,096 bytes vs 256 bytes",a,"ML-KEM-768 public keys are approximately 1,184 bytes, compared to just 32 bytes for X25519. This ~37x size increase is one of the main trade-offs of post-quantum key exchange in TLS — larger handshake messages mean more bandwidth and potentially slower connections, especially on constrained networks.",/learn/tls-basics,researcher|developer|architect
tls-013,tls-basics,multiple-choice,intermediate,both,"What is hybrid key exchange in TLS, and why is it used?",Combining two classical algorithms for double security,Combining a classical and a post-quantum algorithm for security against both classical and quantum attacks,Using different key exchanges for client and server,Switching between key exchange algorithms mid-handshake,b,"Hybrid key exchange combines a classical algorithm (e.g., X25519) with a post-quantum algorithm (e.g., ML-KEM-768) so that the connection is secure against both classical and future quantum attacks. Even if one algorithm is broken, the other still provides security. This is the recommended transition approach.",/learn/tls-basics,researcher|developer|architect
tls-014,tls-basics,multiple-choice,advanced,both,Which hybrid key exchange group is already deployed in Chrome and Firefox for TLS 1.3?,SecP384r1MLKEM1024,X25519MLKEM768,P256MLKEM512,X448MLKEM1024,b,"X25519MLKEM768 combines the X25519 elliptic curve Diffie-Hellman with ML-KEM-768 (NIST Level 3). It is already deployed in production in Chrome, Firefox, and other major browsers, making it the first widely-deployed post-quantum key exchange mechanism in TLS 1.3.",/learn/tls-basics,researcher|developer|architect
tls-015,tls-basics,multiple-choice,beginner,both,What does mutual TLS (mTLS) add compared to standard TLS?,Encryption of application data,Client certificate authentication in addition to server authentication,Support for multiple cipher suites,Compression of handshake messages,b,"Standard TLS only authenticates the server to the client via the server's certificate. Mutual TLS (mTLS) adds client certificate authentication, where the client also presents a certificate to prove its identity to the server. This is commonly used in zero-trust architectures, API security, and service-to-service communication.",/learn/tls-basics,researcher|developer|architect
tls-016,tls-basics,multi-select,advanced,both,Which of the following were removed in TLS 1.3 compared to TLS 1.2? (Select all that apply),Static RSA key exchange,CBC cipher modes,Renegotiation and compression,Ephemeral Diffie-Hellman key exchange,a|b|c,"TLS 1.3 removed static RSA key exchange (no forward secrecy), CBC cipher modes (vulnerable to padding oracle attacks like POODLE and Lucky13), and renegotiation/compression (vulnerable to attacks like CRIME). Ephemeral Diffie-Hellman was kept and made mandatory to ensure forward secrecy.",/learn/tls-basics,researcher|developer|architect
tls-017,tls-basics,true-false,intermediate,both,"True or False: In TLS 1.3, cipher suites specify the key exchange algorithm.",True,False,,,false,"False. In TLS 1.3, cipher suites only specify the symmetric encryption algorithm and hash function (e.g., TLS_AES_256_GCM_SHA384). Key exchange and authentication are negotiated separately via the supported_groups and signature_algorithms extensions. This is a simplification from TLS 1.2 where cipher suites bundled all four components.",/learn/tls-basics,researcher|developer|architect
tls-018,tls-basics,multiple-choice,advanced,both,What is the correct order of the three main secrets in the TLS 1.3 key schedule?,"Master Secret, Handshake Secret, Early Secret","Early Secret, Master Secret, Handshake Secret","Handshake Secret, Early Secret, Master Secret","Early Secret, Handshake Secret, Master Secret",d,"The TLS 1.3 key schedule derives three main secrets in order: (1) Early Secret — from PSK or zero, used for 0-RTT; (2) Handshake Secret — incorporating the ECDHE/KEM shared secret, producing handshake traffic keys; (3) Master Secret — producing application traffic keys for the encrypted session data.",/learn/tls-basics,researcher|developer|architect
tls-019,tls-basics,multiple-choice,advanced,both,Which post-quantum signature algorithm is used for quantum-resistant TLS server certificates?,ML-KEM-768,ML-DSA (e.g. ML-DSA-44 or ML-DSA-87),X25519,HKDF-SHA256,b,"ML-DSA (Module-Lattice Digital Signature Algorithm, formerly CRYSTALS-Dilithium) is the NIST-standardized post-quantum signature algorithm used for TLS certificates. ML-KEM is for key encapsulation (key exchange), not signatures. ML-DSA-44 provides NIST Level 2 security and ML-DSA-87 provides Level 5.",/learn/tls-basics,researcher|developer|architect
tls-020,tls-basics,multiple-choice,intermediate,both,What is the purpose of the CertificateVerify message in the TLS 1.3 handshake?,To check if the certificate has expired,To prove the sender possesses the private key corresponding to the certificate's public key,To verify the certificate chain up to a trusted root CA,To negotiate which signature algorithm to use,b,"The CertificateVerify message contains a digital signature over a hash of the handshake transcript, proving that the sender possesses the private key corresponding to the public key in their certificate. This prevents an attacker from replaying a stolen certificate without the associated private key.",/learn/tls-basics,researcher|developer|architect
digid-001,digital-id,multiple-choice,beginner,both,When was the eIDAS 2.0 regulation (EU 2024/1183) adopted?,January 2023,May 2024,December 2025,June 2026,b,"eIDAS 2.0 (EU Regulation 2024/1183) was adopted in May 2024, replacing the original eIDAS regulation from 2014. It mandates EUDI Wallets for all 27 EU member states and creates a pan-European trust framework for identity, attestations, and qualified electronic signatures.",/learn/digital-id,researcher
digid-002,digital-id,multiple-choice,beginner,both,By when must all 27 EU member states provide citizens with at least one EUDI Wallet?,December 2024,June 2025,December 2026,December 2028,c,"eIDAS 2.0 mandates that all 27 EU member states must provide citizens and residents with at least one EUDI Wallet by December 2026. The first implementing acts were due by December 2024, with private sector acceptance required by late 2027.",/learn/digital-id,researcher
digid-003,digital-id,multiple-choice,beginner,both,What is the key difference between eIDAS 1.0 and eIDAS 2.0?,eIDAS 2.0 removes trust services entirely,"eIDAS 2.0 makes digital identity wallets mandatory, whereas eIDAS 1.0 had voluntary national eID notification",eIDAS 2.0 only applies to government services,eIDAS 2.0 eliminates cross-border recognition,b,"eIDAS 1.0 (2014) made national eID notification voluntary and had no wallet framework. eIDAS 2.0 (2024) makes EUDI Wallets mandatory for all member states, adds attribute attestations (EAA, QEAA), requires full cross-border mutual recognition, and mandates private sector acceptance.",/learn/digital-id,researcher
digid-004,digital-id,true-false,beginner,both,True or False: eIDAS 2.0 currently mandates post-quantum cryptography (PQC) for EUDI Wallet implementations.,True,False,,,false,"False. eIDAS 2.0 does NOT yet mandate post-quantum cryptography. Current EUDI implementations use classical ECDSA (P-256, P-384). However, ENISA has identified wallet providers as high-impact entities for early PQC adoption, and future ARF versions are expected to require PQC-safe algorithms such as ML-DSA and SLH-DSA.",/learn/digital-id,researcher
digid-005,digital-id,multiple-choice,beginner,both,What encoding format does the mso_mdoc (ISO 18013-5) credential use?,JSON,XML,CBOR,ASN.1,c,"mso_mdoc uses CBOR (Concise Binary Object Representation), a binary encoding format defined in ISO 18013-5. It is optimized for proximity verification scenarios using NFC and BLE, making it ideal for in-person identity verification.",/learn/digital-id,researcher
digid-006,digital-id,multiple-choice,intermediate,both,What type of verification is the vc+sd-jwt (SD-JWT VC) credential format optimized for?,Proximity verification via NFC and BLE,Remote/online verification via APIs,Offline-only air-gapped environments,Blockchain-based attestation,b,"vc+sd-jwt (IETF SD-JWT VC) uses JSON text-based encoding optimized for remote/online presentation via APIs and web services. In contrast, mso_mdoc uses CBOR binary encoding optimized for proximity verification via NFC and BLE.",/learn/digital-id,researcher
digid-007,digital-id,multiple-choice,beginner,both,What does PID stand for in the EUDI Wallet ecosystem?,Private Identity Document,Person Identification Data,Public Identity Descriptor,Protected Identity Device,b,"PID (Person Identification Data) is the core identity credential issued by national authorities in the EUDI ecosystem. It contains mandatory attributes such as name, birth date, nationality, and document number. A valid PID is required before most other operations in the wallet.",/learn/digital-id,researcher
digid-008,digital-id,multiple-choice,intermediate,both,What role does a Qualified Trust Service Provider (QTSP) play in the eIDAS 2.0 framework?,Stores user wallet data on a public blockchain,Issues qualified attestations (QEAA) and provides qualified electronic signatures (QES),Manages DNS records for identity providers,Operates the EU's central identity database,b,A QTSP is a certified organization that issues qualified attestations (QEAA) and provides qualified electronic signatures (QES). QTSPs operate under strict compliance requirements and are listed in National Trusted Lists published by each EU member state.,/learn/digital-id,researcher
digid-009,digital-id,true-false,beginner,both,True or False: A Qualified Electronic Signature (QES) has the same legal effect as a handwritten signature across all EU member states.,True,False,,,true,"True. Under eIDAS, a Qualified Electronic Signature (QES) has the equivalent legal effect of a handwritten signature and is recognized across all EU member states. QES requires identity verification (PID) and uses keys stored in a secure device, with signatures created via a QTSP.",/learn/digital-id,researcher
digid-010,digital-id,multiple-choice,intermediate,both,What is the primary purpose of a Wallet Secure Cryptographic Device (WSCD)?,Displaying credentials on the device screen,Storing private keys securely in tamper-resistant hardware,Connecting the wallet to the internet,Translating credentials between mso_mdoc and SD-JWT formats,b,"A WSCD (Wallet Secure Cryptographic Device) stores private keys securely in tamper-resistant hardware. It can be local (device secure element, eSE, TEE) or remote (cloud HSM). The WSCA (Wallet Secure Cryptographic Application) is the firmware managing cryptographic operations within the WSCD.",/learn/digital-id,researcher
digid-011,digital-id,multiple-choice,intermediate,both,What does the OpenID4VCI protocol handle in the EUDI ecosystem?,Presenting credentials to a relying party for verification,Issuing verifiable credentials from an issuer to the wallet,Creating qualified electronic signatures remotely,Managing wallet backup and recovery operations,b,"OpenID4VCI (OpenID for Verifiable Credential Issuance) handles the protocol flow for issuing verifiable credentials from an issuer (such as a PID Provider or university) to the EUDI Wallet. The flow includes discovery, authorization, access token exchange, proof of possession, and credential issuance.",/learn/digital-id,researcher
digid-012,digital-id,multiple-choice,intermediate,both,What does the OpenID4VP protocol handle in the EUDI ecosystem?,Issuing new credentials to the wallet,Revoking expired or compromised credentials,Presenting verifiable credentials to relying parties for verification,Generating new cryptographic key pairs,c,"OpenID4VP (OpenID for Verifiable Presentation) handles the presentation of verifiable credentials to relying parties. It defines how credentials are selected, how selective disclosure is applied, and how device binding proofs are created. For example, a bank uses OpenID4VP to verify identity during account opening.",/learn/digital-id,researcher
digid-013,digital-id,multi-select,intermediate,both,Which of the following are privacy features of the EUDI Wallet framework? (Select all that apply),Selective disclosure — only requested attributes are revealed,Unlinkability — presentations to different relying parties cannot be correlated,Data minimization aligned with GDPR Art. 5(1)(c),Automatic sharing of all credential attributes with every relying party,a|b|c,"The EUDI Wallet framework implements three key privacy features: selective disclosure (only requested attributes are revealed while others remain cryptographically hidden), unlinkability (presentations to different relying parties should not be correlatable via batch-issued credentials and pseudonymous identifiers), and data minimization (GDPR compliance — only the minimum data necessary for a specific purpose is shared). Automatic sharing of all attributes would violate these principles.",/learn/digital-id,researcher
digid-014,digital-id,multiple-choice,intermediate,full,By when must private sector entities accept EUDI Wallet credentials under eIDAS 2.0?,December 2025,May 2026,Late 2027,January 2030,c,"Under eIDAS 2.0, private sector entities are required to accept EUDI Wallet credentials by late 2027. This follows the December 2026 deadline for member states to make wallets available, giving the private sector approximately one year to integrate wallet-based identity verification.",/learn/digital-id,researcher
digid-015,digital-id,multiple-choice,advanced,full,What is the correct structure of an SD-JWT Verifiable Credential?,<Disclosure1>~<Disclosure2>~<IssuerJWT>,<IssuerJWT>~<Disclosure1>~<Disclosure2>...~<KB-JWT>,<KB-JWT>~<IssuerJWT>~<Disclosures>,Header.Claims.Disclosures.Signature,b,"An SD-JWT VC has the structure: <IssuerJWT>~<Disclosure1>~<Disclosure2>...~<KB-JWT>. The Issuer JWT contains the signed claims (Header.Payload.Signature in Base64URL). Each Disclosure is a Base64URL-encoded [salt, key, value] array. The Key Binding JWT (KB-JWT) at the end is signed by the holder and contains iat, aud, nonce, and sd_hash.",/learn/digital-id,researcher
digid-016,digital-id,multi-select,intermediate,both,Which of the following are components of the eIDAS 2.0 trust framework? (Select all that apply),National Trusted Lists of certified QTSPs published by each member state,Cross-border mutual recognition of wallets and PIDs across all 27 member states,A centralized EU-wide identity database storing all citizen data,Wallet Unit Attestation (WUA) attesting wallet authenticity and security,a|b|d,"The eIDAS 2.0 trust framework includes National Trusted Lists (machine-readable registries of certified QTSPs published by each member state), cross-border mutual recognition (ensuring wallets, PIDs, and attestations are accepted across all 27 EU states), and Wallet Unit Attestation (WUA, attesting to wallet authenticity, security, and device binding). There is no centralized EU-wide identity database — the system is decentralized by design.",/learn/digital-id,researcher
digid-017,digital-id,multiple-choice,advanced,full,What is the primary purpose of the Cloud Signature Consortium (CSC) API in the EUDI ecosystem?,Managing wallet backup and recovery across devices,Enabling remote qualified electronic signatures where the signing key never leaves the HSM,Issuing PID credentials to citizens on behalf of national authorities,Validating credential revocation status against National Trusted Lists,b,"The CSC (Cloud Signature Consortium) API v2 is the standard for remote signature creation in the EUDI ecosystem. It enables Qualified Electronic Signatures where the signing key never leaves the Hardware Security Module (HSM). The API enforces Sole Control Assurance (SCAL2), ensuring only the authorized user can trigger signature operations.",/learn/digital-id,researcher
digid-018,digital-id,true-false,intermediate,both,True or False: A PID Provider will issue credentials to a wallet without a valid Wallet Unit Attestation (WUA).,True,False,,,false,"False. No PID Provider will issue credentials without a valid Wallet Unit Attestation (WUA). The WUA attests to the authenticity of the wallet instance, its security properties, device binding, and that the wallet is genuine, unmodified, and running on certified hardware. It is a prerequisite for any credential issuance.",/learn/digital-id,researcher
digid-019,digital-id,multi-select,advanced,full,Which post-quantum algorithms are expected to be adopted for future EUDI Wallet implementations? (Select all that apply),ML-DSA (Module-Lattice-Based Digital Signature Algorithm),SLH-DSA (Stateless Hash-Based Digital Signature Algorithm),ML-KEM (Module-Lattice-Based Key Encapsulation Mechanism),BIKE (Bit Flipping Key Encapsulation),a|b,"ENISA has identified ML-DSA and SLH-DSA as the expected PQC signature algorithms for future EUDI Wallet implementations. Digital identity primarily requires digital signatures for credential issuance, presentation, and verification. ML-KEM and BIKE are key encapsulation mechanisms, which are less directly relevant to the credential signature use case. Research is ongoing via ETSI TR 104 016.",/learn/digital-id,researcher
digid-020,digital-id,multiple-choice,advanced,full,How many EU-funded Large-Scale Pilots (LSPs) are testing EUDI Wallet implementations across 26+ countries?,2,4,6,8,b,"The EU funded four Large-Scale Pilots to test EUDI Wallet implementations across 26+ countries with 550+ organizations: DC4EU (Education & Social Security), EWC (Travel & Organizational Identity), APTITUDE (Banking & Telecom), and WE BUILD (Government Services). These pilots validate real-world use cases before the 2026 wallet rollout.",/learn/digital-id,researcher
pki-001,pki-infrastructure,multiple-choice,beginner,both,What does PKI stand for?,Private Key Infrastructure,Public Key Infrastructure,Post-quantum Key Integration,Protected Key Interchange,b,"Public Key Infrastructure (PKI) is a framework for creating, managing, distributing, and revoking digital certificates. It binds public keys to identities using Certificate Authorities (CAs) and is defined by ITU-T X.509 and profiled for the Internet by RFC 5280.",/learn/pki,researcher|developer
pki-002,pki-infrastructure,multiple-choice,beginner,both,Which entity in a PKI hierarchy is responsible for signing and issuing digital certificates?,Registration Authority (RA),End Entity,Certificate Authority (CA),Key Distribution Center (KDC),c,"The Certificate Authority (CA) is the trusted entity that validates identities and signs digital certificates with its private key. The Registration Authority (RA) handles identity verification before the CA issues a certificate, while End Entities are the certificate holders.",/learn/pki,researcher|developer
pki-003,pki-infrastructure,multiple-choice,beginner,both,What standard defines the format of digital certificates used in PKI?,PKCS#10,X.509,OAuth 2.0,SAML 2.0,b,"X.509 is the ITU-T standard that defines the format of public key certificates. Version 3 (X.509v3) adds support for extensions. RFC 5280 profiles X.509v3 for Internet use, specifying required fields and extension semantics.",/learn/pki,researcher|developer
pki-004,pki-infrastructure,true-false,beginner,both,True or False: A Root Certificate Authority's certificate is self-signed — the issuer and subject are the same entity.,True,False,,,true,"True. Root CAs sit at the top of the PKI hierarchy and sign their own certificates. The Issuer and Subject Distinguished Names are identical. Trust in a Root CA is established out-of-band (e.g., pre-installed in operating systems and browsers) rather than through another certificate.",/learn/pki,researcher|developer
pki-005,pki-infrastructure,multiple-choice,beginner,both,What is a Certificate Signing Request (CSR) used for in the PKI certificate lifecycle?,Revoking an expired certificate,Requesting a CA to issue a signed certificate,Distributing a certificate revocation list,Encrypting data with the CA's public key,b,"A CSR (defined in PKCS#10 / RFC 2986) is a message sent from an applicant to a Certificate Authority containing the applicant's public key and identity information. The CA validates the request, then signs a certificate binding that public key to the requested identity.",/learn/pki,researcher|developer
pki-006,pki-infrastructure,multi-select,intermediate,both,Which of the following are standard stages in the PKI certificate lifecycle? (Select all that apply),Key generation and CSR creation,CA signing and issuance,Certificate use (TLS / code signing / S/MIME),Revocation or renewal,a|b|c|d,"The complete PKI certificate lifecycle consists of: (1) Key Generation — creating an asymmetric key pair, (2) CSR Creation — packaging the public key with identity info per PKCS#10, (3) CA Signing — the CA validates and signs the certificate, (4) Certificate Use — deployment in TLS, code signing, S/MIME, etc., and (5) Revocation/Renewal — ending the certificate's validity via CRL/OCSP or re-issuing.",/learn/pki,researcher|developer
pki-007,pki-infrastructure,multiple-choice,intermediate,both,"In an X.509v3 certificate, what does the Basic Constraints extension indicate?",The certificate's encryption strength,Whether the certificate belongs to a CA or an end entity,The geographic region where the certificate is valid,The certificate's revocation status,b,"The Basic Constraints extension (RFC 5280 Section 4.2.1.9) indicates whether the subject is a CA (CA:TRUE with optional pathLenConstraint) or an end entity (CA:FALSE). This is critical for chain validation — without CA:TRUE, a certificate cannot sign other certificates.",/learn/pki,researcher|developer
pki-008,pki-infrastructure,multiple-choice,intermediate,both,Which RFC defines the Internet X.509 PKI Certificate and Certificate Revocation List (CRL) Profile?,RFC 2986,RFC 5280,RFC 6960,RFC 4210,b,"RFC 5280 is the foundational standard that profiles X.509v3 certificates and CRLs for Internet use. It defines required and optional fields, extension processing rules, and certificate path validation. RFC 2986 covers CSR syntax, RFC 6960 covers OCSP, and RFC 4210 covers CMP.",/learn/pki,researcher|developer
pki-009,pki-infrastructure,true-false,intermediate,both,"True or False: ML-DSA (FIPS 204) signatures are significantly larger than classical RSA signatures — for example, ML-DSA-65 produces ~3,309 byte signatures compared to ~256–512 bytes for RSA.",True,False,,,true,"True. ML-DSA-65 (NIST Security Level 3) produces signatures of approximately 3,309 bytes, compared to 256 bytes for RSA-2048 or 512 bytes for RSA-4096. This size increase is a key challenge for PQC migration in PKI, especially for constrained devices and certificate chains where multiple signatures compound the overhead.",/learn/pki,researcher|developer
pki-010,pki-infrastructure,multiple-choice,intermediate,both,What is the primary advantage of SLH-DSA (FIPS 205) over ML-DSA (FIPS 204) for PKI applications?,Smaller signature sizes,Faster signing performance,Conservative security assumptions based solely on hash function security,Lower public key sizes,c,"SLH-DSA (Stateless Hash-Based Digital Signature Algorithm) derives its security entirely from the properties of hash functions, which are among the most well-studied primitives in cryptography. This makes SLH-DSA a conservative choice with minimal cryptographic assumptions, though at the cost of significantly larger signatures (~7,856 bytes for SLH-DSA-SHA2-128s) and slower signing (~500x slower than ML-DSA).",/learn/pki,researcher|developer
pki-011,pki-infrastructure,multiple-choice,intermediate,both,What is the purpose of hybrid certificates in the PQC transition for PKI?,To reduce certificate file sizes,To include both classical and PQC signatures for backward compatibility,To encrypt data with two algorithms simultaneously,To replace CRL-based revocation with OCSP,b,"Hybrid certificates include both a classical signature (e.g., RSA or ECDSA) and a PQC signature (e.g., ML-DSA). PQC-capable systems verify the quantum-safe signature, while legacy systems fall back to the classical signature. This enables gradual migration without a hard cutover and maintains security even if one algorithm family is compromised.",/learn/pki,researcher|developer
pki-012,pki-infrastructure,true-false,intermediate,both,"True or False: HNFL (Harvest Now, Forge Later) attacks are particularly concerning for Root CA private keys because Root CAs typically have 20+ year lifetimes.",True,False,,,true,"True. Root CA certificates often have validity periods of 20–30 years or more. An adversary who obtains the Root CA's public key today could potentially derive the private key once a CRQC becomes available to forge certificates. Since Root CAs anchor entire trust hierarchies, compromising a Root CA private key would undermine all certificates in that chain — past, present, and future.",/learn/pki,researcher|developer
pki-013,pki-infrastructure,multi-select,intermediate,both,Which of the following are standard X.509v3 certificate extensions defined in RFC 5280? (Select all that apply),Key Usage,Subject Alternative Name (SAN),CRL Distribution Points,OAuth Scope,a|b|c,"Key Usage (Section 4.2.1.3) restricts the purposes for the certified public key (e.g., digitalSignature, keyCertSign). Subject Alternative Name (Section 4.2.1.6) allows additional identities (DNS names, IP addresses, emails). CRL Distribution Points (Section 4.2.1.13) identifies where to retrieve revocation information. OAuth Scope is not an X.509 extension — it belongs to the OAuth 2.0 authorization framework.",/learn/pki,researcher|developer
