software_name,category_id,category_name,infrastructure_layer,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date,migration_phases,learning_modules
Entrust PKI,CSC-004,Public Key Infrastructure (PKI) Software,Security Stack,Yes (Hybrid PQC via nShield),PKI platform with PQC capabilities via nShield HSM integration. Supports hybrid certificate operations combining classical and post-quantum algorithms.,Commercial,Commercial,Current,2025,Yes (FIPS 140-2 L3 via nShield),Critical,Cloud On-Premise,"Finance, Government, Healthcare",https://www.entrust.com/digital-security/certificate-solutions,,Enterprise PKI with PQC support via nShield HSM integration. Hybrid certificate operations for gradual PQC transition.,Trusted Vendor,Partially Verified,2026-02-16,"migrate,launch",pki-workshop;merkle-tree-certs
Microsoft AD CS,CSC-004,Public Key Infrastructure (PKI) Software,Security Stack,Planned,Windows Server 2025 includes ML-KEM and ML-DSA in CNG but AD CS certificate templates do not yet natively support PQC algorithm OIDs for certificate issuance.,Commercial,Commercial,Windows Server 2025,2025-11,Yes (Windows FIPS mode),High,Windows Server,"Enterprise, Government",https://learn.microsoft.com/en-us/windows-server/identity/ad-cs/,,Windows PKI platform. CNG has PQC algorithms but AD CS templates do not yet support PQC certificate issuance natively.,Trusted Vendor,Partially Verified,2026-02-16,"migrate,launch",pki-workshop;merkle-tree-certs
smallstep Certificate Authority,CSC-004,Public Key Infrastructure (PKI) Software,Security Stack,Limited,Modern zero-trust CA built in Go. Go 1.24+ includes crypto/mlkem with ML-KEM support. However step-ca does not yet expose PQC certificate issuance APIs. PQC-aware TLS for ACME and mTLS connections possible via Go runtime.,Open Source,Apache-2.0,0.28.x,2025,No,High,Linux macOS Windows Docker Kubernetes,All industries,https://smallstep.com/docs/step-ca/,https://github.com/smallstep/certificates,Modern CA with ACME support. PQC certificate issuance not yet available but Go runtime provides transport-layer quantum safety.,Open Source Community,Partially Verified,2026-02-16,"migrate,launch",pki-workshop;merkle-tree-certs
PQClean,CSC-016,Post-Quantum Cryptography Libraries,Application,Yes (ML-KEM ML-DSA SLH-DSA HQC Falcon),Clean portable C implementations of all NIST PQC algorithms. Focused on correctness readability and ease of integration. Each implementation is standalone with no external dependencies. Used as reference by pqcrypto Rust crate.,Open Source,Public Domain/CC0,Current,2025,No,Critical,Cross-platform (C99),All industries,https://github.com/PQClean/PQClean,https://github.com/PQClean/PQClean,Clean standalone C implementations of PQC algorithms. Reference quality code used by multiple language binding projects.,Open Source Community,Verified,2026-02-16,"prepare,test",hybrid-crypto;stateful-signatures
CRYSTALS Reference Implementations,CSC-016,Post-Quantum Cryptography Libraries,Application,Yes (ML-KEM-512/768/1024 ML-DSA-44/65/87),Official NIST reference implementations of ML-KEM (FIPS 203) and ML-DSA (FIPS 204). Canonical implementation used for validation and testing.,Open Source,Public Domain,FIPS 203/204 Final,2024-08,No (Reference Only),Critical,Cross-platform (C),All industries,https://pq-crystals.org/,https://github.com/pq-crystals,NIST reference implementations for ML-KEM and ML-DSA. Canonical source for algorithm correctness validation.,Government/Standards,Verified,2026-02-16,"prepare,test",hybrid-crypto;stateful-signatures
IBM Quantum Safe Toolkit,CSC-016,Post-Quantum Cryptography Libraries,Application,Yes (ML-KEM ML-DSA SLH-DSA Hybrid),IBM's quantum-safe cryptography toolkit with ML-KEM ML-DSA and SLH-DSA. IBM z16 provides on-chip quantum-safe acceleration. Quantum Safe Explorer tool for discovering and remediating quantum-vulnerable cryptography.,Commercial,Commercial/Apache-2.0,Current,2025,Yes (z16 FIPS 140-2 L4),Critical,IBM Z Linux Cloud,Enterprise Government Finance,https://www.ibm.com/quantum/quantum-safe,,Enterprise PQC toolkit with mainframe hardware acceleration. Includes discovery and migration tools.,Trusted Vendor,Partially Verified,2026-02-16,"prepare,test",hybrid-crypto;stateful-signatures
jose4j,CSC-015,API Security and JWT Libraries,Application,No,Java implementation of JWS JWE JWK and JWT standards. No PQC algorithm support. Supports RSA ECDSA HMAC AES with standard JOSE algorithms. PQC blocked by IETF draft-ietf-jose-pqc-algorithms standardization.,Open Source,Apache-2.0,0.9.6,2025-01,No,High,Java 8+,All industries,https://bitbucket.org/b_c/jose4j/wiki/Home,https://bitbucket.org/b_c/jose4j,Java JOSE library. No PQC. Blocked by IETF PQC JOSE specification.,Open Source Community,Verified,2026-02-16,"migrate,launch",api-security-jwt
Nimbus JOSE+JWT,CSC-015,API Security and JWT Libraries,Application,No,Feature-rich Java JOSE library. No PQC algorithm support. Comprehensive implementation of RFC 7515-7519 with RSA ECDSA EdDSA and AES. PQC dependent on IETF draft-ietf-jose-pqc-algorithms finalization.,Open Source,Apache-2.0,10.x,2025,No,High,Java 8+,All industries,https://connect2id.com/products/nimbus-jose-jwt,,Java JOSE/JWT library. No PQC. Awaiting IETF PQC JOSE specification.,Open Source Community,Verified,2026-02-16,"migrate,launch",api-security-jwt
jsonwebtoken (auth0),CSC-015,API Security and JWT Libraries,Application,No,Most popular Node.js JWT library. No PQC algorithm support. Uses RSA ECDSA HMAC for token signing. PQC integration blocked by IETF PQC JOSE specification and Node.js crypto API PQC support.,Open Source,MIT,9.0.2,2024,No,High,Node.js,All industries,https://github.com/auth0/node-jsonwebtoken,https://github.com/auth0/node-jsonwebtoken,Node.js JWT library. No PQC. Dependent on Node.js crypto API and IETF PQC JOSE specification.,Open Source Community,Verified,2026-02-16,"migrate,launch",api-security-jwt
go-jose v4,CSC-015,API Security and JWT Libraries,Application,No,Go implementation of JOSE standards. No PQC support despite Go 1.24+ having native crypto/mlkem in stdlib.,Open Source,Apache-2.0,4.1.3,2025-10-03,No,High,Go,All industries,https://github.com/go-jose/go-jose,https://github.com/go-jose/go-jose,Go JOSE library. No PQC support despite Go stdlib having native ML-KEM.,Open Source Community,Verified,2026-02-16,"migrate,launch",api-security-jwt
Spring Security OAuth2,CSC-015,API Security and JWT Libraries,Application,Planned,No current PQC support. Open GitHub issue #18103 requests Java 25 PQC support. Could leverage Bouncy Castle PQC provider once IETF standardizes PQC identifiers for JOSE.,Open Source,Apache-2.0,6.4.4,2026-02,No,High,Java 17+ Spring Boot,All industries,https://spring.io/projects/spring-security,https://github.com/spring-projects/spring-security/issues/18103,Spring Security OAuth2/JWT framework. Community-requested PQC support pending.,Open Source Foundation,Verified,2026-02-16,"migrate,launch",api-security-jwt
UEFI Forum Secure Boot,CSC-026,Secure Boot and Firmware Security,Hardware,Planned,No PQC algorithm support in current UEFI Secure Boot specification (UEFI 2.10). Signature database supports RSA-2048 SHA-256 only. Future revisions expected to add ML-DSA/SLH-DSA for firmware signature verification.,Industry Standard,Industry Standard,UEFI 2.10,2024-08,No,High,x86_64 ARM64 RISC-V,All industries,https://uefi.org/specifications,https://uefi.org/specifications,Industry standard firmware interface. PQC for Secure Boot awaiting specification update.,Industry Standard,Verified,2026-02-16,launch,iot-ot-pqc
coreboot,CSC-026,Secure Boot and Firmware Security,Hardware,No,No PQC algorithm support. Open-source firmware uses vboot (Google Verified Boot) with RSA and SHA-256. Zero GitHub issues for post-quantum algorithms.,Open Source,GPLv2,24.12,2025-03-27,No,High,x86 ARM,All industries,https://www.coreboot.org/,https://github.com/coreboot/coreboot,Open-source firmware replacing proprietary BIOS/UEFI. No PQC support for firmware verification.,Open Source Foundation,Verified,2026-02-16,launch,iot-ot-pqc
U-Boot,CSC-026,Secure Boot and Firmware Security,Hardware,No,No PQC algorithm support. Universal Boot Loader supports FIT image verification using RSA-2048/4096 and SHA-256/512. PQC signature verification not on roadmap.,Open Source,GPLv2+,2026.01,2026-01,No,High,ARM MIPS RISC-V x86 PowerPC,All industries,https://u-boot.readthedocs.io/,https://github.com/u-boot/u-boot,Universal bootloader for embedded systems. Verified boot uses RSA/SHA only. No PQC support.,Open Source Foundation,Verified,2026-02-16,launch,iot-ot-pqc
Linux IMA/EVM,CSC-026,Secure Boot and Firmware Security,Hardware,No,No PQC algorithm support for file integrity verification. IMA and EVM use RSA/ECDSA signatures and SHA-256/512. Kernel crypto API does not include ML-DSA or SLH-DSA.,Open Source,GPLv2,6.13,2025-01,No,High,Linux,All industries,https://sourceforge.net/p/linux-ima/wiki/Home/,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tree/security/integrity,Linux kernel integrity subsystem. IMA/EVM file verification limited to RSA/ECDSA.,Open Source Foundation,Verified,2026-02-16,launch,iot-ot-pqc
Windows Secure Boot,CSC-026,Secure Boot and Firmware Security,Hardware,Planned,No PQC firmware signature verification in current Secure Boot. CNG supports ML-KEM/ML-DSA for applications but Secure Boot chain still uses RSA-2048.,Commercial,Commercial,Windows 11 24H2,2024-10,Yes (Classical),High,x86_64 ARM64,All industries,https://learn.microsoft.com/en-us/windows/security/operating-system-security/system-security/secure-boot-and-device-encryption/secure-boot,,Microsoft Secure Boot. Classical RSA/SHA signatures only. PQC firmware signing expected in future releases.,Trusted Vendor,Verified,2026-02-16,launch,iot-ot-pqc
ARM Trusted Firmware (TF-A),CSC-026,Secure Boot and Firmware Security,Hardware,No,No PQC algorithm support. Secure Boot for ARM uses RSA-2048/3072 ECDSA-P256. Zero GitHub issues for post-quantum algorithms.,Open Source,BSD-3-Clause,2.14.0,2025-11,No,High,ARM Cortex-A AArch64,All industries,https://www.trustedfirmware.org/,https://github.com/ARM-software/arm-trusted-firmware,Reference implementation of ARM Secure Boot. Classical signatures only.,Open Source Foundation,Verified,2026-02-16,launch,iot-ot-pqc
VeraCrypt,CSC-006,Disk and File Encryption Software,Application,No,No PQC algorithm support. Uses AES-256 (quantum-resistant) for symmetric encryption. Community feature requests for PQC (GitHub issues #498 #1406) closed without implementation. Key derivation lacks PQC key encapsulation.,Open Source,Apache-2.0,1.26.24,2025-05-31,No,High,Windows Linux macOS FreeBSD,All industries,https://veracrypt.fr/,https://github.com/veracrypt/VeraCrypt,Open-source disk encryption. AES-256 is quantum-resistant but lacks PQC key encapsulation.,Open Source Community,Verified,2026-02-16,launch,
BitLocker (Windows),CSC-006,Disk and File Encryption Software,Application,No,No PQC key wrapping support. Uses AES-128/256 with XTS mode. Windows CNG supports ML-KEM/ML-DSA but BitLocker key protection chain not updated to use PQC. AES-256-XTS is quantum-resistant.,Proprietary,Commercial,Windows 11 24H2,2024-10,Yes (Classical FIPS 140-2),High,Windows,All industries,https://learn.microsoft.com/en-us/windows/security/operating-system-security/data-protection/bitlocker/,,Microsoft full disk encryption. AES-XTS is quantum-safe but key protection chain uses classical RSA via TPM.,Trusted Vendor,Verified,2026-02-16,launch,
LUKS/dm-crypt,CSC-006,Disk and File Encryption Software,Application,No,No PQC algorithm support. LUKS2 uses AES-XTS-256 with Argon2id for key derivation. No PQC key encapsulation for master key wrapping. AES-256-XTS is quantum-resistant.,Open Source,GPLv2+,2.7.5,2025-10,No,High,Linux,All industries,https://gitlab.com/cryptsetup/cryptsetup,https://gitlab.com/cryptsetup/cryptsetup,Linux disk encryption standard. AES-256-XTS is quantum-safe but key management lacks PQC.,Open Source Foundation,Verified,2026-02-16,launch,
FileVault (macOS),CSC-006,Disk and File Encryption Software,OS,No,No PQC key wrapping support. AES-XTS-256 for full-volume encryption. Apple CryptoKit has ML-KEM/ML-DSA but FileVault key protection chain not updated. AES-256-XTS is quantum-resistant.,Proprietary,Commercial,macOS 26.3,2026-02-11,Yes (Platform FIPS),High,macOS (Apple Silicon Intel),All industries,https://support.apple.com/guide/mac-help/protect-data-on-your-mac-with-filevault-mh11785/mac,,Apple full-disk encryption. AES-256-XTS is quantum-safe but key wrapping has not adopted CryptoKit PQC APIs.,Trusted Vendor,Verified,2026-02-16,launch,
MongoDB Queryable Encryption,CSC-007,Database Encryption Software,Database,No,No PQC algorithm support. Client-Side Field Level Encryption uses AES-256. Data Encryption Keys wrapped via AWS KMS Azure Key Vault or GCP KMS using RSA-OAEP. AES-256 is quantum-resistant but key management relies on classical PKI.,Commercial,SSPL/Commercial,8.0,2024-10,No,High,Linux Windows macOS,"Finance, Healthcare, Retail, Government",https://www.mongodb.com/docs/manual/core/queryable-encryption/,https://github.com/mongodb/libmongocrypt,MongoDB client-side encryption. AES-256 is quantum-safe but key wrapping uses classical algorithms.,Trusted Vendor,Verified,2026-02-16,launch,
Oracle TDE,CSC-007,Database Encryption Software,Database,No,No PQC algorithm support. Transparent Data Encryption uses AES-128/192/256. Master key stored in Oracle Key Vault using PKCS#12 with RSA key transport. AES-256 is quantum-resistant.,Commercial,Commercial,23ai,2024,Yes (FIPS 140-2 via OKV),High,Linux Windows Solaris AIX,"Finance, Healthcare, Government, Enterprise",https://www.oracle.com/database/technologies/security/tde.html,,Oracle database transparent encryption. Classical RSA key management. No PQC key wrapping.,Trusted Vendor,Needs Verification,2026-02-16,launch,
SQL Server TDE/Always Encrypted,CSC-007,Database Encryption Software,Database,No,No PQC algorithm support. TDE uses AES-256. Always Encrypted uses AES-256-CBC with HMAC. Column Encryption Keys wrapped by RSA-OAEP. Microsoft CNG supports ML-KEM but SQL Server has not integrated PQC.,Commercial,Commercial,SQL Server 2022,2022-11,Yes (FIPS 140-2),High,Windows Linux (Docker),"Finance, Healthcare, Government, Enterprise",https://learn.microsoft.com/en-us/sql/relational-databases/security/encryption/transparent-data-encryption,,Microsoft SQL Server encryption. Classical RSA key wrapping. CNG has PQC but SQL Server has not adopted it.,Trusted Vendor,Verified,2026-02-16,launch,
PostgreSQL pgcrypto,CSC-007,Database Encryption Software,Database,No,No PQC algorithm support. pgcrypto provides AES and PGP encryption using OpenSSL backend. OpenSSL 3.5+ has ML-KEM/ML-DSA but pgcrypto does not expose PQC functions.,Open Source,PostgreSQL License,17.2,2025-11,No,High,Linux Windows macOS,All industries,https://www.postgresql.org/docs/current/pgcrypto.html,,PostgreSQL encryption extension. Uses OpenSSL backend but does not expose PQC algorithms.,Open Source Foundation,Verified,2026-02-16,launch,
MySQL Enterprise Encryption,CSC-007,Database Encryption Software,Database,No,No PQC algorithm support. MySQL provides RSA DH DSA and ECDH functions via OpenSSL. InnoDB tablespace encryption uses AES-256. No ML-KEM ML-DSA functions exposed.,Commercial,Commercial/GPLv2,9.2,2025-01,No,High,Linux Windows macOS,"Finance, Healthcare, Enterprise",https://dev.mysql.com/doc/refman/en/enterprise-encryption.html,,MySQL enterprise encryption functions. Classical RSA/DSA/ECDH only.,Trusted Vendor,Verified,2026-02-16,launch,
CockroachDB Encryption,CSC-007,Database Encryption Software,Database,No,No PQC algorithm support. Encryption at Rest uses AES-128/192/256-CTR. Go 1.26 has native ML-KEM for TLS but CockroachDB has not integrated PQC for encryption at rest.,Commercial,BSL/CockroachDB License,25.2,2025-11,No,High,Linux Windows macOS,"Finance, Enterprise, SaaS",https://www.cockroachlabs.com/docs/stable/encryption.html,https://github.com/cockroachdb/cockroach,CockroachDB encryption at rest. AES-256 is quantum-safe. Go stdlib ML-KEM not integrated.,Trusted Vendor,Verified,2026-02-16,launch,
Proton Mail,CSC-008,Email Encryption Software,Application,Yes (Kyber/ML-KEM Hybrid),First major email provider to deploy post-quantum encryption. Uses hybrid Curve25519 + Kyber key encapsulation for end-to-end encrypted email. Initially deployed with CRYSTALS-Kyber (pre-NIST standard) September 2023.,Open Source,Open Source (Server proprietary),4.x,2023-09,No,High,Web iOS Android,"Consumer, Enterprise, Government",https://proton.me/blog/post-quantum-encryption,https://github.com/ProtonMail,First email provider with production PQC encryption protecting emails against quantum threats.,Trusted Vendor,Verified,2026-02-16,launch,email-signing
GnuPG,CSC-008,Email Encryption Software,Application,Yes (ML-KEM-768+X25519 Composite KEM),Implements LibrePGP PQC specification. Supports composite PQC keys combining ML-KEM-768 with X25519 for encryption (key encapsulation). Signature PQC (ML-DSA) not yet implemented in 2.5.x.,Open Source,GPLv3,2.5.x,2024-09,No,High,Linux macOS Windows,All industries,https://gnupg.org/,https://github.com/gpg/gnupg,Reference OpenPGP implementation with PQC composite key support for quantum-resistant email and file encryption.,Open Source Foundation,Verified,2026-02-16,launch,email-signing
Thunderbird + OpenPGP,CSC-008,Email Encryption Software,Application,No,Uses RNP library for OpenPGP. RNP does not implement PQC algorithms. Dependent on IETF PQC-in-OpenPGP standard finalization.,Open Source,MPL-2.0,128.x,2025,No,High,Linux macOS Windows,All industries,https://www.thunderbird.net/,https://github.com/nickolay/rnp,Open source email client with OpenPGP. PQC dependent on RNP library.,Open Source Foundation,Pending Verification,2026-02-16,launch,email-signing
Microsoft Outlook S/MIME,CSC-008,Email Encryption Software,Application,Planned,Windows CNG has ML-KEM/ML-DSA but Outlook S/MIME has not shipped PQC certificate support. Dependent on CA ecosystem issuing PQC X.509 certificates.,Commercial,Commercial,Microsoft 365,2025,Yes (via CNG),High,Windows macOS Web,Enterprise Government,https://www.microsoft.com/en-us/microsoft-365,,Enterprise email with S/MIME encryption. PQC primitives available in OS but not in Outlook S/MIME workflow.,Trusted Vendor,Pending Verification,2026-02-16,launch,email-signing
Adobe Acrobat Sign,CSC-009,Digital Signature Software,Application,No,Uses RSA and ECDSA for PDF digital signatures (PAdES). No PQC signature support announced. Dependent on ETSI PAdES specification updates for PQC.,Commercial,Commercial,Current,2025,No,High,Web iOS Android Desktop,"Finance, Legal, Government, Healthcare",https://www.adobe.com/sign.html,,Leading eSignature platform. PQC dependent on ETSI PAdES and CA ecosystem readiness.,Trusted Vendor,Pending Verification,2026-02-16,migrate,email-signing
DocuSign,CSC-009,Digital Signature Software,Application,No,Uses RSA-2048/4096 and SHA-256. No public PQC announcements. PQC transition depends on PKI ecosystem supporting PQC signature algorithms.,Commercial,Commercial,Current,2025,No,High,Web iOS Android,"Finance, Legal, Real Estate, Healthcare",https://www.docusign.com/,,Market-leading eSignature platform. PQC dependent on PKI ecosystem updates.,Trusted Vendor,Pending Verification,2026-02-16,migrate,email-signing
DigiCert SigningHub,CSC-009,Digital Signature Software,Application,Planned,DigiCert is actively involved in PQC with hybrid TLS certificates. SigningHub positioned for PQC through DigiCert infrastructure but has not yet shipped PQC document signatures.,Commercial,Commercial,Current,2025,Yes (via DigiCert PKI),High,Cloud Web,"Finance, Legal, Government, Healthcare",https://www.digicert.com/signing/signhub,,Cloud document signing with PQC roadmap through DigiCert PQC certificate infrastructure.,Trusted Vendor,Pending Verification,2026-02-16,migrate,email-signing
Entrust Signing Automation,CSC-009,Digital Signature Software,Application,Planned,PQC capabilities in nShield HSMs. ML-DSA and SLH-DSA integration expected through HSM backend upgrades. No confirmed production PQC signing deployment.,Commercial,Commercial,Current,2025,Yes (via nShield HSM),High,Cloud Linux Windows,"Finance, Legal, Government",https://www.entrust.com/digital-security/digital-signing,,Enterprise signing automation. PQC capabilities available through Entrust nShield HSM backend.,Trusted Vendor,Pending Verification,2026-02-16,migrate,email-signing
GlobalSign Digital Signing Service,CSC-009,Digital Signature Software,Application,No,Cloud-based digital signing using RSA and ECDSA. No public PQC announcements. Active CA/Browser Forum member discussing PQC certificate profiles.,Commercial,Commercial,Current,2025,No,High,Cloud API,"Finance, Legal, Government",https://www.globalsign.com/en/digital-signing-service,,CA-backed digital signing service. PQC dependent on CA/Browser Forum PQC certificate standards.,Trusted Vendor,Pending Verification,2026-02-16,migrate,email-signing
sigstore/cosign,CSC-017,Code Signing and Software Integrity,Application,Planned (PQC infra in progress),Uses ECDSA P-256 (default) with Ed25519 and ECDSA P-521 via --signing-algorithm flag (v3.0.3+). ML-DSA added to Sigstore protobuf specs. Cryptographic agility implemented across cosign/Fulcio/Rekor by Trail of Bits. Private Sigstore instances can experiment with PQC signing via custom Keypair implementations. Public instance awaiting Go stdlib ML-DSA support (Go 1.26+).,Open Source,Apache-2.0,3.0.5,2026-02,No,High,Linux macOS Windows,All industries,https://www.sigstore.dev/,https://github.com/sigstore/cosign,Keyless code signing for containers with PQC cryptographic agility. ML-DSA in protobuf specs; private instances can experiment with PQC signing.,Open Source Foundation,Verified,2026-02-24,migrate,code-signing
Microsoft SignTool,CSC-017,Code Signing and Software Integrity,Application,Planned,Windows CNG has ML-KEM/ML-DSA but Authenticode code signing not yet updated for PQC algorithms. Dual-signing approach likely for backward compatibility.,Commercial,Commercial,Windows SDK,2025,Yes (via CNG),High,Windows,"Enterprise, Software Development",https://learn.microsoft.com/en-us/windows/win32/seccrypto/signtool,,Windows code signing tool. PQC primitives in CNG but Authenticode format not yet updated.,Trusted Vendor,Pending Verification,2026-02-16,migrate,code-signing
Apple codesign,CSC-017,Code Signing and Software Integrity,Application,No,Apple shipped ML-KEM 768/1024 and ML-DSA-65/87 in CryptoKit (iOS 26/macOS Tahoe Sep 2025) with Secure Enclave support and formal verification. Code signing infrastructure (codesign tool Mach-O code signature format notarization service) not yet updated for PQC. No announced PQC code signing timeline.,Proprietary,Commercial,Xcode 17.x,2025-09,No,High,macOS iOS,"Software Development, Enterprise",https://developer.apple.com/documentation/security/code_signing_services,,Apple platform code signing. ML-KEM/ML-DSA available in CryptoKit with Secure Enclave support but code signing infrastructure not yet updated for PQC.,Trusted Vendor,Pending Verification,2026-02-24,migrate,code-signing
Notary Project,CSC-017,Code Signing and Software Integrity,Application,No,CNCF container image signing using X.509 certificates. RSA and ECDSA only. Plugin architecture could enable future PQC through third-party providers.,Open Source,Apache-2.0,1.2.x,2025,No,High,Linux macOS Windows,All industries,https://notaryproject.dev/,https://github.com/notaryproject/notation,CNCF container image signing. Plugin architecture may enable future PQC integration.,Open Source Foundation,Pending Verification,2026-02-16,migrate,code-signing
GPG Code Signing,CSC-017,Code Signing and Software Integrity,Application,Yes (ML-KEM-768+X25519 Composite KEM),GnuPG 2.5.x supports PQC composite key encapsulation per LibrePGP specification. ML-KEM-768+X25519 and ML-KEM-1024+X448 composites for quantum-resistant encryption (FIPS-203 compliant since v2.5.1). PQC signatures (ML-DSA) not yet implemented. Note: follows LibrePGP v5 keys not IETF OpenPGP RFC 9580 v6 format; interoperability constraints exist.,Open Source,GPLv3,2.5.18,2024-09,No,High,Linux macOS Windows,All industries,https://gnupg.org/,https://github.com/gpg/gnupg,OpenPGP with PQC composite key encapsulation (ML-KEM). PQC code signing signatures not yet available.,Open Source Foundation,Verified,2026-02-24,migrate,code-signing
DigiCert Software Trust Manager,CSC-017,Code Signing and Software Integrity,Application,Yes (ML-DSA),Enterprise code signing with ML-DSA keypair generation and signing supported since July 2025 (STM v1.1049.0). Private ML-DSA certificates available via Trust Lifecycle Manager (MLDSA-44/65/87 via CSR EST and REST API). Public CA PQC code signing certificates from CertCentral not yet available. CI/CD integration and secure key storage.,Commercial,Commercial,1.1049.0,2025-07,Yes (DigiCert PKI),High,Cloud API CI/CD,"Enterprise, Software Development",https://www.digicert.com/software-trust-manager,,Enterprise code signing platform with production ML-DSA support. Private PQC certificates via Trust Lifecycle Manager.,Trusted Vendor,Verified,2026-02-24,migrate,code-signing
AWS KMS (Cloud Gateway),CSC-028,Cloud Encryption Gateways,Cloud,Limited (Hybrid PQC TLS),KMS API endpoints support hybrid PQC TLS key exchange (ECDH + ML-KEM) for data in transit protection. Powered by AWS-LC with FIPS 140-3 validated ML-KEM. Native PQC key types on roadmap.,Commercial,Commercial (AWS),Current,2025,Yes (FIPS 140-2 L2),High,AWS Cloud,All industries,https://aws.amazon.com/kms/,,Managed key management with hybrid PQC TLS for API calls. Native PQC key types on roadmap.,Trusted Vendor,Verified,2026-02-16,"migrate,launch,rampup",
Google Cloud KMS (Cloud Gateway),CSC-028,Cloud Encryption Gateways,Cloud,Yes (ML-KEM GA / ML-DSA Preview),Cloud encryption gateway with PQC key types. ML-KEM-768/1024 and X-Wing (GA) for key encapsulation. ML-DSA-65 and SLH-DSA (Preview) for signing. Powered by BoringCrypto and Tink. Cloud HSM uses Marvell LiquidSecurity.,Commercial,Commercial (Google),Current,2025-10,Yes (FIPS 140-2 L1 software / L3 Cloud HSM),High,Google Cloud,All industries,https://cloud.google.com/kms,,Cloud encryption gateway with industry-leading PQC key type support for encapsulation and signing.,Trusted Vendor,Verified,2026-02-16,"migrate,launch,rampup",
Fortanix Data Security Manager,CSC-028,Cloud Encryption Gateways,Cloud,Planned,Multicloud key management with Confidential Computing (Intel SGX). PQC algorithm support on product roadmap but not confirmed as shipped.,Commercial,Commercial,Current,2025,Yes (FIPS 140-2 L2),High,Multicloud On-premises,"Finance, Healthcare, Government",https://www.fortanix.com/,,Multicloud encryption gateway with Confidential Computing. PQC on roadmap.,Trusted Vendor,Pending Verification,2026-02-16,"migrate,launch,rampup",
Thales CipherTrust Manager,CSC-028,Cloud Encryption Gateways,Cloud,Yes (ML-KEM ML-DSA via Luna HSM),Centralized key management and encryption gateway. ML-KEM TLS on Web UI (tech preview v2.20.0+) and SSH interface (tech preview v2.21.0+). Quantum-resilient ciphers for Google Workspace CSE connections (GA v2.22.0+). Integrates with Thales Luna HSMs (firmware 7.9+) for ML-KEM and ML-DSA. Transparent encryption and tokenization.,Commercial,Commercial,2.22.1,2026-02,Yes (FIPS 140-2 L2),High,Multicloud On-premises,"Finance, Healthcare, Government, Defense",https://cpl.thalesgroup.com/encryption/ciphertrust-manager,,Enterprise encryption gateway with PQC via Luna HSM. ML-KEM TLS (tech preview) and quantum-resilient Google Workspace CSE (GA). Centralized multicloud key management.,Trusted Vendor,Verified,2026-02-24,"migrate,launch,rampup",
Futurex Cloud,CSC-028,Cloud Encryption Gateways,Cloud,Yes (ML-KEM ML-DSA PCI Validated),Cloud-hosted encryption backed by CryptoHub HSMs with PCI HSM validated PQC. Supports ML-DSA and ML-KEM. KMES Series 3 VirtuCrypt cloud HSM.,Commercial,Commercial,Current,2025,Yes (PCI HSM),High,Cloud,Finance Enterprise,https://www.futurex.com/,,Cloud encryption gateway backed by PCI HSM validated PQC hardware.,Trusted Vendor,Verified,2026-02-16,"migrate,launch,rampup",
Nginx,CSC-038,Application Servers,Application,Yes (via OpenSSL/BoringSSL),Supports quantum-safe TLS via underlying OpenSSL 3.2+ or BoringSSL with ML-KEM hybrid key exchange functionality.,Open Source,2-clause BSD,1.28.x (stable) / 1.29.x (mainline),2025-12,No,Critical,Linux Windows,All industries,https://nginx.org,https://github.com/nginx/nginx,High-performance web server and reverse proxy. Relies on OS-level crypto libraries for PQC.,Open Source Foundation,Verified,2026-02-21,"migrate,launch",tls-basics
Apache HTTP Server,CSC-038,Application Servers,Application,Yes (via OpenSSL),mod_ssl supports quantum-safe TLS 1.3 when compiled against OpenSSL version 3.2 or newer with ML-KEM support.,Open Source,Apache-2.0,2.4.60+,2025-11,No,High,Linux Windows macOS,All industries,https://httpd.apache.org,https://github.com/apache/httpd,Widely-used web server. PQC dependent on underlying mod_ssl and OpenSSL versions.,Open Source Foundation,Verified,2026-02-21,"migrate,launch",tls-basics
Envoy Proxy,CSC-038,Application Servers,Application,Yes (via BoringSSL),Native support for post-quantum TLS key exchanges (X25519MLKEM768 ML-KEM hybrid) via its BoringSSL dependency. Used extensively in service meshes.,Open Source,Apache-2.0,1.37+,2026-01,Yes (BoringCrypto),Critical,Linux Kubernetes,Cloud Native Enterprise,https://www.envoyproxy.io,https://github.com/envoyproxy/envoy,Cloud-native high-performance edge/middle/service proxy. Out-of-the-box PQC TLS support.,Open Source Foundation,Verified,2026-02-21,"migrate,launch",tls-basics;crypto-agility
Node.js,CSC-038,Application Servers,Application,No (Awaiting OpenSSL upgrade),Current LTS versions use OpenSSL 3.3 which lacks native ML-KEM/ML-DSA. Future major releases will bundle OpenSSL 3.5+ to enable PQC support in the crypto module.,Open Source,MIT,22.x LTS,2024-10,No,High,Cross-platform,All industries,https://nodejs.org,https://github.com/nodejs/node,JavaScript runtime built on Chrome V8. PQC support blocked pending OpenSSL dependency update in core.,Open Source Foundation,Pending Verification,2026-02-21,"migrate,launch",tls-basics
