reference_id,document_title,download_url,initial_publication_date,last_update_date,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category,downloadable,local_file,module_ids,misc_info
NIST-SP-800-90A-R1,SP 800-90A Rev. 1: Recommendation for Random Number Generation Using Deterministic Random Bit Generators,https://csrc.nist.gov/pubs/sp/800/90/a/r1/final,2015-06-24,2015-06-24,Published,"NIST standard defining three approved DRBG mechanisms (CTR_DRBG, Hash_DRBG, HMAC_DRBG) for generating pseudorandom bits from seed entropy. All mechanisms use symmetric primitives and are quantum-safe.",Standard,All Industries,NIST,NIST-SP-800-90B;NIST-SP-800-90C,USA; Global,Symmetric (AES; SHA),,Random number generation; Key generation; Nonce generation,OpenSSL; Linux kernel; Windows CNG,High,New,General Recommendations,yes,public/library/NIST-SP-800-90A-R1.html,entropy-randomness,
NIST-SP-800-90B,SP 800-90B: Recommendation for the Entropy Sources Used for Random Bit Generation,https://csrc.nist.gov/pubs/sp/800/90/b/final,2018-01-29,2018-01-29,Published,"NIST standard for validating entropy sources used in random bit generators. Defines health tests (repetition count, adaptive proportion), min-entropy estimation methods, and IID testing requirements.",Standard,All Industries,NIST,NIST-SP-800-90A-R1;NIST-SP-800-90C,USA; Global,N/A,,Entropy source validation; CMVP ESV program,Hardware RNG vendors; FIPS module developers,High,New,General Recommendations,yes,public/library/NIST-SP-800-90B.html,entropy-randomness,FIPS 140-3
NIST-SP-800-90C,SP 800-90C: Recommendation for Random Bit Generator (RBG) Constructions,https://csrc.nist.gov/pubs/sp/800/90/c/final,2024-09-25,2024-09-25,Published,"NIST standard specifying constructions for Random Bit Generators (RBGs) that combine entropy sources with DRBGs. Defines RBG1, RBG2, RBG3, and RBGC classes for defense-in-depth randomness.",Standard,All Industries,NIST,NIST-SP-800-90A-R1;NIST-SP-800-90B,USA; Global,N/A,,RBG construction; Combining entropy sources; Defense-in-depth,OpenSSL; HSM firmware; Crypto libraries,High,New,General Recommendations,yes,public/library/NIST-SP-800-90C.html,entropy-randomness,
ETSI-GS-QKD-002,ETSI GS QKD 002 - QKD Use Cases,https://www.etsi.org/deliver/etsi_gs/qkd/001_099/002/01.01.01_60/gs_qkd002v010101p.pdf,2010-06-01,2024-01-01,Published,Use cases for quantum key distribution including government communications and financial networks.,Guidance,Government; Telecom; Finance; Critical Infrastructure,ETSI ISG QKD,,Europe; International,QKD,N/A,QKD deployment planning,QKD system integrators,Medium,New,General Recommendations,yes,public/library/ETSI-GS-QKD-002.pdf,qkd,ETSI QKD series
ETSI-GS-QKD-003,ETSI GS QKD 003 - Components and Internal Interfaces,https://www.etsi.org/deliver/etsi_gs/QKD/001_099/003/01.01.01_60/gs_QKD003v010101p.pdf,2010-10-01,2024-01-01,Published,Defines QKD system components and their internal interfaces for interoperability.,Protocol,Telecom; QKD Vendors; Research,ETSI ISG QKD,,Europe; International,QKD,N/A,QKD system architecture,QKD hardware vendors,Medium,New,Protocols,yes,public/library/ETSI-GS-QKD-003.pdf,qkd,ETSI QKD series
ETSI-GS-QKD-004,ETSI GS QKD 004 - Application Interface (V2.1.1),https://www.etsi.org/deliver/etsi_gs/QKD/001_099/004/02.01.01_60/gs_qkd004v020101p.pdf,2020-08-01,2020-08-01,Published,Specifies the application programming interface for accessing QKD-generated keys from applications.,Protocol,Software Development; Telecom; Finance,ETSI ISG QKD,ETSI-GS-QKD-003,Europe; International,QKD,N/A,QKD key delivery API,Application developers,Medium,New,Protocols,yes,public/library/ETSI-GS-QKD-004.pdf,qkd,
ETSI-GS-QKD-005,ETSI GS QKD 005 - Security Proofs,https://www.etsi.org/deliver/etsi_gs/qkd/001_099/005/01.01.01_60/gs_qkd005v010101p.pdf,2010-12-01,2024-01-01,Published,Framework for security proofs of QKD protocols including BB84 and related variants.,Research/Report,Research; Cryptography; Standards Bodies,ETSI ISG QKD,,Europe; International,QKD,N/A,QKD protocol security analysis,Security researchers,Low,New,General Recommendations,yes,public/library/ETSI-GS-QKD-005.pdf,qkd,Quantum information theory
ETSI-GS-QKD-008,ETSI GS QKD 008 - QKD Module Security Specification,https://www.etsi.org/deliver/etsi_gs/qkd/001_099/008/01.01.01_60/gs_qkd008v010101p.pdf,2010-12-01,2024-01-01,Published,Security requirements and evaluation criteria for QKD modules analogous to Common Criteria.,Compliance/Guidance,QKD Vendors; Government; Certification Bodies,ETSI ISG QKD,ISO-IEC-23837-1,Europe; International,QKD,N/A,QKD module certification,QKD hardware vendors,Medium,New,KEM,yes,public/library/ETSI-GS-QKD-008.pdf,qkd,ISO/IEC 23837;Common Criteria
ETSI-GS-QKD-011,ETSI GS QKD 011 - Component Characterization,https://www.etsi.org/deliver/etsi_gs/QKD/001_099/011/01.01.01_60/gs_QKD011v010101p.pdf,2016-05-01,2024-01-01,Published,Methods for characterizing individual QKD components such as single-photon sources and detectors.,Protocol,QKD Vendors; Research; Testing Labs,ETSI ISG QKD,ETSI-GS-QKD-003,Europe; International,QKD,N/A,QKD component testing,QKD hardware vendors,Low,New,General Recommendations,yes,public/library/ETSI-GS-QKD-011.pdf,qkd,
ETSI-GS-QKD-012,ETSI GS QKD 012 - Device and Communication Channel Parameters,https://www.etsi.org/deliver/etsi_gs/QKD/001_099/012/01.01.01_60/gs_qkd012v010101p.pdf,2019-02-01,2024-01-01,Published,Control interface specification for QKD device parameters and communication channel monitoring.,Protocol,Telecom; QKD Vendors; Network Operators,ETSI ISG QKD,ETSI-GS-QKD-003;ETSI-GS-QKD-004,Europe; International,QKD,N/A,QKD device management,Network operators,Medium,New,Protocols,yes,public/library/ETSI-GS-QKD-012.pdf,qkd,
ETSI-GS-QKD-014,ETSI GS QKD 014 - Protocol and Data Format for REST-based Key Delivery API,https://www.etsi.org/deliver/etsi_gs/QKD/001_099/014/01.01.01_60/gs_qkd014v010101p.pdf,2019-02-01,2024-01-01,Published,RESTful API specification for key delivery between QKD nodes and applications. Widely implemented reference API.,Protocol,Software Development; Telecom; Cloud,ETSI ISG QKD,ETSI-GS-QKD-004,Europe; International,QKD,N/A,QKD key management API,QKD system integrators,High,New,Protocols,yes,public/library/ETSI-GS-QKD-014.pdf,qkd,
ETSI-GS-QKD-015,ETSI GS QKD 015 - Control Interface for Software Defined Networks,https://www.etsi.org/deliver/etsi_gs/QKD/001_099/015/02.01.01_60/gs_QKD015v020101p.pdf,2021-03-01,2024-01-01,Published,Defines the control interface between QKD network layer and SDN controllers for programmable quantum networks.,Protocol,Telecom; Network Operators; SDN Vendors,ETSI ISG QKD,ETSI-GS-QKD-003,Europe; International,QKD,N/A,QKD-SDN integration,SDN controller vendors,Medium,New,Protocols,yes,public/library/ETSI-GS-QKD-015.pdf,qkd,SDN standards
ETSI-GS-QKD-016,ETSI GS QKD 016 - Orchestration Interface of Software Defined Networks,https://www.etsi.org/deliver/etsi_gs/QKD/001_099/016/02.01.01_60/gs_QKD016v020101p.pdf,2023-09-01,2024-01-01,Published,Orchestration interface for managing QKD resources in SDN environments including multi-domain key routing.,Protocol,Telecom; Cloud Providers; SDN Vendors,ETSI ISG QKD,ETSI-GS-QKD-015,Europe; International,QKD,N/A,QKD network orchestration,Network orchestrators,Medium,New,Protocols,yes,public/library/ETSI-GS-QKD-016.pdf,qkd,
ETSI-GS-QKD-018,ETSI GS QKD 018 - Orchestration Interface of Software Defined Networks,https://www.etsi.org/deliver/etsi_gs/QKD/001_099/018/01.01.01_60/gs_qkd018v010101p.pdf,2022-04-01,2022-04-01,Published,"Orchestration interface for managing QKD resources in SDN environments. Defines YANG data models for interoperability between QKD network layer, SDN controllers, and orchestrators. Enables multi-domain key routing and programmable quantum networks.",Protocol,Telecom; Cloud Providers; SDN Vendors,ETSI ISG QKD,ETSI-GS-QKD-015;ETSI-GS-QKD-016,Europe; International,QKD,N/A,QKD network QoS management,Network orchestrators,Medium,New,Protocols,yes,public/library/ETSI-GS-QKD-018.pdf,qkd,
ISO-IEC-23837-1,ISO/IEC 23837-1:2023 - Security Requirements for Quantum Key Distribution (Part 1),https://www.iso.org/standard/77097.html,2023-03-01,2023-03-01,International Standard,Security requirements for QKD modules. Defines protection profiles and security targets analogous to Common Criteria for QKD hardware.,Compliance/Guidance,QKD Vendors; Government; Certification Bodies,ISO/IEC JTC 1/SC 27,ETSI-GS-QKD-008,Global,QKD,N/A,QKD module security certification,QKD hardware vendors; Certification labs,Medium,New,KEM,no-paywall,,qkd,Common Criteria
ISO-IEC-23837-2,ISO/IEC 23837-2:2023 - Evaluation and Testing of QKD Modules (Part 2),https://www.iso.org/standard/77098.html,2023-03-01,2023-03-01,International Standard,Testing methodology and evaluation criteria for QKD modules. Provides test vectors and conformance assessment procedures.,Compliance/Guidance,Testing Labs; QKD Vendors; Certification Bodies,ISO/IEC JTC 1/SC 27,ISO-IEC-23837-1,Global,QKD,N/A,QKD module testing and evaluation,Testing laboratories,Medium,New,KEM,no-paywall,,qkd,Common Criteria
RFC-9258,Importing External Pre-Shared Keys (PSKs) for TLS 1.3,https://datatracker.ietf.org/doc/html/rfc9258,2022-07-01,2022-07-01,Proposed Standard,RFC 9258 defines an external PSK importer interface for TLS 1.3 (RFC 8446). It allows QKD-derived keys delivered via ETSI GS QKD 014 to be bound to a specific KDF and hash algorithm and imported as a TLS 1.3 pre-shared key — enabling QKD integration without any TLS protocol modifications.,Protocol,Telecom; Finance; Government; Critical Infrastructure,IETF TLS Working Group,ETSI-GS-QKD-014;RFC 8446,Global,QKD; Hybrid PQC,N/A,TLS 1.3 PSK; QKD key injection into TLS handshake,OpenSSL 3.x; BoringSSL; wolfSSL,High,New,Protocols,yes,public/library/RFC-9258.html,qkd;tls-basics;hybrid-crypto,
NIST-SP-800-108-R1,Recommendation for Key Derivation Using Pseudorandom Functions (Revision 1),https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-108r1.pdf,2022-08-01,2022-08-01,Final,NIST SP 800-108 Rev.1 specifies key derivation functions (KDFs) based on pseudorandom functions including counter mode feedback mode and double-pipeline mode using HMAC or CMAC. Directly implemented in PKCS#11 v3.0 as CKM_SP800_108_COUNTER_KDF and used in HSM-based QKD key derivation pipelines.,Compliance/Guidance,Government; Finance; Defense; HSM Vendors,NIST,ETSI-GS-QKD-014;PKCS11-V3-OASIS,USA; Global,QKD; Symmetric,N/A,HSM key derivation from QKD secret; PKCS#11 CKM_SP800_108_COUNTER_KDF,HSM vendors (Thales; Utimaco; nCipher); OpenSSL KBKDF,High,New,General PQC Migration,yes,public/library/NIST-SP-800-108-R1.pdf,qkd;kms-pqc;hsm-pqc,
NIST-SP-800-56C-R2,Recommendation for Key-Derivation Methods in Key-Establishment Schemes (Revision 2),https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-56Cr2.pdf,2020-08-01,2020-08-01,Final,NIST SP 800-56C Rev.2 specifies one-step and extraction-then-expansion (EtE) key derivation methods for key-establishment schemes. The EtE approach supports hybrid shared secrets combining classical DH or PQC KEM output with a QKD-sourced entropy value — directly applicable to quantum-hybrid key exchange architectures.,Compliance/Guidance,Government; Finance; Defense; Critical Infrastructure,NIST,ETSI-GS-QKD-014;NIST-SP-800-108-R1,USA; Global,QKD; Hybrid PQC,N/A,Hybrid key derivation (classical + QKD); TLS 1.3 key schedule,OpenSSL HKDF; HSM KDF mechanisms,High,New,General PQC Migration,yes,public/library/NIST-SP-800-56C-R2.pdf,qkd;hybrid-crypto;kms-pqc;hsm-pqc,
PKCS11-V3-OASIS,PKCS #11 Cryptographic Token Interface Standard Version 3.0,https://docs.oasis-open.org/pkcs11/pkcs11-base/v3.0/os/pkcs11-base-v3.0-os.html,2020-06-01,2020-06-01,OASIS Standard,PKCS#11 v3.0 is the HSM programming interface standard. It adds CKM_HKDF_DERIVE and CKM_HKDF_KEY_GEN mechanisms for TLS 1.3 and CKM_SP800_108_COUNTER_KDF / FEEDBACK_KDF / DOUBLE_PIPELINE_KDF for NIST SP 800-108 derivation. Essential for HSM-based QKD integration workflows where QKD secrets are imported as non-extractable keys and used to derive session keys. Superseded by PKCS#11 v3.1 and v3.2.,Protocol,HSM Vendors; Government; Finance; PKI,OASIS PKCS11 Technical Committee,NIST-SP-800-108-R1,Global,Symmetric; QKD,N/A,HSM key derivation; PKCS#11 CKM_SP800_108_COUNTER_KDF; CKM_HKDF_DERIVE,Thales Luna; Utimaco SecurityServer; nCipher nShield; SoftHSM,High,,Protocols,yes,public/library/PKCS11-V3-OASIS.html,qkd;hsm-pqc,
PKCS11-V31-OASIS,PKCS #11 Specification Version 3.1 (OASIS Standard),https://docs.oasis-open.org/pkcs11/pkcs11-spec/v3.1/os/pkcs11-spec-v3.1-os.html,2023-07-23,2023-07-23,OASIS Standard,"PKCS#11 v3.1 adds LMS and HSS stateful hash-based signature mechanisms (CKM_HSS_KEY_PAIR_GEN, CKM_HSS) for quantum-resistant code signing and firmware verification. Also adds EdDSA mechanisms (CKM_EDDSA) and incremental MAC operations. First PKCS#11 version with any PQC algorithm support.",Protocol,HSM Vendors; Government; Finance; PKI,OASIS PKCS11 Technical Committee,FIPS 205;PKCS11-V3-OASIS,Global,Hash-based,"L1,L3,L5",HSM LMS/HSS stateful signatures; EdDSA; PKCS#11 CKM_HSS,Thales Luna; Utimaco SecurityServer; Entrust nShield; SoftHSM,High,New,Protocols,yes,public/library/PKCS11-V31-OASIS.html,hsm-pqc;stateful-signatures,
PKCS11-V32-OASIS,PKCS #11 Specification Version 3.2 (Committee Specification Draft),https://docs.oasis-open.org/pkcs11/pkcs11-spec/v3.2/csd01/pkcs11-spec-v3.2-csd01.html,2025-04-16,2025-04-16,Committee Specification Draft,"PKCS#11 v3.2 adds post-quantum cryptography mechanisms: ML-KEM (CKM_ML_KEM 0x00000017, CKM_ML_KEM_KEY_PAIR_GEN 0x0000000f), ML-DSA (CKM_ML_DSA 0x0000001d, CKM_ML_DSA_KEY_PAIR_GEN 0x0000001c, CKM_HASH_ML_DSA_*), and SLH-DSA (CKM_SLH_DSA, CKM_SLH_DSA_KEY_PAIR_GEN). Introduces C_EncapsulateKey() and C_DecapsulateKey() functions for KEM operations. New key types: CKK_ML_KEM (0x49), CKK_ML_DSA (0x4a), CKK_SLH_DSA (0x4b). New attributes: CKA_PARAMETER_SET, CKA_ENCAPSULATE, CKA_DECAPSULATE, CKA_SEED.",Protocol,HSM Vendors; Government; Finance; PKI; Defense,OASIS PKCS11 Technical Committee,FIPS 203;FIPS 204;FIPS 205;PKCS11-V31-OASIS,Global,Lattice; Hash-based,"L1,L2,L3,L5",HSM PQC key generation; ML-KEM encapsulation/decapsulation; ML-DSA signing; PKCS#11 CKM_ML_KEM; CKM_ML_DSA; C_EncapsulateKey; C_DecapsulateKey,Thales Luna 7.9+; Utimaco Se Gen2; Entrust nShield 5; SoftHSM (planned),High,New,Protocols,yes,public/library/PKCS11-V32-OASIS.html,hsm-pqc,
BIP-32,BIP-32: Hierarchical Deterministic Wallets,https://github.com/bitcoin/bips/blob/master/bip-0032.mediawiki,2012-02-11,2021-10-05,Final,Defines HD wallet key derivation from a single seed enabling deterministic generation of unlimited key pairs.,Specification,Finance; Digital Assets; Web3; IT,Pieter Wuille (Bitcoin Core),BIP-39;BIP-44,Global,Classical,128-bit,HD Wallet derivation; key management,Bitcoin Core; Ledger; Trezor; Metamask,High,New,Key Management,yes,public/library/BIP-32.html,digital-assets,
BIP-39,BIP-39: Mnemonic Code for Generating Deterministic Keys,https://github.com/bitcoin/bips/blob/master/bip-0039.mediawiki,2013-09-10,2021-10-05,Final,Standard for encoding entropy as a human-readable mnemonic phrase for wallet seed backup and recovery.,Specification,Finance; Digital Assets; Web3; IT,Marek Palatinus; Pavol Rusnak; Aaron Voisine; Sean Bowe,BIP-32,Global,Classical,128-bit,HD Wallet seed backup; mnemonic recovery,Bitcoin Core; Ledger; Trezor; Metamask,High,New,Key Management,yes,public/library/BIP-39.html,digital-assets,
BIP-44,BIP-44: Multi-Account Hierarchy for Deterministic Wallets,https://github.com/bitcoin/bips/blob/master/bip-0044.mediawiki,2014-04-24,2021-10-05,Final,Defines multi-coin and multi-account HD wallet derivation path structure across blockchains.,Specification,Finance; Digital Assets; Web3; IT,Marek Palatinus; Pavol Rusnak,BIP-32;BIP-39,Global,Classical,128-bit,HD Wallet path standardisation; multi-chain support,Bitcoin Core; Ledger; Trezor; Metamask,High,New,Key Management,yes,public/library/BIP-44.html,digital-assets,
SLIP-0010,SLIP-0010: Universal Private Key Derivation from Master Private Key,https://github.com/satoshilabs/slips/blob/master/slip-0010.md,2016-04-26,2021-11-01,Final,Extends BIP-32 to support Ed25519 and other non-secp256k1 curves for HD derivation; required for Solana.,Specification,Finance; Digital Assets; Web3; IT,SatoshiLabs,BIP-32,Global,Classical,128-bit,HD Wallet derivation for Ed25519; Solana key management,Solana CLI; Ledger; Phantom Wallet,High,New,Key Management,yes,public/library/SLIP-0010.html,digital-assets,
EIP-55,EIP-55: Mixed-case Checksum Address Encoding,https://eips.ethereum.org/EIPS/eip-55,2016-01-14,2016-01-14,Final,Ethereum standard for checksummed mixed-case hex address encoding using Keccak-256 to detect typos.,Specification,Finance; Digital Assets; Web3; IT,Vitalik Buterin,,Global,Classical,,Ethereum address validation; wallet UI,Metamask; Ethers.js; Web3.js,High,New,Protocols,yes,public/library/EIP-55.html,digital-assets,
EIP-155,EIP-155: Simple Replay Attack Protection,https://eips.ethereum.org/EIPS/eip-155,2016-10-14,2016-10-14,Final,Introduces chain ID into Ethereum transaction signing to prevent cross-chain replay attacks.,Specification,Finance; Digital Assets; Web3; IT,Vitalik Buterin,,Global,Classical,,Ethereum transaction signing; cross-chain security,Metamask; Ethers.js; Geth; Besu,High,New,Protocols,yes,public/library/EIP-155.html,digital-assets,
SEC2-v2,SEC 2 v2: Recommended Elliptic Curve Domain Parameters,https://www.secg.org/sec2-v2.pdf,2010-01-27,2010-01-27,Final Standard,SECG standard defining domain parameters for secp256k1 and other elliptic curves used by Bitcoin and Ethereum.,Standard,Finance; IT; Digital Assets; Web3,Standards for Efficient Cryptography Group (SECG),FIPS 186-5,Global,Classical,128-bit,Bitcoin ECDSA; Ethereum ECDSA; secp256k1 parameters,OpenSSL; libsecp256k1; BitcoinJS,High,New,Classical Cryptography,yes,public/library/SEC2-v2.pdf,digital-assets,
RFC-8032,RFC 8032: Edwards-Curve Digital Signature Algorithm (EdDSA),https://datatracker.ietf.org/doc/html/rfc8032,2017-01-01,2017-01-01,Proposed Standard,IETF standard for EdDSA including Ed25519 and Ed448. Used by Solana. Deterministic nonce eliminates nonce-reuse vulnerabilities.,RFC,Finance; IT; Digital Assets; Web3; Secure Messaging,IETF,FIPS 186-5,Global,Classical,128-bit,Solana transaction signing; Ed25519 digital signatures,OpenSSL; libsodium; Solana CLI,High,New,Digital Signature,yes,public/library/RFC-8032.html,digital-assets,
Bitcoin-Whitepaper,Bitcoin: A Peer-to-Peer Electronic Cash System,https://bitcoin.org/bitcoin.pdf,2008-10-31,2008-10-31,Published,Satoshi Nakamoto foundational paper introducing Bitcoin and blockchain: proof-of-work consensus and ECDSA-based ownership.,Paper,Finance; Digital Assets; Web3; Research,Satoshi Nakamoto,FIPS 186-5;SEC2-v2,Global,Classical,,Bitcoin protocol; blockchain fundamentals,,High,New,General Recommendations,yes,public/library/Bitcoin-Whitepaper.pdf,digital-assets,
Ethereum-Yellow-Paper,Ethereum: A Secure Decentralised Generalised Transaction Ledger,https://ethereum.github.io/yellowpaper/paper.pdf,2014-01-01,2024-01-01,Published,Formal specification of the Ethereum Virtual Machine by Gavin Wood. Defines Keccak-256 address derivation and ECDSA signing.,Paper,Finance; Digital Assets; Web3; Research,Gavin Wood (Ethereum Foundation),EIP-155;FIPS 186-5,Global,Classical,,Ethereum protocol; EVM; smart contract execution,,High,New,General Recommendations,yes,public/library/Ethereum-Yellow-Paper.pdf,digital-assets,
OpenSSL-3x-Docs,OpenSSL 3.x Documentation,https://www.openssl.org/docs/,2021-09-07,2024-11-01,Current,Official documentation for OpenSSL 3.x including FIPS provider command-line tools API reference and PQC provider guidance.,Documentation,IT; Software Development; Digital Assets; Finance,OpenSSL Project,,Global,Classical; Lattice-based,,TLS; X.509; ECDSA; EdDSA; PQC provider,OpenSSL CLI; OpenSSL libssl; OpenSSL libcrypto,Medium,New,Tools & Libraries,yes,public/library/OpenSSL-3x-Docs.html,digital-assets,
BIP-141,BIP-141: Segregated Witness (Consensus Layer),https://github.com/bitcoin/bips/blob/master/bip-0141.mediawiki,2015-12-21,2021-10-05,Final,"Activates Segregated Witness on Bitcoin separating signature data (witness) from transaction inputs. Introduces SegWit witness versioning (v0 P2WPKH/P2WSH, v1 Taproot). BIP-360 (P2QRH) introduces SegWit v3 (bc1r...) as a quantum-resistant output type building directly on this witness versioning scheme.",Standard,Finance; Digital Assets; Web3; Research,Eric Lombrozo; Johnson Lau; Pieter Wuille (Bitcoin Core),,Global,Classical,128-bit,Bitcoin witness versioning; transaction malleability fix; SegWit v0/v1/v3 foundation,Bitcoin Core; Lightning Network; Ledger; Trezor,Low,New,PQC Protocol Specification,yes,public/library/BIP-141.html,digital-assets,
BIP-340,BIP-340: Schnorr Signatures for secp256k1,https://github.com/bitcoin/bips/blob/master/bip-0340.mediawiki,2020-01-19,2022-03-01,Final,"Defines 64-byte Schnorr signatures for secp256k1 with provable security, batch verification, and key aggregation (MuSig2). Required foundation for Taproot (BIP-341). BIP-360 (P2QRH) targets Taproot's Schnorr key-spend path as the primary quantum vulnerability to replace with post-quantum signatures.",Specification,Finance; Digital Assets; Web3; Research,Pieter Wuille; Jonas Nick; Tim Ruffing (Bitcoin Core),BIP-341,Global,Classical,128-bit,Bitcoin signature scheme; Taproot foundation; quantum exposure surface,Bitcoin Core; libsecp256k1; Ledger; Trezor,Medium,New,Algorithm,yes,public/library/BIP-340.html,digital-assets,
BIP-341,BIP-341: Taproot: SegWit Version 1 Spending Rules,https://github.com/bitcoin/bips/blob/master/bip-0341.mediawiki,2020-01-19,2022-03-01,Final,Activates Taproot on Bitcoin (block 709632). Defines SegWit v1 spending with a Schnorr key-spend path and Merklized Abstract Syntax Tree (MAST) script-spend path. BIP-360 (P2QRH) specifically removes the key-spend path as quantum-vulnerable under Shor's algorithm and proposes a SegWit v3 (bc1r...) replacement.,Standard,Finance; Digital Assets; Web3,Pieter Wuille; Jonas Nick; Anthony Towns (Bitcoin Core),BIP-141;BIP-340,Global,Classical,128-bit,Bitcoin Taproot upgrade; Schnorr key-spend quantum vulnerability; BIP-360 context,Bitcoin Core; Ledger; Trezor,Medium,New,PQC Protocol Specification,yes,public/library/BIP-341.html,digital-assets,
Bitcoin-BIP360-P2QRH,Bitcoin BIP-360: Pay to Quantum Resistant Hash (P2QRH),https://github.com/bitcoin/bips/blob/master/bip-0360.mediawiki,2024-06-01,2025-12-18,Draft,"Proposes a new Bitcoin output type (SegWit v3, bc1r...) using post-quantum signatures via a soft fork. Removes the quantum-vulnerable key-spend path from Taproot. Exact PQC algorithms to be standardized in a companion BIP; ML-DSA and FALCON-512 are leading candidates under community discussion. Authored by Hunter Beast to address the HNFL risk to Bitcoin public keys.",Proposal/Draft,Finance; Digital Assets; Web3; Research,Hunter Beast; Bitcoin Core Community,FIPS 203;FIPS 204,Global,Lattice-based; Hash-based,L1;L3,Bitcoin protocol; UTXO address type,In development,High,Updated,PQC Protocol Specification,yes,public/library/Bitcoin-BIP360-P2QRH.html,digital-assets,
Ethereum-EIP4337-AA,EIP-4337: Account Abstraction Using Alt Mempool,https://eips.ethereum.org/EIPS/eip-4337,2021-09-29,2024-01-01,Final,"Enables smart contract wallets on Ethereum without consensus-layer changes. As a PQC migration path, EIP-4337 smart accounts can verify ML-DSA or FALCON signatures on mainnet today — no protocol change required.",Standard,Finance; Digital Assets; Web3,Vitalik Buterin; Yoav Weiss; Ethereum Foundation,Ethereum-Yellow-Paper,Global,Classical (PQC-extensible),,Ethereum wallet; smart account; PQC migration path,Yes,High,New,General PQC Migration,yes,public/library/Ethereum-EIP4337-AA.html,digital-assets,
Ethereum-EIP7702,EIP-7702: Set Code for EOA,https://eips.ethereum.org/EIPS/eip-7702,2024-05-07,2025-01-01,Final,"Allows EOAs to set executable code via signed authorisation tuples (Pectra hard fork). Provides a bridge for PQC migration: a delegated smart contract can verify ML-DSA or FALCON signatures on behalf of the EOA, enabling quantum-safe signing without full account migration. Note: EIP-7702 authorisation tuples are themselves signed with secp256k1; quantum resistance is provided by the delegated contract's verification logic.",Standard,Finance; Digital Assets; Web3,Vitalik Buterin; Sam Wilson; Ansgar Dietrichs; Ethereum Foundation,Ethereum-EIP4337-AA;Ethereum-Yellow-Paper,Global,Classical (PQC-extensible),,Ethereum EOA; smart account; Pectra hard fork,Yes,High,Updated,General PQC Migration,yes,public/library/Ethereum-EIP7702.html,digital-assets,
FRB-FEDS-2025093-Blockchain-PQC,Harvest Now Decrypt Later: Post-Quantum Cryptography and Data Privacy Risks for Distributed Ledger Networks,https://www.federalreserve.gov/econres/feds/harvest-now-decrypt-later-examining-post-quantum-cryptography-and-the-data-privacy-risks-for-distributed-ledger-networks.htm,2025-09-01,2025-09-01,Published,"Federal Reserve FEDS Working Paper (2025-093) analysing HNFL risks for blockchain networks. Examines how quantum computers could retroactively compromise immutable on-chain transaction data across Bitcoin, Ethereum, and distributed ledger systems.",Research Paper,Finance; Digital Assets; Government; Web3,Federal Reserve Board,,Global; USA,Classical,,Blockchain; DLT; HNFL risk,No,High,New,General PQC Migration,yes,public/library/FRB-FEDS-2025093-Blockchain-PQC.html,digital-assets;pqc-risk-management;quantum-threats;data-asset-sensitivity,
Ethereum-PQC-Tasklist-Ethresearch,Tasklist for Post-Quantum Ethereum,https://ethresear.ch/t/tasklist-for-post-quantum-eth/21296,2024-01-01,2025-06-01,Active Research,"Ethereum Foundation research post outlining the full roadmap to post-quantum Ethereum. Covers STARK-based and lattice-based signature replacement for ECDSA and BLS12-381, and describes the emergency quantum fork path for an unplanned Q-Day.",Research Post,Finance; Digital Assets; Web3; Research,Ethereum Foundation PQC Research Team,Ethereum-Yellow-Paper;FIPS 204,Global,Lattice-based; Hash-based,L1;L3;L5,Ethereum protocol; consensus layer; PQC migration,In development,High,New,PQC Protocol Specification,yes,public/library/Ethereum-PQC-Tasklist-Ethresearch.html,digital-assets,
IETF-MTC-Draft-09,Merkle Tree Certificates for TLS (draft-ietf-plants-merkle-tree-certs-01),https://datatracker.ietf.org/doc/draft-ietf-plants-merkle-tree-certs/,2024-06-01,2026-02-18,Internet-Draft (IETF PLANTS WG),"IETF Internet-Draft defining Merkle Tree Certificates (MTCs) for TLS, adopted by the IETF PLANTS working group as draft-ietf-plants-merkle-tree-certs-01 (February 2026). Replaces individual per-certificate CA signatures with a single signed Merkle tree root and compact inclusion proofs, reducing PQC TLS handshake authentication data by 63-74%.",Standard,IT; Telecom; Finance; Web Infrastructure,David Benjamin (Google); Cloudflare,FIPS 204;RFC 8446;RFC-9162,Global,Hash-based (SHA-256),,TLS 1.3; Certificate Transparency; PKI,Experimental (Cloudflare/Chrome),High,New,PQC Protocol Specification,yes,public/library/IETF-MTC-Draft-09.html,merkle-tree-certs;pki-workshop,
