software_name,category_id,category_name,infrastructure_layer,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date,migration_phases,learning_modules,vendor_id
GitHub Actions,CSC-040,CI/CD & Artifact Management,Application,Partial (platform TLS only),"GitHub Actions is the most widely used CI/CD platform. GitHub.com has enabled ML-KEM hybrid TLS (via Cloudflare) on API endpoints. GitHub Actions runners communicate via HTTPS (classical TLS). No dedicated PQC GitHub Actions exist for code signing or artifact verification. Sigstore (cosign, already in catalog) provides PQC-ready artifact signing independent of the CI platform.",Commercial,Commercial (GitHub/Microsoft),,,No,Medium,Cloud (SaaS),Technology Finance Healthcare,https://github.com/features/actions,,Most widely used CI/CD platform. Platform HTTPS via Cloudflare ML-KEM hybrid TLS. No native PQC signing actions — use sigstore/cosign for artifact signing.,Trusted Vendor,Partially Verified,2026-03-04,assess,code-signing;healthcare-pqc;platform-eng-pqc,VND-122
GitLab CI/CD,CSC-040,CI/CD & Artifact Management,Application,Partial (platform TLS only),GitLab CI/CD provides integrated pipelines for GitLab repositories. GitLab.com uses TLS 1.3 (classical) for API communications. Self-hosted GitLab can be configured with OpenSSL 3.x for PQC TLS. GitLab has not published native PQC pipeline features. Artifact signing uses GPG/PGP (classical) or sigstore integration.,Open Source/Commercial,MIT / Commercial,17.x,,No,Medium,Cloud On-Premises,Technology Finance Enterprise Government,https://docs.gitlab.com/ee/ci/,https://gitlab.com/gitlab-org/gitlab,Integrated CI/CD in GitLab. Self-hosted instances configurable with OpenSSL 3.x PQC TLS. No native PQC signing — integrate sigstore for artifact verification.,Open Source/Commercial,Partially Verified,2026-03-25,assess,code-signing;crypto-dev-apis;platform-eng-pqc,VND-121
Jenkins,CSC-040,CI/CD & Artifact Management,Application,Planned (via Java TLS),Jenkins is the most widely deployed self-hosted CI/CD automation server. Jenkins uses Java JSSE for TLS. PQC TLS inherits from Java runtime (ML-KEM in Java 22+). The Jenkins community has not published native PQC features. Artifact signing via GPG plugins is classical — sigstore/cosign integration plugins are emerging.,Open Source,MIT,2.492,2025-01,No,Medium,JVM Linux Windows macOS,Technology Finance Enterprise,https://www.jenkins.io,https://github.com/jenkinsci/jenkins,Most deployed self-hosted CI/CD server. PQC TLS via Java JSSE (Java 22+). Artifact signing migration needs sigstore/cosign plugin.,Open Source Community,Partially Verified,2026-03-04,assess,code-signing;migration-program;network-security-pqc;platform-eng-pqc,VND-123
Azure DevOps,CSC-040,CI/CD & Artifact Management,Application,Planned,"Azure DevOps (Pipelines, Repos, Artifacts) is Microsoft's enterprise CI/CD and source control platform. Azure DevOps cloud communications use TLS 1.3. PQC migration aligned with Microsoft's CNSA 2.0 roadmap targeting 2027. Azure Artifacts signing uses classical code signing certificates. Microsoft Trusted Signing (formerly Azure Code Signing) will incorporate ML-DSA when available.",Commercial,Commercial (Microsoft),,,Yes (FedRAMP Authorized),High,Cloud (Azure) On-Premises,Enterprise Government Finance,https://azure.microsoft.com/en-us/products/devops,,Microsoft enterprise CI/CD. PQC on CNSA 2.0 roadmap targeting 2027. Azure Trusted Signing will adopt ML-DSA for artifact signing.,Trusted Vendor,Partially Verified,2026-03-04,assess,code-signing;compliance-strategy;migration-program;platform-eng-pqc,VND-027
CircleCI,CSC-040,CI/CD & Artifact Management,Application,Partial (platform TLS),CircleCI is a cloud CI/CD platform. CircleCI API communications use TLS 1.3 (classical). No native PQC CI features. Organizations using CircleCI for build pipelines must implement PQC artifact signing independently (sigstore/cosign in pipeline steps). CircleCI has not published a PQC roadmap.,Commercial,Commercial (CircleCI),,,No,Low,Cloud (SaaS),Technology Finance,https://circleci.com,,Cloud CI/CD platform. Classical TLS only. No native PQC — implement sigstore/cosign in pipeline steps for artifact signing migration.,Trusted Vendor,Partially Verified,2026-03-25,assess,migration-program;platform-eng-pqc,VND-124
OAuth 2.0 / OpenID Connect (OIDC),CSC-015,API Security and JWT Libraries,Application,No (Protocol migration required),"OAuth 2.0 and OIDC are the standard protocols for API authorization and identity federation. JWTs (JSON Web Tokens) use classical RS256, ES256, or PS256 for signatures. RFC 9449 (DPoP) and draft RFC for PQC JWT signatures propose ML-DSA-based JWTs. The IETF OAuth working group is developing PQC JWT signing standards. Migration requires updating all JWT issuers and validators to ML-DSA signatures.",Industry Standard,RFC (IETF),OAuth 2.1 (draft),,No,Critical,All,All,https://oauth.net/2/,,Standard API authorization and identity protocol. Classical JWT signatures (RS256/ES256). IETF draft for ML-DSA JWT signatures in development. Critical migration dependency across all API-based systems.,Industry Standard,Verified,2026-03-04,"assess,plan",api-security-jwt;crypto-dev-apis;dev-quantum-impact;iam-pqc;migration-program,VND-081
SAML 2.0,CSC-042,Identity & Access Management (IAM),Application,No (Protocol migration required),"SAML 2.0 (Security Assertion Markup Language) is the enterprise SSO protocol used by most identity providers and service providers. SAML assertions are signed with RSA-2048 or ECDSA. No PQC SAML specification exists as of Q1 2026. Migration to ML-DSA-signed SAML assertions requires updates to all SAML identity providers (Okta, Azure AD, PingFederate) and service providers simultaneously. OASIS TC (SAML standards body) has not initiated a PQC SAML working group.",Industry Standard,OASIS Standard,SAML 2.0 (2005),2005-03,No,Critical,All,Enterprise Government Finance Healthcare,https://www.oasis-open.org/committees/tc_home.php?wg_abbrev=security,,Enterprise SSO protocol with classical RSA/ECDSA assertion signing. No PQC spec. Migration requires simultaneous IdP and SP upgrade — OASIS TC not yet initiated.,Industry Standard,Verified,2026-03-04,"assess,plan",api-security-jwt;healthcare-pqc;iam-pqc;migration-program;network-security-pqc,VND-082
PostgreSQL,CSC-007,Database Encryption Software,Database,Partial (via OpenSSL TLS),"PostgreSQL is the world's most advanced open-source relational database. PostgreSQL uses OpenSSL for TLS client/server connections and SSL certificates. PostgreSQL 17+ with OpenSSL 3.4 + liboqs-provider enables ML-KEM hybrid TLS for connections. Data-at-rest encryption relies on filesystem/volume encryption (LUKS, BitLocker) or pgcrypto (already in catalog) which uses classical algorithms. No native PQC storage encryption — relies on external key management and OpenSSL TLS layer.",Open Source,PostgreSQL License,17.3,2025-02,No,Critical,Linux Windows macOS BSD,Finance Government Healthcare Enterprise Technology,https://www.postgresql.org,https://github.com/postgres/postgres,World's most advanced open-source RDBMS. PQC TLS connection encryption via OpenSSL 3.x + liboqs-provider. Data-at-rest PQC requires external KMS and volume encryption upgrade.,Open Source Foundation,Partially Verified,2026-03-04,"assess,plan",crypto-dev-apis;data-asset-sensitivity;database-encryption-pqc;healthcare-pqc;kms-pqc;tls-basics,VND-075
MySQL Community Server,CSC-007,Database Encryption Software,Database,Partial (via OpenSSL TLS),MySQL Community Server is the world's most widely deployed open-source database (200M+ installations). MySQL 8.4 uses OpenSSL for TLS connections (default) and supports TDE (Transparent Data Encryption) for InnoDB via keyring plugins. MySQL with OpenSSL 3.x enables ML-KEM hybrid TLS for connections. MySQL Enterprise Encryption (keyring) uses RSA — migration to PQC key wrapping requires Oracle MySQL Enterprise upgrade or custom keyring plugin.,Open Source,GPL-2.0,8.4.4,2025-01,No,Critical,Linux Windows macOS,Finance Healthcare Retail Technology Enterprise,https://dev.mysql.com,https://github.com/mysql/mysql-server,200M+ installations. PQC TLS via OpenSSL 3.x. InnoDB TDE key wrapping remains classical — migration requires Enterprise keyring plugin or KMS integration upgrade.,Open Source Community,Partially Verified,2026-03-04,"assess,plan",crypto-dev-apis;data-asset-sensitivity;database-encryption-pqc;healthcare-pqc;kms-pqc;migration-program;tls-basics,VND-029
Redis,CSC-007,Database Encryption Software,Database,Partial (via TLS only),"Redis is an in-memory data store used as a cache, message broker, and database. Redis 7.x supports TLS via OpenSSL for client-server and cluster communications. With OpenSSL 3.x + liboqs-provider, Redis can be built with ML-KEM hybrid TLS. Redis has no native at-rest encryption — data is stored in plaintext in memory (full-disk encryption handles at-rest). Redis Sentinel and Cluster node-to-node TLS also upgradable via OpenSSL.",Open Source,RSALv2 / SSPLv1,7.4.2,2024-11,No,High,Linux macOS BSD,Technology Finance Healthcare Cloud,https://redis.io,https://github.com/redis/redis,In-memory data store/cache. PQC TLS for client and cluster communications via OpenSSL 3.x + liboqs-provider. No at-rest encryption — depends on OS volume encryption.,Open Source Community,Partially Verified,2026-03-04,"assess,plan",crypto-dev-apis;data-asset-sensitivity;database-encryption-pqc;healthcare-pqc;kms-pqc;tls-basics,VND-076
MariaDB Server,CSC-007,Database Encryption Software,Database,Partial (via OpenSSL TLS),"MariaDB Server is the open-source fork of MySQL maintained by the MariaDB Foundation. MariaDB 11.x uses OpenSSL for TLS connections and supports Data-at-Rest Encryption (DARE) via the file_key_management and HashiCorp Vault plugins. ML-KEM hybrid TLS is available with OpenSSL 3.x. Key wrapping for DARE uses AES-256 (quantum-safe for symmetric encryption) but the key management layer (Vault, KMS) requires PQC migration.",Open Source,GPL-2.0,11.7.2,2025-02,No,High,Linux Windows macOS,Finance Healthcare Enterprise Technology,https://mariadb.org,https://github.com/MariaDB/server,MySQL-compatible open-source RDBMS. PQC TLS via OpenSSL 3.x. DARE with AES-256 (quantum-safe). Key management layer (Vault/KMS) requires separate PQC migration.,Open Source Foundation,Partially Verified,2026-03-04,"assess,plan",crypto-dev-apis;data-asset-sensitivity;database-encryption-pqc;healthcare-pqc;kms-pqc;migration-program;secrets-management-pqc;tls-basics,VND-074
Fireblocks,CSC-057,Digital Asset Custody,Security Stack,No,MPC-CMP based custody platform. Uses threshold signatures (MPC-CMP protocol) for key management. No PQC algorithms or quantum-safe roadmap announced. Open-sourced MPC-CMP protocol in 2023.,Commercial,Commercial,,,,High,Cloud SaaS,Cryptocurrency Finance DeFi Enterprise,https://www.fireblocks.com/what-is-mpc,https://github.com/fireblocks/mpc-lib,MPC-CMP based institutional digital asset custody platform supporting hot and cold wallets with threshold signatures.,Trusted Vendor,Verified,2026-03-06,assess,digital-assets;hsm-pqc;network-security-pqc,VND-104
DFNS,CSC-057,Digital Asset Custody,Security Stack,Planned,API-first key orchestration platform supporting MPC TSS and HSM backends. Quantum-safe cryptography support announced via IBM Crypto Express HSM integration. No specific PQC algorithms or timeline disclosed.,Commercial,Proprietary,,,Partial (IBM Crypto Express FIPS 140-2 L4),High,Cloud SaaS On-premises,Cryptocurrency Finance Enterprise,https://www.dfns.co/article/introducing-hsm,,API-first key orchestration platform with MPC HSM and hybrid custody models. Quantum-safe support planned via IBM HSM integration.,Trusted Vendor,Verified,2026-03-06,"assess,plan",crypto-dev-apis;digital-assets;hsm-pqc;network-security-pqc,VND-110
Taurus SA,CSC-057,Digital Asset Custody,Security Stack,Planned,Swiss digital asset infrastructure provider. CSO Jean-Philippe Aumasson is co-designer of SPHINCS+ (SLH-DSA NIST standard). PQC development stated as strategic objective. Regulated by FINMA. Products: Taurus-PROTECT (custody) Taurus-CAPITAL (tokenization) Taurus-PRIME (trading).,Commercial,Proprietary,,,No,Critical,Cloud On-premises Hybrid,Finance Enterprise Government,https://www.taurushq.com/,,Swiss FINMA-regulated digital asset custody tokenization and trading platform. CSO co-designed SPHINCS+ PQC standard.,Trusted Vendor,Verified,2026-03-06,"assess,plan",digital-assets;hsm-pqc;network-security-pqc,VND-107
Galileo FT,CSC-057,Digital Asset Custody,Application,No,Fintech payment and wallet infrastructure platform (crypto-to-fiat conversion). Not a dedicated crypto custodian. No PQC algorithms or quantum-safe roadmap announced.,Commercial,Proprietary,,,No,Medium,Cloud SaaS,Finance Payments Retail,https://www.galileo-ft.com/,,Cloud-native fintech platform for banking payments and digital wallet infrastructure with crypto capabilities.,Trusted Vendor,Verified,2026-03-06,assess,digital-assets;network-security-pqc,VND-147
BitGo,CSC-057,Digital Asset Custody,Security Stack,No,TSS 2-of-3 threshold signature custody platform with HSM backing. OCC-chartered national trust bank. Licensed under MiCAR (EU). No PQC roadmap or quantum-safe migration plans announced.,Commercial,Commercial,,,No,High,Cloud SaaS,Cryptocurrency Finance Enterprise,https://www.bitgo.com/resources/blog/introducing-bitgo-tss/,,OCC-chartered institutional custody platform using TSS 2-of-3 threshold signatures and HSMs for digital asset security.,Trusted Vendor,Verified,2026-03-06,assess,digital-assets;hsm-pqc;network-security-pqc,VND-102
Anchorage Digital,CSC-057,Digital Asset Custody,Security Stack,No,OCC-chartered crypto bank using MPC+HSM hybrid architecture. Supports 25+ blockchain networks. FIPS 140-2 compliant HSMs. SOC 1 and SOC 2 Type II certified. No PQC roadmap announced.,Commercial,Proprietary,,,Yes (FIPS 140-2),High,Cloud SaaS Web Mobile,Cryptocurrency Finance Government,https://www.anchorage.com/platform/custody,,OCC-chartered digital asset bank with MPC+HSM hybrid custody supporting 25+ blockchains and DeFi integration.,Trusted Vendor,Verified,2026-03-06,assess,digital-assets;hsm-pqc;network-security-pqc,VND-103
Coinbase Custody,CSC-057,Digital Asset Custody,Security Stack,No,NYDFS qualified custodian and MiCA-licensed institutional custody platform. SOC 1 and SOC 2 audited by Deloitte. Standard ECDSA/EdDSA signatures. No PQC roadmap announced.,Commercial,Proprietary,,,No,High,Cloud SaaS,Cryptocurrency Finance Enterprise Government,https://www.coinbase.com/prime,,NYDFS qualified custodian and MiCA-licensed institutional crypto custody with SOC 1/2 audits by Deloitte.,Trusted Vendor,Verified,2026-03-06,assess,digital-assets;network-security-pqc,VND-105
Copper.co,CSC-057,Digital Asset Custody,Security Stack,No,MPC-based custody with 3-of-3 threshold signatures. Supports 60+ networks and 600+ digital assets. Cold warm and hot vault configurations. Lloyd's insurance via AON. No PQC roadmap announced.,Commercial,Proprietary,,,No,High,Cloud SaaS,Cryptocurrency Finance Enterprise,https://copper.co/en/products/digital-asset-custody,,MPC-based institutional custody supporting 600+ digital assets across 60+ networks with Lloyd's insurance coverage.,Trusted Vendor,Verified,2026-03-06,assess,crypto-dev-apis;digital-assets;hsm-pqc;network-security-pqc,VND-109
Ledger Enterprise,CSC-057,Digital Asset Custody,"Hardware,Security Stack",No,Hardware-enforced multi-signature custody using HSMs and Ledger devices. Advocates hybrid hardware+MPC approach over standalone MPC. Supports Bitcoin Ethereum Solana. No PQC roadmap announced.,Commercial,Proprietary,,,No,High,Hardware Cloud,Cryptocurrency Finance Enterprise,https://www.ledger.com/blog/mpc_readiness,,Hardware-enforced institutional custody using HSMs and Ledger devices with hybrid hardware+MPC architecture.,Trusted Vendor,Verified,2026-03-06,assess,digital-assets;hsm-pqc;network-security-pqc,VND-113
Metaco (Ripple),CSC-057,Digital Asset Custody,Security Stack,No,Institutional digital asset custody platform (Harmonize) acquired by Ripple in 2023 for $250M. Cross-asset custody trading and DeFi services. No PQC roadmap announced.,Commercial,Proprietary,,,No,Medium,Cloud SaaS,Finance Enterprise,https://ripple.com/solutions/custody/,,Institutional digital asset custody platform (Harmonize) acquired by Ripple. Cross-asset custody trading and DeFi.,Trusted Vendor,Verified,2026-03-06,assess,crypto-dev-apis;digital-assets;network-security-pqc,VND-112
Hex Trust,CSC-057,Digital Asset Custody,Application,No,Singapore MAS-licensed institutional custody supporting 24+ blockchain networks including Bitcoin Ethereum Solana Algorand Cosmos Polkadot Avalanche. Regulated in Dubai Hong Kong Singapore Italy France. No PQC roadmap announced.,Commercial,Proprietary,,,No,Medium,Cloud SaaS,Cryptocurrency Finance,https://www.hextrust.com/,,MAS-licensed institutional digital asset custody and staking supporting 24+ blockchain networks across 5 jurisdictions.,Trusted Vendor,Verified,2026-03-06,assess,crypto-dev-apis;digital-assets;network-security-pqc,VND-106
Zodia Custody,CSC-057,Digital Asset Custody,"Hardware,Security Stack",No,Standard Chartered-backed air-gapped cold storage custody with HSM-embedded entitlement workflows. SOC 1/2 and ISO 27001 certified. Regulated in Hong Kong. No PQC roadmap announced.,Commercial,Proprietary,,,No,Medium,Cloud SaaS,Finance Enterprise Government,https://zodia-custody.com/custody/,,Standard Chartered-backed institutional custody with air-gapped cold storage and HSM-embedded workflows.,Trusted Vendor,Verified,2026-03-06,assess,digital-assets;hsm-pqc;network-security-pqc,VND-111
Komainu,CSC-057,Digital Asset Custody,Security Stack,No,Nomura/CoinShares/Ledger-backed institutional custody using hybrid MPC+HSM architecture. Regulated in Jersey UK Dubai Italy Singapore. No PQC roadmap announced.,Commercial,Proprietary,,,No,Medium,Cloud SaaS,Cryptocurrency Finance,https://komainu.com/,,Nomura/CoinShares/Ledger-backed institutional custody with hybrid MPC+HSM and multi-jurisdiction regulation.,Trusted Vendor,Verified,2026-03-06,assess,digital-assets;hsm-pqc;network-security-pqc,VND-108
Bitcoin Core,CSC-058,Blockchain & DLT Protocols,Application,No (BIP-360 P2MR draft),BIP-360 proposes Pay-to-Merkle-Root (P2MR) as first step toward quantum resistance. Removes keypath spend to protect against long-exposure attacks. Post-quantum signature schemes planned for future proposals. Draft stage - no consensus timeline.,Open Source,MIT,27.0,,No,Critical,Linux Windows macOS,Cryptocurrency Finance,https://bip360.org/,https://github.com/bitcoin/bitcoin,Reference implementation of the Bitcoin protocol. BIP-360 proposes P2MR address type as first quantum resistance step.,Open Source,Verified,2026-03-06,"assess,plan",digital-assets,VND-088
Ethereum (Geth),CSC-058,Blockchain & DLT Protocols,Application,Planned (4-year roadmap),Ethereum Foundation established dedicated PQ team in 2026 with $2M research prize fund. 4-year Strawmap through 2029: replace BLS consensus sigs with hash-based STARK-friendly sigs then upgrade KZG data availability then enable EIP-8141 signature type switching for wallets. Vitalik Buterin published PQC defense roadmap Feb 2026.,Open Source,LGPL-3.0,Glamsterdam (dev),,No,Critical,Linux Windows macOS,Cryptocurrency DeFi Enterprise,https://ethereum.org/en/roadmap/,https://github.com/ethereum/go-ethereum,Primary Ethereum execution client. $2M PQC research fund and 4-year Strawmap for quantum-safe consensus and wallets.,Open Source,Verified,2026-03-06,"assess,plan",digital-assets,VND-090
Solana,CSC-058,Blockchain & DLT Protocols,Application,Partial (testnet),Uses Ed25519 and BLS aggregation which are Shor-vulnerable. Project Eleven ML-DSA testnet demonstrated quantum-resistant transactions. Hash-based Winternitz one-time sigs exist for vault constructions. Full migration deferred until efficient PQ aggregation schemes available. Transaction size increasing to 4096 bytes in 2026.,Open Source,Apache-2.0,,,No,Critical,Linux,Cryptocurrency DeFi Web3,https://www.helius.dev/blog/solana-post-quantum-cryptography,https://github.com/solana-labs/solana,High-throughput blockchain using Ed25519. Project Eleven ML-DSA testnet active. PQ migration research ongoing.,Open Source,Verified,2026-03-06,"assess,plan,test",digital-assets;migration-program,VND-091
Hyperledger Fabric,CSC-058,Blockchain & DLT Protocols,Application,No,Enterprise blockchain framework using ECDSA with P-256. Identity managed via X.509 certificates and MSP (Membership Service Provider). No official PQC roadmap. Academic PQFabric research exists but not integrated. Could inherit PQC from upstream OpenSSL 3.x.,Open Source,Apache-2.0,3.0,,No,High,Linux Docker Kubernetes,Enterprise Finance Government,https://hyperledger-fabric.readthedocs.io/,https://github.com/hyperledger/fabric,Enterprise permissioned blockchain framework using ECDSA P-256. No PQC roadmap but could inherit from OpenSSL.,Open Source,Verified,2026-03-06,assess,crypto-dev-apis;digital-assets;migration-program,VND-047
Hyperledger Besu,CSC-058,Blockchain & DLT Protocols,Application,No,Ethereum-compatible enterprise blockchain client using secp256k1 (public) and secp256r1 (private networks). Java-based. No PQC roadmap or integration. Could benefit from upstream Ethereum PQC work.,Open Source,Apache-2.0,,,No,High,Linux Docker Kubernetes,Enterprise Finance,https://besu.hyperledger.org/,https://github.com/hyperledger/besu,Ethereum-compatible enterprise blockchain client supporting secp256k1 and secp256r1 for private networks.,Open Source,Verified,2026-03-06,assess,digital-assets,VND-047
R3 Corda,CSC-058,Blockchain & DLT Protocols,Application,Yes (SPHINCS),Enterprise DLT with SPHINCS hash-based signature scheme available as production option since 2017. Supports EdDSA (default) ECDSA and RSA. Published BPQS (Blockchain Post-Quantum Signature) protocol at IEEE Blockchain 2018. Cryptographic agility built into platform design.,Open Source/Commercial,Apache-2.0,4.12,,No,High,Linux Windows macOS JVM,Finance Enterprise Government,https://docs.r3.com/en/platform/corda/4.12/community/cipher-suites.html,https://github.com/corda/corda,Enterprise DLT with SPHINCS quantum-resistant signatures available since 2017. BPQS protocol published at IEEE.,Open Source,Verified,2026-03-06,"migrate,launch",digital-assets,VND-101
QRL,CSC-058,Blockchain & DLT Protocols,Application,Yes (XMSS; XMSS),Quantum Resistant Ledger - native quantum-safe blockchain using XMSS (eXtended Merkle Signature Scheme) hash-based signatures from inception (2018). NIST-approved algorithm. V2.0 major update with Audit-Ready Testnet targeting Q1 2026.,Open Source,MIT,V2.0 Testnet,,No,Low,Linux,Cryptocurrency Finance Enterprise,https://www.theqrl.org/,https://github.com/theQRL/QRL,Native quantum-resistant blockchain using XMSS hash-based signatures. V2.0 testnet targeting Q1 2026.,Open Source,Verified,2026-03-06,"launch,rampup",digital-assets;stateful-signatures,VND-100
Algorand,CSC-058,Blockchain & DLT Protocols,Application,Partial (Falcon mainnet),First blockchain to execute PQ transaction on live mainnet using Falcon (NIST-selected lattice signature) in Q2 2025. Falcon verification added to AVM opcodes. Consensus module verifying Falcon signatures natively planned for 2026. VRF remains ECC-vulnerable.,Open Source,AGPL-3.0,,,No,Critical,Linux macOS,Cryptocurrency Finance Enterprise DeFi,https://algorand.co/technology/post-quantum,https://github.com/algorand/go-algorand,First blockchain with PQ mainnet transaction (Falcon). Native AVM Falcon verification. Consensus PQC planned 2026.,Open Source,Verified,2026-03-06,"test,migrate",digital-assets,VND-092
Cardano,CSC-058,Blockchain & DLT Protocols,Application,Planned,Strategic long-term PQC commitment collaborating with Google Linux and Microsoft Research experts. Leaning toward lattice-based cryptography. Nightstream standard for privacy layer. Proof chain architecture using Mithril + PQ signatures for historical transaction immutability.,Open Source,Apache-2.0,,,No,High,Linux macOS,Cryptocurrency Finance Government,https://iohk.io/en/research/,https://github.com/IntersectMBO/cardano-node,Research-driven blockchain with strategic PQC commitment. Lattice-based crypto and Nightstream privacy layer planned.,Open Source,Verified,2026-03-06,"assess,plan",digital-assets,VND-093
IOTA,CSC-058,Blockchain & DLT Protocols,Application,Planned (hash-based),Originally used quantum-safe Winternitz hash-based signatures (2016-2021). Switched to Ed25519 for UX. IOTA 2.0 returns to hash-based signatures by default with Coordicide completion. Incentivized testnet planned 2025.,Open Source,Apache-2.0,,,No,High,Linux,IoT Enterprise,https://blog.iota.org/assuring-authenticity-in-the-tangle-with-signatures-791897d7b998/,https://github.com/iotaledger,DAG-based DLT returning to quantum-safe hash-based signatures with IOTA 2.0. Pioneer of hash-based sigs at scale.,Open Source,Verified,2026-03-06,"plan,test",digital-assets;iot-ot-pqc,VND-094
Polkadot/Substrate,CSC-058,Blockchain & DLT Protocols,Application,No (modular),Multi-chain framework using sr25519 (Ed25519 variant) with modular crypto backend. Substrate design permits swappable cryptographic primitives enabling per-parachain PQC adoption without core protocol changes.,Open Source,GPL-3.0,,,No,Medium,Linux,Cryptocurrency DeFi Enterprise,https://docs.substrate.io/reference/cryptography/,https://github.com/nicola-mazzocca/BPQS-node,Multi-chain framework with modular crypto backends. Parachains can adopt PQC independently via Substrate.,Open Source,Verified,2026-03-06,assess,digital-assets,VND-095
Cosmos/Tendermint,CSC-058,Blockchain & DLT Protocols,Application,Partial (community),Appchain ecosystem using secp256k1 (accounts) and Ed25519 (validators). DoraFactory pqc-cosmos project adds Dilithium to CometBFT crypto package. Community-driven CosmosSDK replacement with PQC algorithms. Not in core distribution.,Open Source,Apache-2.0,,,No,High,Linux,Cryptocurrency DeFi Enterprise,https://github.com/DoraFactory/pqc-cosmos,https://github.com/cosmos/cosmos-sdk,Appchain ecosystem with community-driven PQC integration via DoraFactory pqc-cosmos (Dilithium in CometBFT).,Open Source,Verified,2026-03-06,"assess,test",digital-assets,VND-096
Aptos,CSC-058,Blockchain & DLT Protocols,Application,Planned (AIP-137),Move-based blockchain using Ed25519 ECDSA and BLS12-381. AIP-137 proposal integrates SLH-DSA (FIPS 205 hash-based stateless). Backward compatible - Ed25519 accounts unaffected. No new security assumptions required. Proposal stage.,Open Source,Apache-2.0,,,No,High,Linux,Cryptocurrency DeFi Web3,https://github.com/aptos-foundation/AIPs/blob/main/aips/aip-137.md,https://github.com/aptos-labs/aptos-core,Move-based blockchain with AIP-137 proposal for SLH-DSA (FIPS 205) quantum-resistant signatures.,Open Source,Verified,2026-03-06,"assess,plan",digital-assets,VND-097
Avalanche,CSC-058,Blockchain & DLT Protocols,Application,No (early exploration),Uses ECDSA (secp256k1 P-256). AIP-QR-001 forum proposal for staged transition to lattice-based cryptography. Research phase with no concrete timeline. Per-subnet PQC adoption paths possible.,Open Source,BSD-3-Clause,,,No,Medium,Linux macOS,Cryptocurrency DeFi Enterprise,https://forum.avax.network/t/acp-idea-staged-transition-to-quantum-resistant-cryptography-aip-qr-001/7055,https://github.com/ava-labs/avalanchego,Subnet-based blockchain with AIP-QR-001 proposal for staged PQC transition. Early exploration phase.,Open Source,Verified,2026-03-06,assess,digital-assets,VND-098
Sui,CSC-058,Blockchain & DLT Protocols,Application,No (agile-ready),Uses Ed25519 and secp256k1. Architecturally designed for cryptographic agility with seed-based key structure. Inherently more prepared for PQ transitions than account-based chains. No formal PQC roadmap published.,Open Source,Apache-2.0,,,No,Medium,Linux,Cryptocurrency DeFi Web3,https://blog.sui.io/post-quantum-computing-cryptography-security/,https://github.com/MystenLabs/sui,Move-based blockchain with crypto-agile architecture. Seed-based key structure enables faster PQC migration.,Open Source,Verified,2026-03-06,assess,digital-assets;migration-program,VND-099
Broadcom Avi (NSX ALB),CSC-033,Network Security Software,Network,Planned,PQC support planned for future releases via OpenSSL 3.5 integration. Currently supports TLS 1.3 with classical algorithms. Hybrid ML-KEM expected in upcoming NSX ALB releases.,Commercial,Proprietary,NSX ALB 22.1,2025-06-15,Partial,Medium,VMware vSphere;Kubernetes;Public Cloud,Technology;Finance & Banking;Telecommunications,https://www.broadcom.com/products/software/networking/avi-networks,,"Application delivery controller and load balancer (formerly Avi Networks / VMware NSX ALB) with L4-L7 load balancing, WAF, and service mesh integration.",Trusted Vendor,Needs Verification,2026-03-06,"assess,plan",5g-security;network-security-pqc;web-gateway-pqc,VND-127
Claroty Platform,CSC-059,Industrial Control System & OT Security,Security Stack,Planned (PQC roadmap 2026),"Claroty Extended Internet of Things (XIoT) security platform with PQC transition roadmap. Provides OT/ICS asset discovery, vulnerability management, and cryptographic posture visibility for critical infrastructure. PQC-aware network traffic analysis planned for IEC 62351-9 compliance.",Commercial,Proprietary,5.4,2025-12-01,No,High,Windows Linux Cloud,Energy Utilities Manufacturing Government Critical Infrastructure,https://claroty.com/platform,,"Leading OT/ICS security platform covering asset discovery, vulnerability management, and network monitoring for critical infrastructure environments navigating PQC transition.",Trusted Vendor,Verified,2026-03-07,"assess,plan",energy-utilities-pqc;iot-ot-pqc;network-security-pqc,VND-129
Dragos Platform,CSC-059,Industrial Control System & OT Security,Security Stack,Planned (PQC roadmap 2027),"Industrial cybersecurity platform designed for OT environments. Provides ICS/SCADA threat detection, incident response, and cryptographic visibility. Dragos published a PQC readiness assessment guide for ICS operators in 2025, with platform PQC support targeted for 2027.",Commercial,Proprietary,6.2,2025-11-15,No,High,Windows Linux Appliance,Energy Utilities Manufacturing Government Defense,https://www.dragos.com/platform/,,"Purpose-built ICS/OT cybersecurity platform providing threat intelligence, detection, and response capabilities for industrial environments including energy and utilities sectors.",Trusted Vendor,Verified,2026-03-07,"assess,plan",aerospace-pqc;energy-utilities-pqc;iot-ot-pqc,VND-128
