reference_id,document_title,download_url,initial_publication_date,last_update_date,last_verified,document_status,short_description,document_type,applicable_industries,authors_or_organization,dependencies,region_scope,AlgorithmFamily,SecurityLevels,ProtocolOrToolImpact,ToolchainSupport,MigrationUrgency,change_status,manual_category,downloadable,free_summary_url,access_type,local_file,module_ids,misc_info,trusted_source_id,peer_reviewed,vetting_body,github_contribution_url,download_url_quality,trusted_source_id_status,data_quality_notes,confidence_score,status,deprecated_at,deprecated_reason,pqc_heatmap_protocols,pqc_heatmap_protocols_evidence,math_family,pqc_round,lifecycle_state,superseded_by,purpose
RFC 9180,Hybrid Public Key Encryption (HPKE),https://www.rfc-editor.org/rfc/rfc9180.html,2022-02,2022-02-01,2026-08-11,Proposed Standard,"Defines HPKE combining a KEM, KDF, and AEAD into a composable hybrid encryption scheme; used as the foundation for PQC hybrid KEM constructions (ML-KEM + X25519 HPKE modes).",RFC,IT; Web PKI; Messaging,IETF,RFC 7748,PQC-REGION-GLOBAL,Lattice-based; ECC,L1;L3,Hybrid KEM; ECH; MLS,OpenSSL; libhpke,High,New,Protocols,yes,,,library/IETF_RFC_9180.html,standards-bodies; mls-group-messaging; hybrid-crypto; secrets-management-pqc,,ietf,partial,IETF,,url_authoritative,registered,"Stub added 2026-05-08: library reference for xwalk edge normalization. Category normalised 2026-08-22: Post-Quantum Protocols -> Protocols, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",30,active,,,,,,,,,
RFC 9480,Certificate Management Protocol (CMP) Updates,https://www.rfc-editor.org/rfc/rfc9480.html,2023-11,2023-11-01,2026-08-11,Proposed Standard,Updates RFC 4210 CMP with lightweight profile and PQC-aware extensions; critical for automated ML-DSA certificate enrollment in enterprise PKI.,RFC,IT; PKI; Finance,IETF,RFC 4210,PQC-REGION-GLOBAL,,,PKI certificate management; ML-DSA enrollment,OpenSSL; CMP clients,High,New,PKI Certificate Management,yes,,,library/RFC_9480.html,standards-bodies;pki-enrollment-protocols,,ietf,partial,IETF,,url_authoritative,registered,"Stub added 2026-05-08: library reference for xwalk edge normalization. Category normalised 2026-08-22: PKI & Certificates -> PKI Certificate Management, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip. | 2026-08-23: deprecated. Found while repointing RFC 4210 citations — the same capture that settled 4210's status names 9480 in the same header, and nothing compared a row's status against the successor's Obsoletes: line.",30,deprecated,2026-08-23,"obsoleted by RFC 9810. RFC 9810's own cached capture carries the header ""Obsoletes: 4210, 9480"" and its abstract reads ""This document obsoletes RFC 4210, and together with RFC 9811, it also obsoletes RFC 9480."" RFC 4210 was already deprecated against RFC 9810 here; 9480 was missed, so pki-enrollment-protocols declared it as a current specification.",,,,,,RFC 9810,
RFC 9811,CMP Profile for Hardware Security Modules,https://www.rfc-editor.org/rfc/rfc9811.html,2025-07,2025-01-01,2026-08-11,Proposed Standard,CMP profile for HSM-based certificate lifecycle management; enables PQC key generation and ML-DSA certificate enrollment directly from PKCS#11-compliant HSMs.,RFC,IT; PKI; HSM Vendors; Finance,IETF,RFC 9480,PQC-REGION-GLOBAL,,,HSM certificate management; PKCS#11,HSMs,High,New,PKI Certificate Management,yes,,,library/RFC_9811.html,standards-bodies;hsm-pqc;pki-enrollment-protocols,,ietf,partial,IETF,,url_authoritative,registered,"Stub added 2026-05-08: library reference for xwalk edge normalization. Category normalised 2026-08-22: PKI & Certificates -> PKI Certificate Management, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",30,active,,,,,,,,,
draft-ietf-lamps-dilithium-certificates-13,Internet X.509 PKI: Algorithm Identifiers for ML-DSA,https://datatracker.ietf.org/doc/draft-ietf-lamps-dilithium-certificates/,2024-10-01,2024-10-01,,Internet Draft,Defines X.509 algorithm identifiers and parameter encoding for ML-DSA (FIPS 204 Dilithium) in certificates and CRLs; progressing toward RFC.,Internet-Draft,IT; PKI; Government,IETF LAMPS,FIPS 204,PQC-REGION-GLOBAL,Lattice-based,L2;L3;L5,ML-DSA X.509 certificates,OpenSSL; BouncyCastle,High,New,Post-Quantum Protocols,yes,,,library/draft-ietf-lamps-dilithium-certificates-13.html,standards-bodies,,ietf,partial,IETF,,url_authoritative,registered,Stub added 2026-05-08: library reference for xwalk edge normalization.,30,deprecated,2026-05-15,superseded by RFC 9881 (published 2025-10),,,,,,RFC 9881,
draft-ietf-ipsecme-ikev2-pqc-auth,Post-Quantum Cryptography (PQC) Authentication in IKEv2,https://datatracker.ietf.org/doc/draft-ietf-ipsecme-ikev2-pqc-auth/,2024-07-01,2024-07-01,,Internet Draft,Specifies how ML-DSA and SLH-DSA can be used for IKEv2 authentication; enables quantum-resistant VPN endpoint authentication in IPsec tunnels.,Internet-Draft,IT; Defense; Telecom,IETF IPSECME,FIPS 204;FIPS 205,PQC-REGION-GLOBAL,Lattice-based; Hash-based,L1;L3;L5,IKEv2 authentication; IPsec VPN,strongSwan,High,New,Post-Quantum Protocols,yes,,,library/draft-ietf-ipsecme-ikev2-pqc-auth.html,standards-bodies;vpn-ssh-pqc,,ietf,partial,IETF,,url_authoritative,registered,Stub added 2026-05-08: library reference for xwalk edge normalization.,30,deprecated,2026-05-15,bare slug; superseded by draft-ietf-ipsecme-ikev2-pqc-auth-08,,,,,,draft-ietf-ipsecme-ikev2-pqc-auth-08,
draft-ietf-pquip-hybrid-signature-spectrums,Hybrid Signature Spectrums,https://www.ietf.org/archive/id/draft-ietf-pquip-hybrid-signature-spectrums-07.txt,2025-06-20,2025-06-20,2026-08-11,Internet Draft,Defines a taxonomy for hybrid digital signature schemes combining classical and PQC algorithms; informs IETF composite signature standards.,Internet-Draft,IT; PKI,IETF PQUIP,FIPS 204,PQC-REGION-GLOBAL,Lattice-based; ECC,L1;L3,Hybrid signatures; Composite signatures,,High,Updated,Protocols,yes,,,library/draft-ietf-pquip-hybrid-signature-spectrums-07.html,standards-bodies; hybrid-crypto,,ietf,partial,IETF,,url_authoritative,registered,"Stub added 2026-05-08: library reference for xwalk edge normalization. | 2026-06-05: refreshed to latest version — -07 (2025-06-20), in RFC Editor queue Category normalised 2026-08-22: Post-Quantum Protocols -> Protocols, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",30,active,,,,,,,,,
draft-celi-wiggers-tls-authkem,TLS AuthKEM — Certificate-Based Authentication with KEM in TLS 1.3,https://datatracker.ietf.org/doc/draft-celi-wiggers-tls-authkem/,2023-10-01,2023-10-01,,Internet Draft,Proposes replacing TLS 1.3 certificate-based signature authentication with KEM-based authentication using ML-KEM; eliminates classical signature algorithms from TLS handshake.,Internet-Draft,IT; Web PKI,IETF,FIPS 203,PQC-REGION-GLOBAL,Lattice-based,L1;L3,TLS 1.3 authentication; AuthKEM,,Medium,New,Post-Quantum Protocols,yes,,,library/draft-celi-wiggers-tls-authkem.html,standards-bodies,,ietf,partial,IETF,,url_authoritative,registered,Stub added 2026-05-08: library reference for xwalk edge normalization.,30,deprecated,2026-05-15,bare slug; superseded by draft-celi-wiggers-tls-authkem-07,,,,,,draft-celi-wiggers-tls-authkem-07,
draft-wiggers-tls-authkem-psk,AuthKEM with PSK Authentication in TLS 1.3,https://www.ietf.org/archive/id/draft-wiggers-tls-authkem-psk-05.txt,2026-05-04,2026-05-04,2026-08-11,Internet Draft,Extends TLS AuthKEM with pre-shared key authentication modes; provides a fully quantum-resistant TLS 1.3 handshake without relying on any classical asymmetric primitives.,Internet-Draft,IT,IETF,FIPS 203,PQC-REGION-GLOBAL,Lattice-based,L1;L3,TLS 1.3; PSK; AuthKEM,,Medium,Updated,Protocols,yes,,,library/draft-wiggers-tls-authkem-psk.html,standards-bodies,,ietf,partial,IETF,,url_authoritative,registered,"Stub added 2026-05-08: library reference for xwalk edge normalization. | 2026-06-05: refreshed to latest version — -05 (2026-05-04) Category normalised 2026-08-22: Post-Quantum Protocols -> Protocols, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",30,active,,,,,,,,,
draft-hu-ipsecme-pqt-hybrid-auth,PQ/Traditional Hybrid Authentication in IKEv2,https://www.ietf.org/archive/id/draft-hu-ipsecme-pqt-hybrid-auth-04.txt,2026-02-27,2026-02-27,2026-08-11,Internet Draft,Proposes using both a classical (ECDSA) and PQC (ML-DSA) signature in IKEv2 AUTH payload for defense-in-depth during the transition period.,Internet-Draft,IT; Defense,IETF IPSECME,FIPS 204,PQC-REGION-GLOBAL,Lattice-based; ECC,L1;L3,IKEv2 hybrid auth; IPsec,strongSwan,High,Updated,Protocols,yes,,,library/draft-hu-ipsecme-pqt-hybrid-auth.html,standards-bodies;vpn-ssh-pqc,,ietf,partial,IETF,,url_authoritative,registered,"Stub added 2026-05-08: library reference for xwalk edge normalization. | 2026-06-05: refreshed to latest version — -04 (2026-02-27) Category normalised 2026-08-22: Post-Quantum Protocols -> Protocols, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",30,active,,,,,,,,,
draft-ietf-tls-rfc8447bis-15,IANA Registry Updates for TLS and DTLS — RFC 8447 bis,https://datatracker.ietf.org/doc/draft-ietf-tls-rfc8447bis/,2024-09-01,2024-09-01,,Internet Draft,Updates TLS and DTLS IANA registries to accommodate PQC algorithm identifiers; enables standardized registration of ML-KEM and hybrid key exchange groups.,Internet-Draft,IT; Web PKI,IETF TLS,,PQC-REGION-GLOBAL,,,TLS registry; ML-KEM groups,,Medium,New,Post-Quantum Protocols,yes,,,library/draft-ietf-tls-rfc8447bis-15.html,standards-bodies,,ietf,partial,IETF,,url_authoritative,registered,Stub added 2026-05-08: library reference for xwalk edge normalization.,30,deprecated,2026-06-05,Superseded — Published as RFC 9847 (2025-12),,,,,,RFC 9847,
BIP-43,Bitcoin BIP-43 — Purpose Field for Deterministic Wallets,https://github.com/bitcoin/bips/blob/master/bip-0043.mediawiki,2014-04-24,2014-04-24,2026-08-16,Final,Bitcoin Improvement Proposal defining the purpose field for BIP-32 HD wallet derivation paths; referenced by noble/secp256k1 and @scure/bip32 cryptographic libraries in the library.,Standard,Finance; Blockchain,Bitcoin Core,BIP-32,PQC-REGION-GLOBAL,ECC,L1,HD wallet derivation,@scure/bip32; @noble/secp256k1,Low,New,Blockchain Standards,yes,,,library/BIP-43.html,standards-bodies,,bitcoin-core,no,Bitcoin Core,,url_authoritative,registered,Stub added 2026-05-08: library reference for xwalk edge normalization.,30,active,,,,,,,,,
EIP-2,Ethereum EIP-2 — Homestead Hard Fork Changes,https://eips.ethereum.org/EIPS/eip-2,2015-11-15,2015-11-15,2026-08-11,Final,Ethereum Homestead changes including stricter ECDSA signature malleability rules; foundational for Ethereum cryptographic security baseline referenced by noble/scure libraries.,Standard,Finance; Blockchain,Ethereum Foundation,,PQC-REGION-GLOBAL,ECC,L1,Ethereum signature validation,micro-eth-signer; @noble/secp256k1,Low,New,Blockchain Standards,yes,,,library/EIP-2.html,standards-bodies; digital-assets,,ethereum-foundation,no,Ethereum Foundation,,url_authoritative,registered,Stub added 2026-05-08: library reference for xwalk edge normalization.,30,active,,,,,,,,,
EIP-2718,Ethereum EIP-2718 — Typed Transaction Envelope,https://eips.ethereum.org/EIPS/eip-2718,2020-06-13,2020-06-13,2026-08-11,Final,Defines a typed transaction envelope format allowing multiple transaction types; enables extensible transaction formats for future PQC signature-compatible Ethereum transactions.,Standard,Finance; Blockchain,Ethereum Foundation,,PQC-REGION-GLOBAL,ECC,L1,Ethereum transaction format,micro-eth-signer,Low,New,Blockchain Standards,yes,,,library/EIP-2718.html,standards-bodies,,ethereum-foundation,no,Ethereum Foundation,,url_authoritative,registered,Stub added 2026-05-08: library reference for xwalk edge normalization.,30,active,,,,,,,,,
EIP-2929,Ethereum EIP-2929 — Gas Cost Increases for State Access Opcodes,https://eips.ethereum.org/EIPS/eip-2929,2020-09-01,2020-09-01,2026-08-11,Final,Berlin hard fork gas cost adjustments for EVM state access opcodes; indirectly affects PQC smart contract deployment costs due to larger key/signature sizes.,Standard,Finance; Blockchain,Ethereum Foundation,,PQC-REGION-GLOBAL,,,Ethereum EVM; Gas costs,micro-eth-signer,Low,New,Blockchain Standards,yes,,,library/EIP-2929.html,standards-bodies,,ethereum-foundation,no,Ethereum Foundation,,url_authoritative,registered,Stub added 2026-05-08: library reference for xwalk edge normalization.,30,active,,,,,,,,,
EIP-2930,Ethereum EIP-2930 — Optional Access Lists,https://eips.ethereum.org/EIPS/eip-2930,2020-08-29,2020-08-29,2026-08-11,Final,Defines optional access list transaction type (EIP-2718 type 1); relevant to noble/scure crypto library ecosystem referenced in the library.,Standard,Finance; Blockchain,Ethereum Foundation,EIP-2718,PQC-REGION-GLOBAL,,,Ethereum transaction types,micro-eth-signer,Low,New,Blockchain Standards,yes,,,library/EIP-2930.html,standards-bodies,,ethereum-foundation,no,Ethereum Foundation,,url_authoritative,registered,Stub added 2026-05-08: library reference for xwalk edge normalization.,30,active,,,,,,,,,
EIP-3541,Ethereum EIP-3541 — Reject New Contract Code Starting With 0xEF,https://eips.ethereum.org/EIPS/eip-3541,2021-03-16,2021-03-16,2026-08-11,Final,Berlin hard fork change reserving the 0xEF contract bytecode prefix for EVM Object Format; part of the EVM upgrade path referenced by @noble/secp256k1 context.,Standard,Finance; Blockchain,Ethereum Foundation,,PQC-REGION-GLOBAL,,,Ethereum EVM,micro-eth-signer,Low,New,Blockchain Standards,yes,,,library/EIP-3541.html,standards-bodies,,ethereum-foundation,no,Ethereum Foundation,,url_authoritative,registered,Stub added 2026-05-08: library reference for xwalk edge normalization.,30,active,,,,,,,,,
EIP-3607,Ethereum EIP-3607 — Reject Transactions From Senders With Deployed Code,https://eips.ethereum.org/EIPS/eip-3607,2021-06-10,2021-06-10,2026-08-11,Final,Prevents hash-collision attacks by rejecting transactions from contract accounts; a cryptographic integrity measure referenced in noble/scure library security context.,Standard,Finance; Blockchain,Ethereum Foundation,,PQC-REGION-GLOBAL,Hash-based,L1,Ethereum account security,micro-eth-signer,Low,New,Blockchain Standards,yes,,,library/EIP-3607.html,standards-bodies,,ethereum-foundation,no,Ethereum Foundation,,url_authoritative,registered,Stub added 2026-05-08: library reference for xwalk edge normalization.,30,active,,,,,,,,,
EIP-4844,Ethereum EIP-4844 — Shard Blob Transactions (Proto-Danksharding),https://eips.ethereum.org/EIPS/eip-4844,2022-02-25,2022-02-25,2026-08-11,Final,Introduces blob-carrying transactions for L2 data availability; uses KZG commitments (elliptic curve pairings) with a future migration path to quantum-safe polynomial commitments.,Standard,Finance; Blockchain,Ethereum Foundation,,PQC-REGION-GLOBAL,ECC,L1,Ethereum blobs; KZG commitments,micro-eth-signer,Low,New,Blockchain Standards,yes,,,library/EIP-4844.html,standards-bodies,,ethereum-foundation,no,Ethereum Foundation,,url_authoritative,registered,Stub added 2026-05-08: library reference for xwalk edge normalization.,30,active,,,,,,,,,
RFC 6090,Fundamental Elliptic Curve Cryptography Algorithms,https://www.rfc-editor.org/rfc/rfc6090.html,2011-02,2011-02-01,2026-08-11,Informational,Provides compact ECC algorithm descriptions for IETF implementers; referenced as an ECC foundation in documents discussing classical-to-PQC algorithm displacement.,RFC,IT; Finance; Government,IETF,,PQC-REGION-GLOBAL,ECC,L1;L3,ECC primitives; TLS; IPsec,OpenSSL,High,New,Protocols,yes,,,library/RFC_6090.html,standards-bodies,,ietf,partial,IETF,,url_authoritative,registered,Stub added 2026-05-08: library reference for xwalk edge normalization.,30,active,,,,,,,,,
RFC 8037,CFRG Elliptic Curves for JOSE — Ed25519 and X25519,https://www.rfc-editor.org/rfc/rfc8037.html,2017-01,2017-01-01,2026-08-11,Proposed Standard,Defines JWK and JWA algorithm identifiers for Ed25519/Ed448 signatures and X25519/X448 key agreement; used in hybrid PQC JOSE/JWT implementations alongside ML-KEM.,RFC,IT; Finance; Web PKI,IETF,RFC 7748,PQC-REGION-GLOBAL,ECC,L1;L3,JOSE; JWK; JWT,OpenSSL; @noble/ed25519,High,New,Protocols,yes,,,library/RFC_8037.html,standards-bodies,,ietf,partial,IETF,,url_authoritative,registered,Stub added 2026-05-08: library reference for xwalk edge normalization.,30,active,,,,,,,,,
RFC-8420,IETF RFC 8420,https://www.rfc-editor.org/rfc/rfc8420,2018-08-20,2018-08-20,2026-08-11,Active,This document describes the use of the Edwards-curve Digital Signature Algorithm (EdDSA) in the Internet Key Exchange Protocol Version 2 (IKEv2).,RFC,,IETF,,PQC-REGION-GLOBAL,,,IKEv2,,,New,Protocols,yes,,,library/RFC-8420.html,,auto-stub from extract-library-stubs,ietf-rfc-series,partial,IETF,,url_authoritative,inferred,"auto-generated stub; verify before publishing Category normalised 2026-08-22: (blank) -> Protocols, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",72,active,,,,,,,,,
RFC-7427,IETF RFC 7427,https://www.rfc-editor.org/rfc/rfc7427,2015-01-06,2020-07-29,2026-08-11,Active,"The Internet Key Exchange Version 2 (IKEv2) protocol has limited support for the Elliptic Curve Digital Signature Algorithm (ECDSA).  The current version only includes support for three Elliptic Curve groups, and there is a fixed hash algorithm tied to each group.  This document generalizes IKEv2 signature support to allow any signature method supported by PKIX and also adds signature hash algorit",RFC,,IETF,,PQC-REGION-GLOBAL,,,IKEv2,,,New,Protocols,yes,,,library/RFC-7427.html,,auto-stub from extract-library-stubs,ietf-rfc-series,partial,IETF,,url_authoritative,inferred,"auto-generated stub; verify before publishing Category normalised 2026-08-22: (blank) -> Protocols, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",72,active,,,,,,,,,
RFC-8410,RFC 8410,https://www.rfc-editor.org/rfc/rfc8410,2018-08-06,2021-12-04,2026-08-11,Active,"This document specifies algorithm identifiers and ASN.1 encoding formats for elliptic curve constructs using the curve25519 and curve448 curves.  The signature algorithms covered are Ed25519 and Ed448.  The key agreement algorithms covered are X25519 and X448.  The encoding for public key, private key, and Edwards-curve Digital Signature Algorithm (EdDSA) structures is provided.",RFC,,IETF,,PQC-REGION-GLOBAL,,,X.509,,,New,Protocols,yes,,,library/RFC-8410.html,hybrid-crypto,auto-stub from extract-library-stubs,ietf-rfc-series,partial,IETF,,url_authoritative,inferred,"auto-generated stub; verify before publishing Category normalised 2026-08-22: (blank) -> Protocols, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",72,active,,,,,,,,,
RFC-6960,RFC 6960,https://www.rfc-editor.org/rfc/rfc6960,2013-06-06,2020-01-21,2026-08-11,Active,This document specifies a protocol useful in determining the current status of a digital certificate without requiring Certificate Revocation Lists (CRLs).  Additional mechanisms addressing PKIX operational requirements are specified in separate documents.  This document obsoletes RFCs 2560 and 6277.  It also updates RFC 5912.,RFC,,IETF,,PQC-REGION-GLOBAL,,,OCSP; HTTP; X.509,,,New,Protocols,yes,,,library/RFC-6960.html,pki-workshop,auto-stub from extract-library-stubs,ietf-rfc-series,partial,IETF,,url_authoritative,inferred,"auto-generated stub; verify before publishing Category normalised 2026-08-22: (blank) -> Protocols, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",72,active,,,,,,,,,
draft-ietf-tls-authkem,draft-ietf-tls-authkem,https://datatracker.ietf.org/doc/draft-celi-wiggers-tls-authkem/,,,,Active,[STUB — auto-generated from xwalk merge orphan; please review and complete],Internet-Draft,,IETF,,PQC-REGION-GLOBAL,ML-KEM; ML-DSA; FALCON,,TLS 1.3; X.509,,,New,,yes,,,library/draft-ietf-tls-authkem.html,,auto-stub from extract-library-stubs,ietf-internet-drafts,partial,IETF,,url_authoritative,inferred,auto-generated stub; verify before publishing,40,deprecated,2026-05-15,"orphan bare slug (AuthKEM is individual draft, not WG-adopted); superseded by draft-celi-wiggers-tls-authkem-07",,,,,,draft-celi-wiggers-tls-authkem-07,
draft-ietf-tls-subcerts,draft-ietf-tls-subcerts,https://datatracker.ietf.org/doc/draft-ietf-tls-subcerts/,2023-07-13,2023-07-13,,Active,"The organizational separation between operators of TLS and DTLS endpoints and the certification authority can create limitations.  For example, the lifetime of certificates, how they may be used, and the algorithms they support are ultimately determined by the Certification Authority (CA).  This document describes a mechanism to overcome some of these limitations by enabling operators to delegate",Internet-Draft,,IETF,,PQC-REGION-GLOBAL,,,TLS; DTLS; X.509; SSLv2,,,New,,yes,,,library/draft-ietf-tls-subcerts.html,,auto-stub from extract-library-stubs,ietf-internet-drafts,partial,IETF,,url_authoritative,inferred,auto-generated stub; verify before publishing,72,deprecated,2026-06-05,Published as RFC 9345 (Jul 2023) — superseded by RFC-9345,,,,,,RFC-9345,
RFC-3647,RFC 3647,https://www.rfc-editor.org/rfc/rfc3647,2003-11-05,2020-01-21,2026-08-11,Active,"This document presents a framework to assist the writers of certificate policies or certification practice statements for participants within public key infrastructures, such as certification authorities, policy authorities, and communities of interest that wish to rely on certificates.  In particular, the framework provides a comprehensive list of topics that potentially (at the writer's discreti",RFC,,IETF,,PQC-REGION-GLOBAL,,,X.509; SSL,,,New,Protocols,yes,,,library/RFC-3647.html,,auto-stub from extract-library-stubs,ietf-rfc-series,partial,IETF,,url_authoritative,inferred,"auto-generated stub; verify before publishing Category normalised 2026-08-22: (blank) -> Protocols, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",72,active,,,,,,,,,
FIPS-197,FIPS PUB 197,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.197-upd1.pdf,2023-05-09,2023-05-09,2026-08-16,Active,"In 2000, NIST announced the selection of the Rijndael block cipher family as the winner of the Advanced Encryption Standard (AES) competition. Block ciphers are the foundation for many cryptographic services, especially those that provide assurance of the confidentiality of data.  Three members of the Rijndael family are specified in this Standard: AES-128, AES-192, and AES-256. Each of them trans",Standard,,NIST,,PQC-REGION-GLOBAL,,,,,,New,Algorithm Specifications,yes,,,library/FIPS-197.pdf,pqc-testing-validation,auto-stub from extract-library-stubs,nist-csrc,partial,NIST,,url_authoritative,inferred,"auto-generated stub; verify before publishing | 2026-08-16: cached file was the CSRC abstract/landing page (thin), not the standard. Repointed to the full 46-page NIST.FIPS.197-upd1.pdf from nvlpubs.nist.gov. Category normalised 2026-08-22: (blank) -> Algorithm Specifications, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",72,active,,,,,,,,,
RFC-8705,RFC 8705,https://www.rfc-editor.org/rfc/rfc8705,2020-02-28,2020-03-09,2026-08-11,Active,"This document describes OAuth client authentication and certificate-bound access and refresh tokens using mutual Transport Layer Security (TLS) authentication with X.509 certificates.  OAuth clients are provided a mechanism for authentication to the authorization server using mutual TLS, based on either self-signed certificates or public key infrastructure (PKI).  OAuth authorization servers are p",RFC,,IETF,,PQC-REGION-GLOBAL,,,TLS; X.509; OAuth 2.0,,,New,Protocols,yes,,,library/RFC-8705.html,,auto-stub from extract-library-stubs,ietf-rfc-series,partial,IETF,,url_authoritative,inferred,"auto-generated stub; verify before publishing Category normalised 2026-08-22: (blank) -> Protocols, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",72,active,,,,,,,,,
RFC-8707,RFC 8707,https://www.rfc-editor.org/rfc/rfc8707,2020-02-28,2022-01-21,2026-08-11,Active,This document specifies an extension to the OAuth 2.0 Authorization Framework defining request parameters that enable a client to explicitly signal to an authorization server about the identity of the protected resource(s) to which it is requesting access.,RFC,,IETF,,PQC-REGION-GLOBAL,,,OAuth 2.0,,,New,Protocols,yes,,,library/RFC-8707.html,,auto-stub from extract-library-stubs,ietf-rfc-series,partial,IETF,,url_authoritative,inferred,"auto-generated stub; verify before publishing Category normalised 2026-08-22: (blank) -> Protocols, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",72,active,,,,,,,,,
RFC-9110,RFC 9110,https://www.rfc-editor.org/rfc/rfc9110,2022-06-06,2022-11-02,2026-08-11,Active,"The Hypertext Transfer Protocol (HTTP) is a stateless application-level protocol for distributed, collaborative, hypertext information systems. This document describes the overall architecture of HTTP, establishes common terminology, and defines aspects of the protocol that are shared by all versions. In this definition are core protocol elements, extensibility mechanisms, and the ""http"" and ""http",RFC,,IETF,,PQC-REGION-GLOBAL,,,HTTP; TLS; TCP; UDP; QUIC,,,New,Protocols,yes,,,library/RFC-9110.html,,auto-stub from extract-library-stubs,ietf-rfc-series,partial,IETF,,url_authoritative,inferred,"auto-generated stub; verify before publishing Category normalised 2026-08-22: (blank) -> Protocols, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",72,active,,,,,,,,,
RFC-5234,RFC 5234,https://www.rfc-editor.org/rfc/rfc5234,2008-01-31,2020-01-21,2026-08-11,Active,"Internet technical specifications often need to define a formal syntax.  Over the years, a modified version of Backus-Naur Form (BNF), called Augmented BNF (ABNF), has been popular among many Internet specifications.  The current specification documents ABNF.  It balances compactness and simplicity with reasonable representational power.  The differences between standard BNF and ABNF involve namin",RFC,,IETF,,PQC-REGION-GLOBAL,,,,,,New,Protocols,yes,,,library/RFC-5234.html,,auto-stub from extract-library-stubs,ietf-rfc-series,partial,IETF,,url_authoritative,inferred,"auto-generated stub; verify before publishing Category normalised 2026-08-22: (blank) -> Protocols, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",72,active,,,,,,,,,
RFC-7841,RFC 7841,https://www.rfc-editor.org/rfc/rfc7841,2016-05-25,2020-01-21,2026-08-11,Active,"RFC documents contain a number of fixed elements such as the title page header, standard boilerplates, and copyright/IPR statements.  This document describes them and introduces some updates to reflect current usage and requirements of RFC publication.  In particular, this updated structure is intended to communicate clearly the source of RFC creation and review.  This document obsoletes RFC 5741,",RFC,,IETF,,PQC-REGION-GLOBAL,,,,,,New,Protocols,yes,,,library/RFC-7841.html,,auto-stub from extract-library-stubs,ietf-rfc-series,partial,IETF,,url_authoritative,inferred,"auto-generated stub; verify before publishing Category normalised 2026-08-22: (blank) -> Protocols, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",72,active,,,,,,,,,
RFC-8792,RFC 8792,https://www.rfc-editor.org/rfc/rfc8792,2020-06-29,2021-11-19,2026-08-11,Active,"This document defines two strategies for handling long lines in width-bounded text content.  One strategy, called the ""single backslash"" strategy, is based on the historical use of a single backslash ('\') character to indicate where line-folding has occurred, with the continuation occurring with the first character that is not a space character (' ') on the next line.  The second strategy, called",RFC,,IETF,,PQC-REGION-GLOBAL,,,,,,New,Protocols,yes,,,library/RFC-8792.html,,auto-stub from extract-library-stubs,ietf-rfc-series,partial,IETF,,url_authoritative,inferred,"auto-generated stub; verify before publishing Category normalised 2026-08-22: (blank) -> Protocols, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",72,active,,,,,,,,,
RFC-6763,RFC 6763,https://www.rfc-editor.org/rfc/rfc6763,2013-02-20,2020-10-22,2026-08-11,Active,"This document specifies how DNS resource records are named and structured to facilitate service discovery.  Given a type of service that a client is looking for, and a domain in which the client is looking for that service, this mechanism allows clients to discover a list of named instances of that desired service, using standard DNS queries.  This mechanism is referred to as DNS-based Service Dis",RFC,,IETF,,PQC-REGION-GLOBAL,,,DNS; Multicast DNS; Unicast DNS,,,New,Protocols,yes,,,library/RFC-6763.html,,auto-stub from extract-library-stubs,ietf-rfc-series,partial,IETF,,url_authoritative,inferred,"auto-generated stub; verify before publishing Category normalised 2026-08-22: (blank) -> Protocols, onto the 13-value LIBRARY_CATEGORIES vocabulary. Rows outside it matched no Library filter chip.",72,active,,,,,,,,,
