software_name,category_id,category_name,infrastructure_layer,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date,migration_phases,learning_modules,vendor_id,trusted_source_id,evidence_flags,proof_url,proof_publication_date,proof_relevant_info,validation_result,correction_notes
PyJWT,CSC-015,API Security and JWT Libraries,Libraries,No,"Not stated. The document describes a standard JWT implementation using classical algorithms but contains no mention of Post-Quantum Cryptography, PQC algorithms, or migration plans.",Open Source,MIT,2.12.1,2026-03-13,No,High,Python 3.8+,All industries,https://pyjwt.readthedocs.io/,https://github.com/jpadilla/pyjwt,Python JWT library. No PQC. Awaiting IETF JOSE PQC specification and Python cryptography library support.,Open Source Community,Verified,2026-03-31,"migrate,launch",api-security-jwt;crypto-dev-apis;dev-quantum-impact;iam-pqc,VND-000,microsoft,doc-extraction,https://github.com/jpadilla/pyjwt,2025,PyJWT: Python JWT library. Supports RSA/ECDSA/EdDSA. No PQC algorithm support.,VALIDATED_NO_PQC,No PQC algorithm support. Traditional JWT signing only.
Libreswan,CSC-010,VPN and IPsec Software,Network,No,"The document does not mention Post-Quantum Cryptography (PQC), quantum-resistant algorithms, or any plans for PQC migration. It only references standard X.509 Digital Certificates and NSS for key storage.",Open Source,GPLv2,5.3,2025,No (FIPS mode via NSS/OpenSSL),High,Linux RHEL Fedora OpenWRT,Enterprise Government Education,https://libreswan.org/wiki/Postquantum_Preshared_Keys,https://github.com/libreswan/libreswan,Default IPsec stack for Red Hat Enterprise Linux and Fedora. Supports IKEv1/IKEv2 with experimental PQC via liboqs hybrid mode. Widely deployed in enterprise Linux and network gateway environments.,Community/Commercial,Verified,2026-03-31,test,network-security-pqc;vpn-ssh-pqc,VND-205,ietf,ppk-only-no-mlkem,https://github.com/libreswan/libreswan/wiki/Completed-Projects:-Postquantum-Preshared-Keys,2025,Has Post-Quantum Preshared Keys (RFC 8784) but NOT ML-KEM key exchange. PPK only.,VALIDATED_NO_PQC,Confirmed No PQC with digital proof.
SoftHSM2,CSC-002,Hardware Security Module (HSM) Software,Hardware,No,"The document does not mention any Post-Quantum Cryptography (PQC) algorithms, support, or migration plans. It only lists classical algorithms such as ECC, GOST, and EDDSA.",Open Source,BSD-2-Clause,2.6.1,2025,No (software-only),Medium,Linux macOS Windows,All industries,https://github.com/softhsm/SoftHSMv2,https://github.com/opendnssec/SoftHSMv2,Open-source software PKCS#11 HSM for testing and development. Supports PQC via liboqs-provider. Enables PKCS#11 workflow testing without physical HSM hardware.,Open Source,Verified,2026-03-31,"prepare,test",hsm-pqc,VND-208,oqs-project,pre-standard-date,https://github.com/opendnssec/SoftHSMv2,2025,SoftHSM2: software HSM for PKCS#11. No PQC algorithm support in current releases.,VALIDATED_NO_PQC,No PQC algorithm support found.
hash-sigs,CSC-016,Post-Quantum Cryptography Libraries,Libraries,Yes (LMS and HSS schemes),"Reference C implementation of LMS and HSS stateful hash-based signatures per RFC 8554, by David McGrew (Cisco) — co-author of RFC 8554. Supports all NIST SP 800-208 parameter sets. Full key generation, signing, and verification. Used as integration basis by multiple downstream projects including wolfSSL.",Public Domain,Public Domain,Current,2024,No,High,Cross-platform (C),Firmware; Critical Infrastructure; Code Signing,https://github.com/cisco/hash-sigs,https://github.com/cisco/hash-sigs,The canonical LMS/HSS reference implementation from Cisco. Directly cited by NIST SP 800-208 and IETF RFC 8554. Essential starting point for organizations implementing stateful hash-based signatures for firmware or code signing.,Open Source,Verified,2026-03-18,launch,dev-quantum-impact;network-security-pqc;research-quantum-impact;secure-boot-pqc;stateful-signatures,VND-000,cisco-systems,doc-extraction,https://github.com/cisco/hash-sigs,2020,Full LMS and HSS Hash Based Signature implementation by Cisco. NIST standardized 2020.,VALIDATED,PQC support validated with digital proof.
xmss-reference,CSC-016,Post-Quantum Cryptography Libraries,Libraries,Yes (XMSS: eXtended Merkle Signature Scheme),"Official C reference implementation of XMSS and XMSS^MT per RFC 8391, maintained by the original XMSS authors. Covers all RFC 8391 parameter sets with SHA-2 and SHAKE hash functions. Includes key generation, signing, verification, and state persistence. Canonical source used to validate other XMSS implementations.",CC0 / Public Domain,CC0,Current,2024,No,High,Cross-platform (C),Firmware; Critical Infrastructure; Code Signing,https://github.com/XMSS/xmss-reference,https://github.com/XMSS/xmss-reference,The official XMSS and XMSS^MT reference implementation from the RFC 8391 authors. Covers all NIST SP 800-208 XMSS parameter sets. Essential reference for validating XMSS support or building compliant implementations.,Open Source,Verified,2026-03-18,launch,dev-quantum-impact;network-security-pqc;research-quantum-impact;secure-boot-pqc;stateful-signatures,VND-000,oqs-project,doc-extraction,https://tools.ietf.org/html/rfc8391,2018-08,XMSS hash-based signature system per RFC 8391. NIST standardized 2020.,VALIDATED,PQC support validated with digital proof.
EUDI Reference Wallet,CSC-051,Digital Identity & Verifiable Credentials,SecSoftware,No,"Not stated in the provided text. No mention of Post-Quantum Cryptography algorithms, migration plans, or research status.",Open Source,Apache-2.0,Current,2024,No,Critical,Android iOS,Government; Identity; EU Member States,https://github.com/eu-digital-identity-wallet,https://github.com/eu-digital-identity-wallet/eudi-app-android-wallet-ui,European Commission reference EUDI Wallet for Android and iOS. OpenID4VCI/VP protocol support for eIDAS 2.0 credential lifecycle. Reference implementation for all national EUDI Wallet deployments.,Open Source Foundation,Verified,2026-03-31,"test,migrate",digital-id,VND-220,ec,web-verified,https://github.com/eu-digital-identity-wallet,2025,EU Digital Identity Wallet reference implementation. PQC requirements under discussion for eIDAS 2.0.,VALIDATED_NO_PQC,No PQC yet. PQC requirements being discussed for future eIDAS 2.0 updates.
Sphereon SSI SDK,CSC-051,Digital Identity & Verifiable Credentials,SecSoftware,No,"The document does not mention Post-Quantum Cryptography (PQC) algorithms or migration plans. It explicitly states support for ""BBS+, RSA key support"" in a separate crypto extensions project, but no PQC primitives are listed.",Open Source,Apache-2.0,Current,2024,No,High,Node.js TypeScript JavaScript React Native,Government; Identity; Technology; Finance,https://sphereon.com/,https://github.com/Sphereon-Opensource/SSI-SDK,Open-source TypeScript SSI SDK for EUDI Wallet-compliant credential issuance and presentation. OpenID4VCI/VP with SD-JWT VC and mDL. Used in EU POTENTIAL Large-Scale Pilot.,Open Source Foundation,Verified,2026-03-31,"test,migrate",digital-id,VND-216,microsoft,doc-extraction,https://sphereon.com/,2025,Sphereon: SSI/verifiable credentials SDK. No PQC-specific features announced.,VALIDATED_NO_PQC,No PQC-specific features found.
Hyperledger Aries (ACA-Py),CSC-051,Digital Identity & Verifiable Credentials,SecSoftware,No,"Not stated in the provided text. No mention of Post-Quantum Cryptography algorithms, implementation status, or migration plans.",Open Source,Apache-2.0,1.x,2025,No,High,Python Docker Linux Kubernetes,Government; Identity; Finance; Healthcare,https://www.hyperledger.org/projects/aries,https://github.com/hyperledger/aries-cloudagent-python,Leading open-source SSI agent framework (Hyperledger/Linux Foundation). OpenID4VCI/VP and AnonCreds support. Active EUDI Wallet protocol development. NOTE: Hyperledger Aries archived as of April 2025; maintainers moved to OpenWallet Foundation. Deployed in government identity programs.,Open Source Foundation,Verified,2026-03-31,"test,migrate",digital-assets;digital-id;healthcare-pqc,VND-047,microsoft,archived-april-2025; moved-to-openwallet-foundation; web-verified,https://github.com/hyperledger/aries-cloudagent-python,2025,Hyperledger Aries ACA-Py: verifiable credentials agent. No PQC credential support yet.,VALIDATED_NO_PQC,No PQC credential support found.
CREDEBL,CSC-051,Digital Identity & Verifiable Credentials,SecSoftware,No,"Not stated in the provided text. No mention of Post-Quantum Cryptography algorithms, implementation status, or migration plans.",Open Source,Apache-2.0,Current,2024,No,Medium,Docker Kubernetes Node.js Linux,Government; Identity; Enterprise; Healthcare,https://www.credebl.id/,https://github.com/credebl,Enterprise open-source verifiable credential platform. W3C VCs AnonCreds and OpenID4VCI issuance via REST API. Multi-tenant. Government-focused digital identity deployments.,Open Source Foundation,Verified,2026-03-31,"test,migrate",crypto-dev-apis;digital-id;healthcare-pqc,VND-219,microsoft,web-verified,https://github.com/credebl,2025,CREDEBL: decentralized identity platform. No PQC-specific features announced.,VALIDATED_NO_PQC,No PQC-specific features found.
Paradym (Animo Solutions),CSC-051,Digital Identity & Verifiable Credentials,SecSoftware,No,"The document does not mention Post-Quantum Cryptography (PQC), quantum-resistant algorithms, or any migration plans related to PQC. It focuses on ISO 18013-5/7 mDOC, OpenID4VC, and DIDComm protocols without specifying underlying cryptographic primitives beyond general references to ""cryptographic operations.""",Open Source/Commercial,Apache-2.0/Commercial,Current,2024,No,High,iOS Android Node.js TypeScript,Government; Identity; Finance; Healthcare,https://paradym.id/,https://github.com/animo,EUDI-certified wallet SDK by Animo Solutions. OpenID4VCI/VP SD-JWT VC and mDL support. Used in NOBID and EWC EU Large-Scale Pilots.,Trusted Vendor,Verified,2026-03-31,"test,migrate",digital-id;healthcare-pqc,VND-214,microsoft,doc-extraction,https://paradym.id/,2025,Paradym: verifiable credentials platform. No PQC-specific features announced.,VALIDATED_NO_PQC,No PQC-specific features found.
Azure Dedicated HSM (Marvell LiquidSecurity),CSC-046,Cloud Hardware Security Module (HSM),Hardware,"Yes (ACVP: ML-DSA, ML-KEM)","Azure Dedicated HSM uses Marvell LiquidSecurity HSM hardware (FIPS 140-2 Level 3 validated). Microsoft has announced PQC algorithm support as part of its quantum readiness initiative targeting 2026. Supports PKCS#11, JCA/JCE, and CNG/KSP interfaces. Dedicated single-tenant hardware for highest compliance requirements.",Commercial,Commercial (Microsoft Azure),,,Yes (FIPS 140-2 Level 3) (classical algorithms only; PQC not in FIPS scope),Critical,Microsoft Azure,Finance Government Healthcare Defense,https://azure.microsoft.com/en-us/products/azure-dedicated-hsm,,Azure single-tenant HSM service using Marvell LiquidSecurity hardware. FIPS 140-2 L3. PQC support on Microsoft quantum readiness roadmap.,Trusted Vendor,Partially Verified,2026-03-30,"assess,plan",aerospace-pqc;healthcare-pqc;hsm-pqc;migration-program,VND-026,microsoft,fips-classical-only,https://www.marvell.com/products/security-solutions/liquidsecurity2.html,2022-09,Marvell LiquidSecurity 2 field-updatable for PQC. FIPS 140-3 L3 certified.,VALIDATED,"FIPS validation covers classical algorithms only, not PQC | PQC support validated (field-updatable for PQC algorithms)."
IBM Cloud HSM (Utimaco),CSC-046,Cloud Hardware Security Module (HSM),Hardware,"Yes (ACVP: LMS, ML-DSA, ML-KEM)",IBM Cloud HSM uses Utimaco SecurityServer hardware backend. FIPS 140-2 Level 3 validated. IBM Quantum Safe roadmap includes HSM firmware updates for ML-KEM and ML-DSA support aligned with NIST standards. Part of IBM Quantum Safe portfolio.,Commercial,Commercial (IBM),,,Yes (FIPS 140-2 Level 3),High,IBM Cloud,Finance Government Healthcare,https://cloud.ibm.com/catalog/infrastructure/hardware-security-module,,IBM Cloud managed HSM backed by Utimaco SecurityServer. FIPS 140-2 L3. PQC roadmap aligned with IBM Quantum Safe initiative.,Trusted Vendor,Needs Verification,2026-03-04,"assess,plan",healthcare-pqc;hsm-pqc;migration-program,VND-042,q360-alliance,doc-extraction,https://utimaco.com/news/press-releases/utimaco-launches-quantum-protect-solution-and-free-pqc-simulator,2025-04,"Quantum Protect: LMS, ML-DSA, ML-KEM, XMSS.",VALIDATED,PQC support validated with digital proof.
Infineon OPTIGA TPM SLB 9672,CSC-034,Hardware Security and Semiconductors,Hardware,No,"The provided text contains no information regarding Post-Quantum Cryptography (PQC) algorithms, implementation status, or migration plans.",Commercial,Commercial (Infineon),SLB 9672,,No,High,x86 ARM Embedded,Enterprise Government IoT Automotive,https://www.infineon.com/cms/en/product/security-smart-card-solutions/optiga-embedded-security-solutions/optiga-tpm/,,Enterprise TPM 2.0 chip from Infineon. CC EAL4+. Deployed in millions of laptops and servers. PQC migration requires next-generation hardware.,Trusted Vendor,Verified,2026-03-31,assess,automotive-pqc;hsm-pqc;migration-program;secure-boot-pqc,VND-021,ietf,doc-extraction,https://www.infineon.com/cms/en/about-infineon/press/market-news/2022/INFCSS202202-051.php,2022-02,Worlds first TPM with PQC-protected firmware using XMSS signatures since 2022.,CORRECTED,INCORRECT: Catalog says No but Infineon OPTIGA TPM has XMSS PQC firmware since 2022.
Intel Platform Trust Technology (PTT),CSC-034,Hardware Security and Semiconductors,Hardware,"Yes (ACVP: ML-DSA, ML-KEM)","Intel PTT is a firmware-based TPM 2.0 implementation built into Intel Core and Xeon processors. It uses the CPU security enclave rather than a discrete chip. Current TPM 2.0 operations are classical (RSA, ECC). PQC support would require firmware/microcode update from Intel. No public PQC roadmap as of Q1 2026.",Proprietary,Proprietary (Intel),,,No,High,Intel x86,Enterprise Government,https://www.intel.com/content/www/us/en/support/articles/000007452/technologies.html,,Firmware TPM 2.0 integrated into Intel processors. Replaces discrete TPM chip. PQC requires firmware update; no public roadmap published.,Trusted Vendor,Needs Verification,2026-03-04,assess,confidential-computing;migration-program;secure-boot-pqc,VND-022,cmvp,doc-extraction,https://www.intel.com/content/www/us/en/developer/articles/technical/post-quantum-cryptography.html,2025,PTT is TPM 2.0 firmware. TCG specs allow future PQC but Intel PTT does not yet implement PQC algorithms.,NEEDS_REVIEW,WARNING: PTT is TPM 2.0. No direct PQC algorithm implementation confirmed.
Yubico YubiHSM 2,CSC-002,Hardware Security Module (HSM) Software,Hardware,No,"The document does not mention Post-Quantum Cryptography (PQC) algorithms, support, or migration plans. It lists classical algorithms only: RSA, ECC, ECDSA (ed25519), SHA-2, and AES.",Commercial,Commercial (Yubico),2.5,,Yes (FIPS 140-2 Level 3),Medium,Linux Windows macOS,Finance Enterprise Government,https://www.yubico.com/product/yubihsm-2/,https://github.com/Yubico/yubihsm-shell,Compact USB HSM for server-side cryptographic operations. FIPS 140-2 L3. No PQC support — replacement required for quantum-safe migration.,Trusted Vendor,Verified,2026-03-31,assess,hsm-pqc;migration-program,VND-044,cmvp,doc-extraction,https://www.yubico.com/products/yubihsm-2/,2025,YubiHSM 2: hardware security module. No PQC algorithm support in current firmware.,VALIDATED_NO_PQC,No PQC algorithm support in current YubiHSM 2 firmware.
Google OpenTitan,CSC-034,Hardware Security and Semiconductors,Hardware,"Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)",OpenTitan is now shipping in production Chromebooks (announced March 2026) with SLH-DSA secure boot — the first commercially available open-source root-of-trust with PQC secure boot. Second generation will add ML-DSA and ML-KEM. Open-source silicon root-of-trust project led by lowRISC and Google.,Open Source,Apache 2.0,,,No,High,Custom Silicon Embedded,Cloud Infrastructure Defense Government,https://opentitan.org,https://github.com/lowRISC/opentitan,Open-source silicon root-of-trust. Auditable hardware replacing proprietary secure enclaves. ML-DSA planned for firmware signing.,Open Source Foundation,Verified,2026-03-30,"assess,plan",aerospace-pqc;confidential-computing;hsm-pqc;secure-boot-pqc,VND-018,cmvp,doc-extraction,https://opensource.googleblog.com/2026/03/opentitan-shipping-in-production.html,2026-03,OpenTitan first commercial open source RoT with PQC secure boot using SLH-DSA.,VALIDATED,PQC support validated with digital proof.
TianoCore EDK2 (UEFI Firmware),CSC-026,Secure Boot and Firmware Security,Hardware,No,"The document does not mention Post-Quantum Cryptography (PQC) algorithms, migration plans, or research. It lists classical crypto libraries (OpenSSL, MbedTLS) but provides no details on PQC implementation status.",Open Source,BSD-2-Clause-Patent,,,No,Critical,x86 x86-64 ARM,Enterprise Government Defense Cloud,https://www.tianocore.org,https://github.com/tianocore/edk2,Reference UEFI firmware implementation. Basis for Secure Boot on virtually all x86 platforms. PQC migration requires ML-DSA support for firmware signing.,Open Source Foundation,Verified,2026-03-31,"assess,plan",aerospace-pqc;code-signing;migration-program;secure-boot-pqc,VND-207,microsoft,doc-extraction,https://github.com/tianocore/edk2,2025,EDK2 UEFI firmware. PQC secure boot support being developed but not yet in stable releases.,VALIDATED_NO_PQC,PQC secure boot under development. Not in stable releases yet.
ARM TrustZone,CSC-034,Hardware Security and Semiconductors,Hardware,No,"The document does not mention Post-Quantum Cryptography (PQC), specific PQC algorithms, or any migration plans for quantum-resistant cryptography. It only mentions general ""cryptography"" as a use case.",Proprietary,ARM Architecture License,,,No,Medium,ARM Cortex-A ARM Cortex-M,Mobile IoT Embedded Automotive,https://www.arm.com/technologies/trustzone-for-cortex-a,,"ARM hardware isolation architecture for Trusted Execution Environments. PQC support depends on TEE software (OP-TEE, proprietary). Platform upgrade required.",Trusted Vendor,Verified,2026-03-31,assess,automotive-pqc;confidential-computing;iot-ot-pqc,VND-149,ietf,doc-extraction,https://www.arm.com/technologies/trustzone-for-cortex-m,2025,"ARM TrustZone: hardware security isolation. TEE technology, not PQC implementation.",VALIDATED_NO_PQC,"TrustZone is hardware isolation TEE, not PQC algorithm implementation."
Microchip ATECC608B,CSC-054,Smart Cards & Secure Elements,Hardware,No,"The document does not mention Post-Quantum Cryptography, PQC algorithms, or migration plans. It references standard crypto implementations (SHA1, SHA2) and ECC support via device families but no specific PQC primitives.",Commercial,Commercial (Microchip),ATECC608B,,No,High,Embedded IoT,IoT Manufacturing Automotive,https://www.microchip.com/en-us/product/atecc608b,https://github.com/MicrochipTech/cryptoauthlib,ECC-only crypto co-processor for IoT device authentication. No PQC — hardware replacement required. Hundreds of millions deployed globally.,Trusted Vendor,Verified,2026-03-31,assess,automotive-pqc;iot-ot-pqc,VND-151,microsoft,doc-extraction,https://www.microchip.com/en-us/product/atecc608b,2025,ATECC608B: secure element for IoT. ECC-only. No PQC algorithm support.,VALIDATED_NO_PQC,ECC-only secure element. No PQC algorithm support.
Qualcomm Snapdragon Trusted Execution Environment,CSC-034,Hardware Security and Semiconductors,Hardware,Unknown,,Proprietary,Proprietary (Qualcomm),,,No,High,Android Mobile,Mobile Government Defense Enterprise,https://www.qualcomm.com/products/mobile/snapdragon/smartphones/snapdragon-8-series-mobile-platforms,,Qualcomm Secure Processing Unit in Snapdragon SoCs. Handles mobile device key storage and crypto. PQC planned under CNSA 2.0 alignment.,Trusted Vendor,Needs Verification,2026-03-04,assess,aerospace-pqc;confidential-computing,VND-150,ietf,needs-extraction,https://www.privacyguides.org/news/2026/03/26/android-17-is-getting-a-post-quantum-cryptography-upgrade/,2026-03-26,"Android 17 adding PQC for remote attestation and KeyMint certificate chains. No explicit Qualcomm Snapdragon TEE PQC commitment found. Platform-level work, not TEE-specific.",NOT_VALIDATED,No Qualcomm TEE-specific PQC implementation found. Android platform PQC work exists but not at TEE level.
Linux LUKS / dm-crypt,CSC-006,Disk and File Encryption Software,OS,No,"Not stated in the provided text. The document contains no mention of Post-Quantum Cryptography algorithms, migration plans, or research status.",Open Source,GPL-2.0,2.8.4,2026-01,No (relies on kernel crypto API),Critical,Linux,Enterprise Government Finance Healthcare Cloud,https://gitlab.com/cryptsetup/cryptsetup,https://gitlab.com/cryptsetup/cryptsetup,Standard Linux disk encryption using dm-crypt kernel module. AES-256-XTS bulk is quantum-safe; passphrase/key-slot wrapping needs PQC extension.,Open Source,Verified,2026-03-31,"assess,plan",data-asset-sensitivity;healthcare-pqc;kms-pqc,VND-198,pki-consortium,doc-extraction,https://gitlab.com/cryptsetup/cryptsetup,2025,LUKS/dm-crypt: disk encryption using AES-XTS. Symmetric crypto is quantum-adequate. No PQC key exchange.,VALIDATED_NO_PQC,AES-XTS symmetric encryption is quantum-adequate. No PQC key exchange needed for disk encryption.
Wind River VxWorks,CSC-056,Real-Time Operating Systems,OS,No,"Not stated. The document mentions ""mitigation processes to counter cybersecurity threats"" and ""security vulnerability monitoring,"" but does not explicitly mention Post-Quantum Cryptography (PQC), specific PQC algorithms, or PQC migration plans.",Commercial,Commercial (Wind River),24.09,2024-09,Yes (FIPS 140-3 via Wind River Crypto) (classical algorithms only; PQC not in FIPS scope),Critical,x86 ARM PowerPC MIPS,Aerospace Defense Industrial Automotive Medical,https://www.windriver.com/products/vxworks,,"Industry-leading RTOS for safety-critical systems. Used in aerospace, defense, and industrial control. PQC support planned via Wind River Studio for CNSA 2.0 compliance.",Trusted Vendor,Verified,2026-03-31,"assess,plan",aerospace-pqc;automotive-pqc;healthcare-pqc;iot-ot-pqc,VND-043,cmvp,fips-classical-only,https://www.windriver.com/products/vxworks,2025,VxWorks RTOS. No PQC algorithm support announced in current releases.,VALIDATED_NO_PQC,No PQC algorithm support found.
FreeRTOS,CSC-056,Real-Time Operating Systems,OS,No,"The document does not mention Post-Quantum Cryptography (PQC) algorithms, support, or migration plans. It references MbedTLS v3.5.1 and WolfSSL v5.6.4 but does not specify PQC capabilities within these versions.",Open Source,MIT,11.2.0,2024-09,No,High,ARM Cortex-M RISC-V AVR,IoT Industrial Automotive Consumer,https://www.freertos.org,https://github.com/FreeRTOS/FreeRTOS,Widely used open-source RTOS for microcontrollers. No PQC support — constrained memory profiles make ML-KEM/ML-DSA integration a significant challenge.,Open Source Community,Verified,2026-03-31,assess,automotive-pqc;iot-ot-pqc,VND-001,microsoft,doc-extraction,https://freertos.org/,2025,FreeRTOS: embedded RTOS. No native PQC support. Could use external PQC libraries.,VALIDATED_NO_PQC,No native PQC support in FreeRTOS.
Alpine Linux,CSC-031,Operating Systems,OS,Yes (with details),Alpine Linux uses musl libc and is the default base image for millions of Docker containers. Alpine 3.20+ ships OpenSSL 3.3.x enabling ML-KEM via the liboqs-provider package. Alpine's minimal footprint (5MB base image) makes PQC library deployment size a consideration. Used in 5B+ Docker Hub image pulls. Container workloads using Alpine-based images can inherit PQC via OpenSSL provider.,Open Source,MIT / Various,3.22,2024-11,No,High,x86-64 ARM64 s390x,Cloud DevOps Container,https://www.alpinelinux.org,https://gitlab.alpinelinux.org/alpine/aports,Minimal Linux for containers. Default base for billions of Docker images. PQC support via OpenSSL 3.x + liboqs-provider package in Alpine 3.20+.,Open Source Community,Verified,2026-03-30,"assess,plan",crypto-dev-apis;os-pqc;tls-basics;vpn-ssh-pqc,VND-209,oqs-project,doc-extraction,https://blog.nginx.org/blog/pqc-nginx,2025,"Alpine 3.22 with OpenSSL 3.5: ML-KEM, ML-DSA, SLH-DSA.",VALIDATED,PQC support validated with digital proof.
FreeBSD,CSC-031,Operating Systems,OS,Yes (with details),"Not stated in the document. The text mentions a ""crypto"" directory and ""secure"" directory for cryptographic libraries but does not specify Post-Quantum Cryptography algorithms or implementation status.",Open Source,BSD-2-Clause,14.4,2024-12,No,Medium,x86-64 ARM64 RISC-V,Networking Cloud Embedded,https://www.freebsd.org,https://github.com/freebsd/freebsd-src,Production UNIX OS powering Netflix CDN and networking appliances. PQC available via liboqs ports on top of OpenSSL 3.x in FreeBSD 14+.,Open Source Foundation,Verified,2026-03-31,"assess,plan",crypto-dev-apis;energy-utilities-pqc;os-pqc;tls-basics;vpn-ssh-pqc;web-gateway-pqc,VND-201,microsoft,web-verified,https://computingforgeeks.com/freebsd-15-new-features/,2025-12,"FreeBSD 15.0 with OpenSSL 3.5, OpenSSH 10. mlkem768x25519-sha256 default.",VALIDATED,PQC support validated with digital proof.
openSUSE Leap,CSC-031,Operating Systems,OS,No,"Not stated in the provided text. The document describes general Linux distribution tools and repositories but contains no information regarding Post-Quantum Cryptography algorithms, implementation status, or migration plans.",Open Source,GPL-2.0 / Various,15.6,2024-06,No,Medium,x86-64 ARM64,Enterprise Government Cloud,https://www.opensuse.org,https://github.com/openSUSE,Community Linux distribution and SLES upstream. OpenSSL 3.x base enables PQC via provider mechanism. SUSE quantum-safe initiative drives roadmap.,Open Source Community,Verified,2026-03-31,assess,crypto-dev-apis;migration-program;os-pqc;tls-basics;vpn-ssh-pqc,VND-227,microsoft,doc-extraction,https://www.opensuse.org/,2025,openSUSE ships OpenSSL 3.x. Leap 16 expected with OpenSSL 3.5+ enabling PQC by default.,CORRECTED,CORRECTION: openSUSE with OpenSSL 3.5+ will have PQC. Current Leap 15.x has limited PQC.
Rocky Linux,CSC-031,Operating Systems,OS,No,Not stated in the provided text.,Open Source,Various (RHEL-compatible),9.7,2025-12,No,High,x86-64 ARM64,Enterprise Government Finance,https://rockylinux.org,https://github.com/rocky-linux,RHEL-compatible enterprise Linux. OpenSSL 3.x + crypto-policies for system-wide PQC configuration. Mirrors Red Hat quantum-safe timeline.,Open Source Community,Verified,2026-03-31,"assess,plan",crypto-dev-apis;os-pqc;tls-basics;vpn-ssh-pqc,VND-210,microsoft,doc-extraction,https://rockylinux.org/,2025,Rocky Linux 10 (RHEL 10 rebuild) will include OpenSSL 3.5 with full PQC support.,CORRECTED,CORRECTION: Rocky Linux 10 inherits RHEL 10 PQC support via OpenSSL 3.5.
CentOS Stream,CSC-031,Operating Systems,OS,No,Not stated in the provided text.,Open Source,GPL-2.0 / Various,Stream 10,2024-12,No,Medium,x86-64 ARM64,Enterprise Development,https://centos.org/centos-stream/,https://gitlab.com/redhat/centos-stream,RHEL upstream. PQC features preview in CentOS Stream before RHEL GA. OpenSSL 3.x + crypto-policies base for system-wide quantum-safe configuration.,Open Source Community,Verified,2026-03-31,assess,crypto-dev-apis;os-pqc;tls-basics;vpn-ssh-pqc,VND-032,oqs-project,doc-extraction,https://www.centos.org/centos-stream/,2025,CentOS Stream 10 upstream of RHEL 10. Includes OpenSSL 3.5 with PQC support.,CORRECTED,CORRECTION: CentOS Stream 10 has PQC via OpenSSL 3.5 (upstream RHEL 10).
ChromeOS,CSC-031,Operating Systems,OS,"Yes (ACVP: ML-DSA, ML-KEM, SLH-DSA)","ChromeOS (160M+ devices) inherits ML-KEM-768 hybrid TLS 1.3 key exchange from the Chrome browser (enabled by default since v124, 2024). Google's Verified Boot uses SHA-256/RSA for firmware signing — a migration target for ML-DSA. ChromeOS Flex extends PQC TLS to enterprise repurposed hardware. System-level PQC beyond TLS depends on BoringSSL integration.",Open Source/Commercial,BSD / Proprietary (Google),132,2025-02,No,High,x86-64 ARM,Education Enterprise Consumer Government,https://blog.chromium.org/2024/05/advancing-our-amazing-bet-on-asymmetric.html,https://chromium.googlesource.com/chromiumos,Google OS on 160M+ Chromebooks. ML-KEM hybrid TLS active via Chrome since v124. Secure boot signing migration to ML-DSA is a future roadmap item.,Trusted Vendor,Partially Verified,2026-03-04,"assess,plan",migration-program;os-pqc;secure-boot-pqc;tls-basics,VND-018,google,no-cert-backing,https://thehackernews.com/2024/09/google-chrome-switches-to-ml-kem-for.html,2024-09,Chrome 131+ and ChromeOS support ML-KEM for hybrid post-quantum cryptography.,VALIDATED,PQC support validated with digital proof.
NixOS,CSC-031,Operating Systems,OS,No,Not stated in the document.,Open Source,MIT,24.11,2024-11,No,Low,x86-64 ARM64,Development Research Cloud,https://nixos.org,https://github.com/NixOS/nixpkgs,Declarative reproducible Linux. liboqs + oqs-provider in nixpkgs enables ML-KEM/ML-DSA. Reproducible builds aid PQC migration audit trail.,Open Source Community,Verified,2026-03-31,assess,crypto-dev-apis;migration-program;os-pqc;tls-basics;vpn-ssh-pqc,VND-211,microsoft,doc-extraction,https://nixos.org/,2025,"NixOS: declarative Linux. Ships latest OpenSSL. When using OpenSSL 3.5+, PQC is available.",CORRECTED,CORRECTION: NixOS with OpenSSL 3.5+ has PQC support available.
