id,category,type,difficulty,quiz_mode,question,option_a,option_b,option_c,option_d,correct_answer,explanation,learn_more_path,personas,industries
mig-009,migration-program,multiple-choice,advanced,full,What is the biggest risk to PQC migration program timelines?,Insufficient documentation,Vendor dependency — waiting for third-party software and hardware to support PQC,Too many project meetings,Excessive testing,b,"Vendor dependency is the most common schedule risk: organizations cannot migrate systems until their vendors provide PQC-compatible updates. This is especially impactful for COTS (commercial off-the-shelf) products, HSMs, and cloud services. Early vendor engagement and contractual requirements are critical mitigations.",/learn/migration-program,executive|architect|ops,
mig-010,migration-program,multiple-choice,intermediate,both,What communication approach works best for different stakeholder groups in PQC migration?,The same technical briefing for all audiences,"Tailored messages: business impact for executives, technical details for engineers, timeline impacts for partners",Only communicate when milestones are completed,Communicate exclusively through email,b,"Effective stakeholder communication requires tailored messaging: executives need business risk and financial framing, technical teams need architecture and implementation details, and partners need timeline and interoperability information. One-size-fits-all communication fails to engage any audience effectively.",/learn/migration-program,executive|ops,
vend-001,vendor-risk,multiple-choice,beginner,both,What is a vendor PQC readiness scorecard?,A quantum computing benchmark test for vendor hardware,A structured assessment of a vendor's preparedness for PQC transition,A vendor's financial credit rating,A scorecard for quantum algorithm performance,b,"A vendor PQC readiness scorecard evaluates key dimensions: PQC algorithm support, FIPS validation status, published roadmap, crypto agility, SBOM/CBOM delivery, and hybrid mode support. It provides a standardized way to compare vendors and identify risk.",/learn/vendor-risk,executive|architect,
vend-002,vendor-risk,multiple-choice,intermediate,both,What does CBOM stand for and why is it important for PQC vendor assessment?,Certified Business Operations Manual — tracks vendor certifications,Cryptographic Bill of Materials — inventories all cryptographic components in a product,Corporate Budget Operations Model — tracks vendor spending,Compliance Board Oversight Matrix — documents governance roles,b,"A Cryptographic Bill of Materials (CBOM) lists all cryptographic algorithms, libraries, and protocols used in a product. It is essential for PQC assessment because it reveals which vendor components use quantum-vulnerable algorithms and need migration.",/learn/vendor-risk,executive|architect|developer,
vend-003,vendor-risk,true-false,beginner,both,"True or False: If a vendor has FIPS 140-3 validation for their current products, they automatically support PQC algorithms.",True,False,,,false,"False. FIPS 140-3 validation certifies that a cryptographic module meets security requirements for its current algorithms. It does not guarantee PQC support. Vendors must separately implement, test, and obtain validation for PQC algorithms like ML-KEM and ML-DSA.",/learn/vendor-risk,executive|architect,
vend-004,vendor-risk,multi-select,intermediate,both,Which contract clauses should be included in vendor agreements regarding PQC? (Select all that apply),PQC migration timeline commitments,CBOM delivery requirements,Exclusive use of vendor's quantum computers,Crypto change notification obligations,a|b|d,"Key PQC contract clauses include: migration timeline commitments (when PQC support will be available), CBOM delivery (for visibility into cryptographic components), and crypto change notifications (advance notice of algorithm changes). Quantum computer use is irrelevant to PQC.",/learn/vendor-risk,executive,Finance & Banking|Government & Defense|Healthcare|Technology|Energy & Utilities
vend-005,vendor-risk,multiple-choice,intermediate,both,What is the primary supply chain risk in the PQC transition?,Vendors raising prices for PQC products,Critical infrastructure depending on vendors who lack PQC migration plans,Too many vendors offering PQC solutions,Open-source libraries being too secure,b,"The primary supply chain risk is dependency on vendors without PQC roadmaps — if critical infrastructure relies on products that won't support PQC in time, the organization cannot complete its migration regardless of internal readiness.",/learn/vendor-risk,executive|architect,
vend-006,vendor-risk,multiple-choice,advanced,full,How should a vendor's FIPS validation status be categorized for PQC risk assessment?,Two tiers: Validated or Not Validated (binary pass/fail),"Three tiers: Validated (CMVP), Partial (FIPS-mode/FedRAMP/WebTrust), No validation","Four tiers: FIPS 140-3 Validated, FIPS 140-3 Submitted, FIPS 140-2 Legacy, FIPS Mode/Self-Claim",FIPS validation is irrelevant to PQC vendor risk,c,"The vendor risk module distinguishes four tiers: FIPS 140-3 Validated = CMVP-certified (highest assurance); FIPS 140-3 Submitted = in CMVP testing queue (commitment demonstrated but not yet certified); FIPS 140-2 Validated = legacy validation (NIST stopped accepting new 140-2 submissions September 2021, migration to 140-3 required); FIPS Mode/Self-Claim = vendor asserts FIPS-compatible operation with no CMVP certificate (lowest assurance). Each tier carries different procurement risk implications.",/learn/vendor-risk,executive|architect,Government & Defense|Finance & Banking
vend-007,vendor-risk,multiple-choice,intermediate,both,What is crypto agility in the context of vendor assessment?,How fast a vendor's encryption runs,A vendor's ability to swap cryptographic algorithms in their products without major rework,The agility of the vendor's sales team,How quickly a vendor responds to support tickets,b,Crypto agility in vendor products means the ability to update or replace cryptographic algorithms through configuration or minor updates rather than major product overhauls. Vendors with high crypto agility can adopt PQC algorithms faster with less disruption.,/learn/vendor-risk,executive|architect,
vend-008,vendor-risk,true-false,intermediate,both,"True or False: Organizations should assess their entire vendor ecosystem for PQC readiness, not just security product vendors.",True,False,,,true,"True. Cryptography is embedded throughout the technology stack — databases, messaging systems, cloud services, IoT devices, and more. Any vendor product that uses public-key cryptography for encryption, authentication, or integrity needs PQC assessment.",/learn/vendor-risk,executive|architect,
vend-009,vendor-risk,multiple-choice,advanced,full,What should an organization do if a critical vendor has no published PQC roadmap?,Immediately terminate the vendor relationship,Ignore the risk since the vendor will eventually update,"Engage the vendor formally, set contractual requirements, and develop contingency plans",Wait for industry analysts to evaluate the vendor,c,"The best approach combines proactive engagement (request formal PQC roadmap, include requirements in contract renewals), risk mitigation (develop contingency plans, evaluate alternative vendors), and monitoring (track vendor progress). Abrupt termination or passive waiting both create unnecessary risk.",/learn/vendor-risk,executive,
vend-010,vendor-risk,multiple-choice,beginner,both,What is a Software Bill of Materials (SBOM) and why is it relevant to PQC vendor risk?,A vendor's revenue report,An inventory of all software components and dependencies in a product,A benchmark of software performance metrics,A document listing the vendor's employees,b,"An SBOM lists all software components, libraries, and dependencies in a product. For PQC, it helps identify which cryptographic libraries are in use, their algorithm support, and whether they include quantum-vulnerable implementations that need migration.",/learn/vendor-risk,executive|developer,
csig-001,code-signing,multiple-choice,beginner,both,"Which supply chain attack compromised approximately 18,000 organizations by distributing malicious code inside a legitimately signed software update?",Codecov (2021),3CX (2023),SolarWinds (2020),Log4Shell (2021),c,"The SolarWinds attack (2020) injected malicious code into the Orion platform build pipeline. The trojanized update was signed with SolarWinds' legitimate code-signing certificate, allowing it to bypass signature verification and propagate to ~18,000 customer networks before detection.",/learn/code-signing,developer|architect|executive,
csig-002,code-signing,multiple-choice,intermediate,both,What is the primary security advantage of Sigstore keyless signing compared to traditional certificate-based code signing?,Signatures are smaller than classical ECDSA,Ephemeral keys tied to OIDC identity eliminate long-lived private key management,The signing process requires no cryptographic hash,Keyless signing does not use certificates,b,"Sigstore issues short-lived ephemeral keys (~20 minute validity) bound to an OIDC identity. After signing, the private key is destroyed. The certificate and signing event are recorded in the Rekor transparency log. This eliminates the risk of private key theft or misuse that plagues traditional long-lived code signing certificates.",/learn/code-signing,developer|architect,
csig-003,code-signing,true-false,beginner,both,True or False: CNSA 2.0 mandates ML-DSA-65 as the required algorithm for firmware signing in national security systems (NSS).,True,False,,,false,"False. CNSA 2.0 mandates LMS/HSS (RFC 8554, NIST SP 800-208) for firmware and software signing in NSS — not ML-DSA. LMS offers a 56-byte public key and ~0.1 ms verification time, making it ideal for constrained firmware verification. ML-DSA is stateless and acceptable where LMS state management is impractical, but it is not the CNSA 2.0 mandate.",/learn/code-signing,developer|architect,Government & Defense
csig-004,code-signing,multiple-choice,intermediate,both,How does an ML-DSA-65 signature compare in size to an ECDSA P-256 signature?,Roughly the same size (~64 bytes),About 3x larger (~192 bytes),"About 52x larger (~3,309 bytes)",About 2x larger (~128 bytes),c,"ML-DSA-65 (FIPS 204) produces 3,309-byte signatures versus ECDSA P-256's 64 bytes — approximately 52x larger. This has significant implications for certificate chain sizes, CI/CD pipeline bandwidth, and systems that embed signatures in package metadata. PQC signatures are 38-123x larger than classical ECDSA depending on the parameter set.",/learn/code-signing,developer|architect,
csig-005,code-signing,multiple-choice,intermediate,full,Which package manager ecosystem adopted ML-DSA-87 + Ed448 hybrid composite signing as of RHEL 10?,npm (via Sigstore),PyPI (via Sigstore),RPM (Red Hat),Maven Central,c,Red Hat adopted ML-DSA-87+Ed448 hybrid composite signing in RHEL 10's RPM package manager. npm and PyPI integrate PQC via Sigstore keyless signing. Maven Central and APK (Android) have no published PQC roadmap as of 2025.,/learn/code-signing,developer|architect,
csig-006,code-signing,multiple-choice,beginner,both,What role does the Rekor transparency log play in the Sigstore signing ecosystem?,It encrypts the signing private key for storage,It is an immutable append-only log of signing events enabling auditability and retrospective verification,It generates quantum-safe hash functions for artifact digests,It automatically revokes expired code signing certificates,b,"Rekor is an immutable, append-only transparency log that records all Sigstore signing events — including certificates, signer identities, artifact digests, and timestamps. It enables any party to verify that a signature was produced at a specific time by a specific identity, and to detect whether certificates were issued or used after compromise.",/learn/code-signing,developer|architect|executive,
csig-007,code-signing,true-false,intermediate,both,"True or False: LMS/HSS is a stateless signature scheme, meaning private key state does not need to be tracked between signatures.",True,False,,,false,"False. LMS/HSS (NIST SP 800-208, RFC 8554) is stateful — each one-time key in the Merkle tree can only be used once. The signer must maintain a counter tracking which one-time keys have been consumed. If state is lost or the same key is reused, security is catastrophically compromised. State management typically uses an HSM or TPM with a monotonic counter.",/learn/code-signing,developer|architect,
csig-008,code-signing,multi-select,intermediate,both,Which of the following are steps in a Sigstore keyless signing flow? (Select all that apply),OIDC identity verification with an identity provider,Ephemeral ML-DSA key generation (valid ~20 minutes),Rekor transparency log entry recording the signing event,HSM-bound persistent private key storage,a|b|c,"Sigstore keyless signing: (1) OIDC authentication to prove identity, (2) ephemeral key generation (~20 minute validity), (3) Fulcio CA issues a short-lived certificate binding the key to the identity, (4) artifact is signed, (5) signing event is logged to Rekor, (6) private key is destroyed. There is deliberately NO persistent HSM storage — eliminating long-lived key compromise is the core security property.",/learn/code-signing,developer|architect,
csig-009,code-signing,multiple-choice,advanced,full,"In a firmware signing certificate chain (Root CA → Intermediate CA → Code Signing cert), which ML-DSA parameter set should be used for the Root CA?","ML-DSA-44 (NIST Level 2, 2,420 B signature)","ML-DSA-65 (NIST Level 3, 3,309 B signature)","ML-DSA-87 (NIST Level 5, 4,627 B signature)","SLH-DSA-SHA2-128s (7,856 B signature)",c,ML-DSA-87 (NIST Level 5) is used for Root CA certificates because Root CAs have 20-year validity periods requiring maximum security margin. Intermediate CAs use ML-DSA-65 (10-year validity). End-entity code signing certificates use ML-DSA-44 (1-year validity). Security level is matched to validity period: longer-lived certificates face longer exposure windows and need higher security parameters.,/learn/code-signing,architect,Government & Defense
csig-010,code-signing,multiple-choice,beginner,both,What Extended Key Usage (EKU) OID designates a certificate for code signing?,1.3.6.1.5.5.7.3.1 (serverAuth),1.3.6.1.5.5.7.3.2 (clientAuth),1.3.6.1.5.5.7.3.3 (codeSigning),1.3.6.1.5.5.7.3.4 (emailProtection),c,"OID 1.3.6.1.5.5.7.3.3 designates a certificate for code signing. This EKU is required for certificates used to sign software packages, firmware, and executables. The same OID applies whether the certificate uses classical ECDSA or post-quantum ML-DSA — the EKU identifies the certificate's purpose, not the algorithm.",/learn/code-signing,developer|architect,
apij-001,api-security-jwt,multiple-choice,beginner,both,What are the three dot-separated sections of a JWT?,"Certificate, payload, signature","Header, payload, signature","Header, algorithm, payload","Nonce, claims, timestamp",b,"A JWT consists of three base64url-encoded sections: Header (metadata including the algorithm, e.g., {""alg"":""ES256"",""typ"":""JWT""}), Payload (claims: sub, iss, exp, custom claims), and Signature (cryptographic proof). Format: BASE64URL(Header).BASE64URL(Payload).BASE64URL(Signature). The header's alg field must be updated when migrating to ML-DSA.",/learn/api-security-jwt,developer|architect,
apij-002,api-security-jwt,multiple-choice,intermediate,both,A JWT signed with ML-DSA-65 is approximately how much larger than an equivalent ES256 (ECDSA P-256) JWT?,2x larger (~600 bytes),5x larger (~1.5 KB),16x larger (~4.7 KB),The same size (~300 bytes),c,"An ML-DSA-65 JWT is approximately 4.7 KB versus ~300 bytes for ES256 — roughly 16x larger. ML-DSA-65 alone contributes a 1,952-byte public key and a 3,309-byte signature, dwarfing ECDSA P-256's 32-byte key and 64-byte signature. This size increase must be factored into HTTP header budgets, token storage, and API bandwidth planning.",/learn/api-security-jwt,developer|architect,Finance & Banking|Technology
apij-003,api-security-jwt,true-false,beginner,both,True or False: Ed25519 (EdDSA) used in JWTs is quantum-resistant and does not need to be migrated to PQC algorithms.,True,False,,,false,"False. Ed25519 is based on elliptic curve cryptography (Edwards curves) and is vulnerable to Shor's algorithm on a cryptographically-relevant quantum computer. All current JWT signing algorithms — RS256, ES256, and EdDSA — rely on RSA or elliptic curve mathematics and must be migrated to ML-DSA or equivalent post-quantum algorithms.",/learn/api-security-jwt,developer|architect,
apij-004,api-security-jwt,multiple-choice,intermediate,both,Which PQC algorithm replaces ECDH-ES for key agreement in PQC-enhanced JWE (JSON Web Encryption)?,"ML-DSA-65 (a signature algorithm, not key agreement)",SLH-DSA-SHA2-128s,ML-KEM-768,XMSS,c,"ML-KEM-768 (FIPS 203, NIST Level 3) replaces ECDH-ES for key encapsulation in JWE. It produces a 1,184-byte public key and 1,088-byte ciphertext. The established shared secret is then used to encrypt content with AES-GCM. Key distinction: ML-DSA is for signatures (JWS), ML-KEM is for key encapsulation/encryption (JWE).",/learn/api-security-jwt,developer|architect,Finance & Banking|Technology
apij-005,api-security-jwt,multiple-choice,intermediate,full,What is the primary challenge PQC-signed JWTs create for OAuth 2.0 access tokens delivered in HTTP headers?,Tokens expire too quickly with PQC,Token refresh becomes computationally expensive,PQC JWT sizes can exceed the 8 KB HTTP header limit enforced by many servers and proxies,OAuth 2.0 does not support JWT-based access tokens,c,"An ML-DSA-65 access token JWT is approximately 4.7 KB. When access tokens, refresh tokens, and DPoP proofs are combined in HTTP headers, total size can approach or exceed the 8 KB header limit enforced by nginx, Apache, and most proxies. Mitigations include opaque tokens (introspection-based), smaller ML-DSA-44 parameters, or increasing server header size limits.",/learn/api-security-jwt,developer|architect,Finance & Banking|Technology
apij-006,api-security-jwt,multiple-choice,beginner,both,"In a JWT JOSE header, which field specifies the signing algorithm?",typ,kid,alg,iss,c,"The `alg` field in the JOSE header specifies the cryptographic algorithm used to sign the JWT — for example, ""ES256"" (ECDSA P-256), ""EdDSA"" (Ed25519), or ""ML-DSA-65"" for post-quantum. The `kid` (Key ID) identifies which key to use for verification, `typ` specifies the token type (""JWT""), and `iss` is a payload claim (issuer), not a header field.",/learn/api-security-jwt,developer|architect,
apij-007,api-security-jwt,true-false,intermediate,both,True or False: DPoP proof tokens bound to ML-DSA keys add negligible overhead per API request because they are short-lived.,True,False,,,false,"False. Each DPoP proof (RFC 9449) is a fully signed JWT. With ML-DSA-65, each DPoP proof is approximately 4 KB. At high API call volumes (thousands of requests per second), this multiplies into substantial bandwidth and compute overhead compared to ~300-byte classical DPoP proofs. Optimizations include using the smaller ML-DSA-44 parameter set or hybrid signing strategies.",/learn/api-security-jwt,developer|architect,Finance & Banking|Technology
apij-008,api-security-jwt,multi-select,intermediate,both,Which OAuth 2.0 / OIDC components are significantly impacted by PQC signature sizes? (Select all that apply),Access tokens (JWS-signed JWTs),ID tokens (JWS-signed JWTs),JWKS public key endpoints (publish signing keys),Authorization codes (short-lived opaque values),a|b|c,"Access tokens, ID tokens (all JWS-signed JWTs), and JWKS endpoints (which publish signing public keys — each ML-DSA-65 key is ~1.9 KB) all grow significantly. Authorization codes are short-lived opaque random strings — they are not JWTs, contain no cryptographic material, and are completely unaffected by PQC algorithm sizes.",/learn/api-security-jwt,developer|architect,Finance & Banking|Technology
apij-009,api-security-jwt,multiple-choice,advanced,full,What is the recommended migration strategy for deploying PQC JWT signatures in a service mesh with mixed classical/PQC API consumers?,Replace all tokens immediately with ML-DSA-65 (breaking change),Issue dual classical+PQC hybrid JWTs signed by both ES256 and ML-DSA-65,Stop using JWTs entirely and switch to opaque tokens only,Wait for IETF JOSE PQC RFC finalization before any migration,b,"Hybrid JWTs carry both a classical signature (ES256 or EdDSA for legacy consumers) and a PQC signature (ML-DSA-65 for quantum-safe consumers). This enables graceful transition: legacy clients verify the classical signature, PQC-aware clients verify both. This mirrors hybrid TLS key exchange — providing backward compatibility while establishing quantum security. Immediate cutover creates service outages; waiting indefinitely leaves HNDL exposure unaddressed.",/learn/api-security-jwt,architect|developer,Finance & Banking|Technology
apij-010,api-security-jwt,multiple-choice,beginner,both,Which RFC defines JSON Web Signature (JWS) — the standard governing how JWT digital signatures are structured?,RFC 7519 (JWT format),RFC 7515 (JWS),RFC 7516 (JWE),RFC 7518 (JWA algorithms),b,"RFC 7515 defines JSON Web Signature (JWS), specifying how digital signatures are applied to JWT payloads. RFC 7519 defines the JWT token format itself, RFC 7516 defines JSON Web Encryption (JWE) for encrypted tokens, and RFC 7518 defines the JSON Web Algorithms (JWA) registry — the catalog of alg values including ""RS256"", ""ES256"", and future ""ML-DSA-65"" entries.",/learn/api-security-jwt,developer|architect,
iot-001,iot-ot-pqc,multiple-choice,beginner,both,"According to RFC 7228, which constrained-device class is defined by approximately 10 KB RAM and 100 KB flash — examples being sensor tags and RFID devices?",Class 1,Class 0,Class 2,Class 3,b,"RFC 7228 Class 0 devices have ~10 KB RAM and ~100 KB flash — the most constrained category. Examples include RFID tags, environmental sensors, and asset trackers. Full TLS and most PQC algorithms are infeasible; communication typically occurs via gateway-mediated protocols or pre-shared keys established during device provisioning.",/learn/iot-ot-pqc,architect|developer|ops,Energy & Utilities|Healthcare|Telecommunications
iot-002,iot-ot-pqc,multiple-choice,intermediate,both,Which PQC KEM is the most feasible option for Class 1-2 IoT devices with ~3-6 KB available RAM?,ML-KEM-1024 (~10 KB RAM required),FrodoKEM-640 (~180 KB RAM required),ML-KEM-512 (~3 KB RAM required),ML-KEM-768 (~6 KB RAM required),c,"ML-KEM-512 (NIST Level 1) requires approximately 3 KB RAM with 800-byte public keys and 768-byte ciphertext — the smallest ML-KEM variant and the only one feasible on Class 1 devices. FrodoKEM-640 requires 180 KB RAM, completely infeasible for IoT. ML-KEM-768 at ~6 KB RAM is borderline for Class 2 but exceeds Class 1 capacity.",/learn/iot-ot-pqc,architect|developer|ops,Energy & Utilities|Healthcare
iot-003,iot-ot-pqc,true-false,beginner,both,True or False: A PQC certificate chain using ML-DSA-65 is similar in size to a classical ECDSA P-256 chain and presents no significant challenge for constrained IoT devices.,True,False,,,false,"False. A classical ECDSA P-256 certificate chain is approximately 3 KB, while a PQC ML-DSA-65 chain grows to ~22 KB — over 7x larger. For Class 1 devices with only 10 KB total RAM, a 22 KB cert chain exceeds the entire device memory. Mitigations include Merkle Tree Certificates (85% reduction), certificate compression via RFC 8879, and TLS session resumption (PSK).",/learn/iot-ot-pqc,architect|developer|ops,Energy & Utilities|Healthcare|Telecommunications
iot-004,iot-ot-pqc,multiple-choice,intermediate,both,Which IoT communication protocol makes PQC key exchange fundamentally impossible due to a maximum payload size of 222 bytes?,"CoAP + DTLS 1.3 (1,024 B max payload)","MQTT 5.0 + TLS 1.3 (65,535 B max payload)",LoRaWAN 1.1 (222 B max payload),"Matter / Thread (1,280 B IPv6 MTU)",c,"LoRaWAN 1.1 has a maximum payload of 222 bytes. ML-KEM-512's ciphertext alone is 768 bytes — more than 3x the maximum. PQC key exchange is impossible over LoRaWAN. IoT devices on LoRaWAN must use pre-shared keys (PSK) provisioned through a secure out-of-band channel, with QKD or PQC-protected key establishment occurring at the provisioning stage.",/learn/iot-ot-pqc,architect|developer|ops,Energy & Utilities|Telecommunications
iot-005,iot-ot-pqc,multiple-choice,intermediate,both,"In the Purdue Model for ICS/SCADA environments, which layers have the highest PQC migration priority due to internet-facing exposure and short asset lifecycles?","Level 0 (Physical Process — 25-year lifecycle, air-gapped)","Level 1-2 (Basic Control and Area Supervisory — isolated, 15-20 years)","Level 3.5 / 4 / 5 (DMZ, Enterprise IT, Enterprise Network — internet-facing, 3-5 years)",All Purdue Model levels have equal PQC priority,c,"Purdue Model levels 3.5 (DMZ), 4 (Enterprise IT), and 5 (Enterprise Network) are all internet-facing with 3-5 year asset lifecycles — the highest PQC migration priority. Levels 0-2 are air-gapped or isolated with 15-25 year lifecycles; they have lower immediate quantum risk and more constrained upgrade paths due to operational criticality and hardware age.",/learn/iot-ot-pqc,architect|executive|ops,Energy & Utilities
iot-006,iot-ot-pqc,multiple-choice,beginner,both,Which PQC signature algorithm has the smallest public key size (56 bytes) and is CNSA 2.0's mandated choice for firmware signing in national security systems?,"ML-DSA-44 (1,312-byte public key)","FN-DSA-512 (FALCON, 897-byte public key)",XMSS (68-byte public key),LMS (56-byte public key),d,"LMS (Leighton-Micali Signatures, RFC 8554 / NIST SP 800-208) has a 56-byte public key — the smallest among all PQC signature schemes. Fast verification (~0.1 ms) and the tiny public key make it ideal for firmware verification on constrained devices. CNSA 2.0 mandates LMS/HSS for NSS firmware/software signing with a 2025 preference and 2030 mandate.",/learn/iot-ot-pqc,architect|developer|ops,Energy & Utilities|Government & Defense
iot-007,iot-ot-pqc,true-false,intermediate,both,True or False: FN-DSA (FALCON) produces the most compact PQC signatures among stateless schemes and is safe for deployment on Class 0 devices with 10 KB RAM.,True,False,,,false,"False. FN-DSA-512 (FALCON) does produce the most compact stateless PQC signatures (~666 bytes vs ML-DSA-44's 2,420 bytes) and requires only ~1.5 KB RAM — suitable for Class 1-3. However, FALCON is NOT recommended for Class 0 devices because its Gaussian sampling algorithm requires careful floating-point or high-precision integer arithmetic, creating implementation complexity and timing side-channel risks on simple microcontrollers.",/learn/iot-ot-pqc,architect|developer|ops,Energy & Utilities|Healthcare
iot-008,iot-ot-pqc,multi-select,intermediate,both,Which techniques can reduce PQC certificate chain sizes for constrained IoT devices? (Select all that apply),"Merkle Tree Certificates (replace PQC sigs with ~300 B Merkle proofs, ~85% reduction)","Certificate compression via RFC 8879 (zlib/Brotli, 25-35% reduction)","TLS session resumption with PSK (RFC 8446, eliminates cert exchange on reconnect)",Using larger RSA-8192 certificates for stronger forward secrecy,a|b|c,Three viable mitigations exist: (1) Merkle Tree Certificates replace PQC signatures with ~300-byte Merkle inclusion proofs (85% reduction); (2) RFC 8879 certificate compression uses zlib/Brotli on the TLS handshake (25-35% reduction); (3) TLS PSK session resumption (RFC 8446) eliminates the full certificate exchange on subsequent connections (90% reduction). Larger RSA certificates make the problem dramatically worse.,/learn/iot-ot-pqc,architect|developer|ops,Energy & Utilities|Healthcare|Telecommunications
iot-009,iot-ot-pqc,multiple-choice,advanced,full,"A Class 1 smart meter (10 KB RAM, NB-IoT narrow-band) needs to authenticate to a grid operator via DTLS 1.3. What is the recommended PQC approach?",Full ML-KEM-768 + ML-DSA-65 DTLS handshake on every connection,Pre-shared key (PSK) provisioned at manufacturing with PQC-derived keys and session resumption on reconnect,No PQC is needed since smart meters communicate over private cellular networks,Use FrodoKEM-640 for maximum security against quantum attacks,b,"For Class 1 devices on NB-IoT (low bandwidth, low power), a full PQC DTLS handshake (~22 KB exchange, 15+ IPv6 fragments) is impractical. PSK provisioned at manufacturing (using PQC key derivation) with DTLS session resumption on subsequent connections eliminates the heavyweight handshake. Smart meters are NOT isolated — they use cellular networks exposed to HNDL attacks. FrodoKEM-640 requires 180 KB RAM, completely exceeding Class 1 capacity.",/learn/iot-ot-pqc,architect|ops,Energy & Utilities
iot-010,iot-ot-pqc,multiple-choice,beginner,both,What does the SUIT Manifest (RFC 9019) provide for IoT firmware security?,A quantum-safe encryption algorithm for firmware images,A signed metadata wrapper enabling secure over-the-air (OTA) firmware delivery for constrained devices,A new certificate format replacing X.509 for IoT,A network bootstrap protocol for provisioning IoT devices,b,"The SUIT (Software Updates for Internet of Things) Manifest (RFC 9019) wraps firmware with cryptographically signed metadata: version, component identity, payload digest, size, and conditions (vendor ID, class ID). It enables constrained devices to securely receive OTA firmware updates, verifying authenticity and integrity before installation — without requiring full TLS infrastructure. SUIT manifests are signed with LMS or ML-DSA depending on device class.",/learn/iot-ot-pqc,architect|developer|ops,Energy & Utilities|Healthcare
algo-023,algorithm-families,multiple-choice,beginner,both,What type of mathematical problem does HQC (Hamming Quasi-Cyclic) rely on for its security?,Lattice problems (shortest vector problem),Code-based problems (decoding random linear codes),Hash-based one-way functions,Isogeny problems on elliptic curves,b,"HQC is a code-based KEM whose security relies on the hardness of decoding random linear codes over binary fields — specifically, the Hamming metric decoding problem. This is a fundamentally different hardness assumption from lattice-based schemes like ML-KEM, providing algorithmic diversity in the PQC portfolio. Code-based cryptography has been studied since McEliece's 1978 proposal, giving it one of the longest security track records in PQC.",/algorithms,researcher|architect|developer,
algo-024,algorithm-families,multiple-choice,intermediate,both,"Why did NIST select HQC as a fourth PQC standard in March 2025, rather than relying solely on ML-KEM?",HQC has smaller ciphertext sizes than ML-KEM,HQC provides algorithmic diversity based on a different hardness assumption (code-based vs. lattice),HQC is faster than ML-KEM for all use cases,HQC was submitted earlier in the NIST competition,b,"NIST selected HQC to serve as a backup KEM based on a completely different mathematical foundation from ML-KEM's lattice problem. If a breakthrough algorithm were discovered to efficiently solve lattice problems, ML-KEM would be broken — but HQC would remain secure. This redundancy mirrors the NIST strategy of standardizing both ML-DSA (lattice) and SLH-DSA (hash-based): defense-in-depth through algorithmic diversity.",/algorithms,researcher|architect,
algo-025,algorithm-families,multiple-choice,intermediate,both,How does HQC's ciphertext size compare to ML-KEM-768?,"HQC produces smaller ciphertexts — approximately 800 bytes vs ML-KEM-768's 1,088 bytes","HQC produces larger ciphertexts — approximately 4,522 bytes vs ML-KEM-768's 1,088 bytes",They are equal — both were designed to the same NIST security Level 3 ciphertext target,HQC ciphertext size varies dynamically based on message length,b,"HQC-128 ciphertext is approximately 4,522 bytes — roughly four times larger than ML-KEM-768's 1,088 bytes at equivalent security level. This size tradeoff is the primary deployment consideration: HQC is not a drop-in replacement for ML-KEM in bandwidth-constrained protocols like TLS. It is intended as a parallel alternative for systems where algorithmic diversity justifies the bandwidth cost.",/algorithms,architect|developer,
algo-026,algorithm-families,true-false,beginner,both,True or False: HQC is expected to receive its own FIPS number (distinct from FIPS 203) approximately in 2027.,True,False,,,true,"True. NIST announced HQC selection in March 2025 with a projected standardization timeline of 2026–2027. HQC will receive its own dedicated FIPS standard number, separate from FIPS 203 (ML-KEM). During the interim period, organizations can reference the HQC draft specification directly. The code-based design means it requires its own validation test vectors and CAVP testing protocol.",/algorithms,researcher|executive,
algo-027,algorithm-families,multiple-choice,advanced,full,Which statement best describes HQC's performance characteristics relative to ML-KEM-512?,HQC-128 has faster key generation but slower encapsulation than ML-KEM-512,HQC-128 has roughly comparable decapsulation speed but approximately 4× larger public keys and ciphertexts than ML-KEM-512,HQC-128 is strictly faster in all operations due to quasi-cyclic structure,HQC-128 requires hardware acceleration to achieve practical performance,b,"HQC uses quasi-cyclic codes which enable efficient polynomial multiplication, giving decapsulation performance roughly comparable to ML-KEM. However, HQC public keys (~3,002 bytes for HQC-128) and ciphertexts (~4,522 bytes) are significantly larger than ML-KEM-512 (800-byte public key, 768-byte ciphertext). For most internet protocols, ML-KEM is preferred; HQC is deployed when algorithmic diversity justifies the bandwidth overhead.",/algorithms,researcher|developer,
algo-028,algorithm-families,multiple-choice,beginner,both,What is the standardized name for the FALCON signature scheme in FIPS 206?,ML-DSA,FN-DSA (FALCON),SLH-DSA,HQC-Sign,b,"FALCON was standardized as FN-DSA (FIPS 206) by NIST, published in 2024. FN-DSA stands for 'Module Lattice-Based Digital Signature Algorithm over NTRU Lattices.' It produces the most compact signatures among NIST-standardized schemes: FN-DSA-512 generates ~666-byte signatures with an 897-byte public key — roughly one-quarter the size of ML-DSA-44 signatures (2,420 bytes). This compactness makes FN-DSA attractive for IoT and bandwidth-sensitive deployments.",/algorithms,developer|architect,
